id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
adamsst01,Steven Adams,304,191,113,.628,278,179,99,.644,26,12,14,.462
westbru01,Russell Westbrook*,294,186,108,.633,269,174,95,.647,25,12,13,.480
collini01,Nick Collison,183,118,65,.645,172,112,60,.651,11,6,5,.545
kanteen01,Enes Freedom,181,115,66,.635,158,103,55,.652,23,12,11,.522
ibakase01,Serge Ibaka,180,121,59,.672,162,110,52,.679,18,11,7,.611
morroan01,Anthony Morrow,172,107,65,.622,158,99,59,.627,14,8,6,.571
duranke01,Kevin Durant*,148,103,45,.696,128,92,36,.719,20,11,9,.550
waitedi01,Dion Waiters,124,83,41,.669,106,72,34,.679,18,11,7,.611
grantje01,Jerami Grant,118,67,51,.568,113,66,47,.584,5,1,4,.200
singlky01,Kyle Singler,114,68,46,.596,107,65,42,.607,7,3,4,.429
abrinal01,Álex Abrines,106,58,48,.547,101,57,44,.564,5,1,4,.200
jacksre01,Reggie Jackson*,82,53,29,.646,80,53,27,.662,2,0,2,.000
sabondo01,Domantas Sabonis*,80,45,35,.562,78,45,33,.577,2,0,2,.000
lambje01,Jeremy Lamb,79,54,25,.684,77,54,23,.701,2,0,2,.000
payneca01,Cameron Payne,76,56,20,.737,66,49,17,.742,10,7,3,.700
jonespe01,Perry Jones,73,49,24,.671,71,49,22,.690,2,0,2,.000
perkike01,Kendrick Perkins,72,45,27,.625,70,45,25,.643,2,0,2,.000
oladivi01,Victor Oladipo*,69,39,30,.565,64,38,26,.594,5,1,4,.200
chrisse01,Semaj Christon,63,35,28,.556,61,35,26,.574,2,0,2,.000
augusdj01,D.J. Augustin,52,36,16,.692,52,36,16,.692,0,0,0,
lauvejo01,Joffrey Lauvergne,50,30,20,.600,50,30,20,.600,0,0,0,
mcgarmi01,Mitch McGary,42,33,9,.786,42,33,9,.786,0,0,0,
fishede01,Derek Fisher,42,30,12,.714,40,30,10,.750,2,0,2,.000
foyera01,Randy Foye,41,25,16,.610,25,15,10,.600,16,10,6,.625
huestjo01,Josh Huestis,40,27,13,.675,38,25,13,.658,2,2,0,1.000
feltora01,Raymond Felton,39,24,15,.615,39,24,15,.615,0,0,0,
pattepa01,Patrick Patterson,39,24,15,.615,39,24,15,.615,0,0,0,
anthoca01,Carmelo Anthony*,38,23,15,.605,38,23,15,.605,0,0,0,
georgpa01,Paul George*,36,23,13,.639,36,23,13,.639,0,0,0,
fergute01,Terrance Ferguson,30,18,12,.600,29,18,11,.621,1,0,1,.000
mcderdo01,Doug McDermott*,26,14,12,.538,21,13,8,.619,5,1,4,.200
gibsota01,Taj Gibson,26,15,11,.577,21,14,7,.667,5,1,4,.200
