id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
ratlith01,Theo Ratliff,93,39,54,.419,93,39,54,.419,0,0,0,
abdursh01,Shareef Abdur-Rahim,92,39,53,.424,92,39,53,.424,0,0,0,
terryja01,Jason Terry,76,30,46,.395,76,30,46,.395,0,0,0,
glovedi01,Dion Glover,68,28,40,.412,68,28,40,.412,0,0,0,
nailole01,Lee Nailon,67,16,51,.239,67,16,51,.239,0,0,0,
brownpj01,P.J. Brown,67,17,50,.254,67,17,50,.254,0,0,0,
thornal01,Al Thornton,64,15,49,.234,64,15,49,.234,0,0,0,
smithjr01,J.R. Smith,63,17,46,.270,63,17,46,.270,0,0,0,
moblecu01,Cuttino Mobley,62,14,48,.226,62,14,48,.226,0,0,0,
rossqu01,Quinton Ross,62,14,48,.226,62,14,48,.226,0,0,0,
magloja01,Jamaal Magloire,61,24,37,.393,61,24,37,.393,0,0,0,
knighbr01,Brevin Knight,59,14,45,.237,59,14,45,.237,0,0,0,
hendeal01,Alan Henderson,58,24,34,.414,58,24,34,.414,0,0,0,
maggeco01,Corey Maggette,56,14,42,.250,56,14,42,.250,0,0,0,
randoza01,Zach Randolph,56,24,32,.429,56,24,32,.429,0,0,0,
poweljo01,Josh Powell,54,11,43,.204,54,11,43,.204,0,0,0,
nachbbo01,Boštjan Nachbar,54,16,38,.296,54,16,38,.296,0,0,0,
anderch01,Chris Andersen,53,16,37,.302,53,16,37,.302,0,0,0,
thomati01,Tim Thomas,51,11,40,.216,51,11,40,.216,0,0,0,
webstma02,Martell Webster,50,21,29,.420,50,21,29,.420,0,0,0,
mohamna01,Nazr Mohammed,49,17,32,.347,49,17,32,.347,0,0,0,
jackja01,Jarrett Jack,47,19,28,.404,47,19,28,.404,0,0,0,
hamda01,Darvin Ham,45,19,26,.422,45,19,26,.422,0,0,0,
outlatr01,Travis Outlaw,45,19,26,.422,45,19,26,.422,0,0,0,
udokaim01,Ime Udoka,43,20,23,.465,43,20,23,.465,0,0,0,
kamanch01,Chris Kaman,43,13,30,.302,43,13,30,.302,0,0,0,
jacobca01,Casey Jacobsen,43,12,31,.279,43,12,31,.279,0,0,0,
newblir01,Ira Newble,42,18,24,.429,42,18,24,.429,0,0,0,
rodrise01,Sergio Rodríguez,40,15,25,.375,40,15,25,.375,0,0,0,
robingl01,Glenn Robinson,39,15,24,.385,39,15,24,.385,0,0,0,
lafrera01,Raef LaFrentz,38,13,25,.342,38,13,25,.342,0,0,0,
aldrila01,LaMarcus Aldridge,37,16,21,.432,37,16,21,.432,0,0,0,
patteru01,Ruben Patterson,36,14,22,.389,36,14,22,.389,0,0,0,
vromaja01,Jackson Vroman,35,6,29,.171,35,6,29,.171,0,0,0,
roybr01,Brandon Roy,32,13,19,.406,32,13,19,.406,0,0,0,
lynchge01,George Lynch,31,7,24,.226,31,7,24,.226,0,0,0,
dixonju01,Juan Dixon,27,13,14,.481,27,13,14,.481,0,0,0,
rogerro01,Rodney Rogers,26,9,17,.346,26,9,17,.346,0,0,0,
cassesa01,Sam Cassell,25,6,19,.240,25,6,19,.240,0,0,0,
williaa01,Aaron Williams,24,5,19,.208,24,5,19,.208,0,0,0,
jacksje01,Jermaine Jackson,23,9,14,.391,23,9,14,.391,0,0,0,
jacksst02,Stephen Jackson,22,6,16,.273,22,6,16,.273,0,0,0,
harriju01,Junior Harrington,21,3,18,.143,21,3,18,.143,0,0,0,
fazekni01,Nick Fazekas,21,3,18,.143,21,3,18,.143,0,0,0,
jonesfr01,Fred Jones,21,7,14,.333,21,7,14,.333,0,0,0,
milesda01,Darius Miles,20,9,11,.450,20,9,11,.450,0,0,0,
lampema01,Maciej Lampe,20,1,19,.050,20,1,19,.050,0,0,0,
stoudda01,Damon Stoudamire,20,9,11,.450,20,9,11,.450,0,0,0,
vaughja01,Jacque Vaughn,20,5,15,.250,20,5,15,.250,0,0,0,
anderde01,Derek Anderson,20,9,11,.450,20,9,11,.450,0,0,0,
jeffeal01,Al Jefferson,19,7,12,.368,19,7,12,.368,0,0,0,
piercpa01,Paul Pierce,19,7,12,.368,19,7,12,.368,0,0,0,
davisri01,Ricky Davis,19,7,12,.368,19,7,12,.368,0,0,0,
diawbo01,Boris Diaw,19,7,12,.368,19,7,12,.368,0,0,0,
davispa01,Paul Davis,19,6,13,.316,19,6,13,.316,0,0,0,
crawfch01,Chris Crawford,18,6,12,.333,18,6,12,.333,0,0,0,
blounma01,Mark Blount,18,6,12,.333,18,6,12,.333,0,0,0,
greenor01,Orien Greene,18,6,12,.333,18,6,12,.333,0,0,0,
przybjo01,Joel Przybilla,18,10,8,.556,18,10,8,.556,0,0,0,
davisda01,Dale Davis,18,7,11,.389,18,7,11,.389,0,0,0,
perkike01,Kendrick Perkins,18,7,11,.389,18,7,11,.389,0,0,0,
parkesm01,Smush Parker,17,2,15,.118,17,2,15,.118,0,0,0,
westde01,Delonte West,17,6,11,.353,17,6,11,.353,0,0,0,
scalabr01,Brian Scalabrine,17,7,10,.412,17,7,10,.412,0,0,0,
freijma01,Matt Freije,17,2,15,.118,17,2,15,.118,0,0,0,
reedju01,Justin Reed,16,6,10,.375,16,6,10,.375,0,0,0,
westda01,David West,16,3,13,.188,16,3,13,.188,0,0,0,
gomesry01,Ryan Gomes,16,5,11,.312,16,5,11,.312,0,0,0,
claxtsp01,Speedy Claxton,16,7,9,.438,16,7,9,.438,0,0,0,
woodsqy01,Qyntel Woods,16,8,8,.500,16,8,8,.500,0,0,0,
hansetr01,Travis Hansen,16,3,13,.188,16,3,13,.188,0,0,0,
davisba01,Baron Davis,13,3,10,.231,13,3,10,.231,0,0,0,
wesleda01,David Wesley,12,1,11,.083,12,1,11,.083,0,0,0,
grahast01,Stephen Graham,12,5,7,.417,12,5,7,.417,0,0,0,
cookom01,Omar Cook,11,7,4,.636,11,7,4,.636,0,0,0,
edwarco01,Corsley Edwards,10,0,10,.000,10,0,10,.000,0,0,0,
willima04,Marcus Williams,10,2,8,.200,10,2,8,.200,0,0,0,
schenlu01,Luke Schenscher,10,3,7,.300,10,3,7,.300,0,0,0,
wilksmi01,Mike Wilks,10,4,6,.400,10,4,6,.400,0,0,0,
gilled01,Eddie Gill,10,4,6,.400,10,4,6,.400,0,0,0,
benjaco01,Corey Benjamin,9,5,4,.556,9,5,4,.556,0,0,0,
brandel01,Elton Brand,8,1,7,.125,8,1,7,.125,0,0,0,
frahmri01,Richie Frahm,6,1,5,.167,6,1,5,.167,0,0,0,
willibr01,Brandon Williams,6,2,4,.333,6,2,4,.333,0,0,0,
davisem01,Emanual Davis,6,4,2,.667,6,4,2,.667,0,0,0,
garcial01,Alex Garcia,5,0,5,.000,5,0,5,.000,0,0,0,
fergude01,Desmond Ferguson,5,1,4,.200,5,1,4,.200,0,0,0,
mooremi01,Mikki Moore,5,2,3,.400,5,2,3,.400,0,0,0,
diazgu01,Guillermo Díaz,5,1,4,.200,5,1,4,.200,0,0,0,
harvean01,Antonio Harvey,4,3,1,.750,4,3,1,.750,0,0,0,
nowitdi01,Dirk Nowitzki,4,1,3,.250,4,1,3,.250,0,0,0,
howarjo01,Josh Howard,4,1,3,.250,4,1,3,.250,0,0,0,
baxtelo01,Lonny Baxter,4,1,3,.250,4,1,3,.250,0,0,0,
stackje01,Jerry Stackhouse,4,1,3,.250,4,1,3,.250,0,0,0,
harride01,Devin Harris,4,1,3,.250,4,1,3,.250,0,0,0,
barrean01,Andre Barrett,4,0,4,.000,4,0,4,.000,0,0,0,
dampier01,Erick Dampier,4,1,3,.250,4,1,3,.250,0,0,0,
boothca01,Calvin Booth,4,1,3,.250,4,1,3,.250,0,0,0,
daniema01,Marquis Daniels,4,1,3,.250,4,1,3,.250,0,0,0,
mccasam01,Amal McCaskill,3,2,1,.667,3,2,1,.667,0,0,0,
mbengdj01,D.J. Mbenga,3,1,2,.333,3,1,2,.333,0,0,0,
bradlsh01,Shawn Bradley,3,1,2,.333,3,1,2,.333,0,0,0,
shirlpa01,Paul Shirley,2,0,2,.000,2,0,2,.000,0,0,0,
banksma01,Marcus Banks,2,0,2,.000,2,0,2,.000,0,0,0,
richaje01,Jeremy Richardson,1,1,0,1.000,1,1,0,1.000,0,0,0,
