id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
eddledi01,Dike Eddleman,47,24,23,.511,44,23,21,.523,3,1,2,.333
raydo01,Don Ray*,43,24,19,.558,40,23,17,.575,3,1,2,.333
todormi01,Mike Todorovich,42,23,19,.548,39,22,17,.564,3,1,2,.333
perkiwa01,Warren Perkins*,42,22,20,.524,40,21,19,.525,2,1,1,.500
wiermu01,Murray Wier,40,18,22,.450,37,17,20,.459,3,1,2,.333
vancege01,Gene Vance*,36,22,14,.611,33,21,12,.636,3,1,2,.333
kirkwa01,Walt Kirk,35,19,16,.543,32,18,14,.562,3,1,2,.333
ottendo01,Don Otten,27,14,13,.519,27,14,13,.519,0,0,0,
engluge01,Gene Englund,23,14,9,.609,21,13,8,.619,2,1,1,.500
henrybi01,Bill Henry,21,10,11,.476,18,9,9,.500,3,1,2,.333
nichoja01,Jack Nichols*,20,10,10,.500,17,9,8,.529,3,1,2,.333
mahnkjo01,John Mahnken*,16,9,7,.562,16,9,7,.562,0,0,0,
vonniwh01,Whitey Von Nieda*,10,3,7,.300,10,3,7,.300,0,0,0,
owensre01,Red Owens*,7,2,5,.286,7,2,5,.286,0,0,0,
hassebi01,Billy Hassett*,5,1,4,.200,5,1,4,.200,0,0,0,
kerrija01,Jack Kerris*,4,1,3,.250,4,1,3,.250,0,0,0,
ottenma01,Mac Otten*,4,1,3,.250,4,1,3,.250,0,0,0,
bercege01,Gene Berce,3,1,2,.333,3,1,2,.333,0,0,0,
chanejo01,John Chaney*,1,0,1,.000,1,0,1,.000,0,0,0,
