id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
anderja01,James Anderson,22,7,15,.318,22,7,15,.318,0,0,0,
allenla01,Lavoy Allen,22,7,15,.318,22,7,15,.318,0,0,0,
thompho01,Hollis Thompson,21,6,15,.286,21,6,15,.286,0,0,0,
turneev01,Evan Turner,21,7,14,.333,21,7,14,.333,0,0,0,
hawessp01,Spencer Hawes,20,7,13,.350,20,7,13,.350,0,0,0,
youngth01,Thaddeus Young,19,6,13,.316,19,6,13,.316,0,0,0,
redicjj01,J.J. Redick,19,9,10,.474,15,8,7,.533,4,1,3,.250
daviebr01,Brandon Davies,19,5,14,.263,19,5,14,.263,0,0,0,
wroteto01,Tony Wroten,19,7,12,.368,19,7,12,.368,0,0,0,
davisgl01,Glen Davis,18,8,10,.444,14,7,7,.500,4,1,3,.250
richaqu01,Quentin Richardson,18,8,10,.444,14,7,7,.500,4,1,3,.250
clarkea01,Earl Clark,18,9,9,.500,14,8,6,.571,4,1,3,.250
nelsoja01,Jameer Nelson,18,9,9,.500,14,8,6,.571,4,1,3,.250
richaja01,Jason Richardson,17,7,10,.412,13,6,7,.462,4,1,3,.250
duhonch01,Chris Duhon,17,8,9,.471,13,7,6,.538,4,1,3,.250
anderry01,Ryan Anderson,17,9,8,.529,13,8,5,.615,4,1,3,.250
liggide01,DeAndre Liggins,16,10,6,.625,16,10,6,.625,0,0,0,
cartemi01,Michael Carter-Williams,14,6,8,.429,14,6,8,.429,0,0,0,
jacksre01,Reggie Jackson*,13,10,3,.769,13,10,3,.769,0,0,0,
sefolth01,Thabo Sefolosha,13,10,3,.769,13,10,3,.769,0,0,0,
smithis01,Ish Smith*,13,6,7,.462,12,6,6,.500,1,0,1,.000
ibakase01,Serge Ibaka,13,10,3,.769,13,10,3,.769,0,0,0,
westbru01,Russell Westbrook*,13,10,3,.769,13,10,3,.769,0,0,0,
collini01,Nick Collison,12,10,2,.833,12,10,2,.833,0,0,0,
duranke01,Kevin Durant*,12,10,2,.833,12,10,2,.833,0,0,0,
williel01,Elliot Williams,12,3,9,.250,12,3,9,.250,0,0,0,
wafervo01,Von Wafer,12,6,6,.500,11,6,5,.545,1,0,1,.000
brownlo01,Lorenzo Brown,11,1,10,.091,11,1,10,.091,0,0,0,
thabeha01,Hasheem Thabeet,11,9,2,.818,11,9,2,.818,0,0,0,
perkike01,Kendrick Perkins,10,8,2,.800,10,8,2,.800,0,0,0,
turkohe01,Hedo Türkoğlu,10,4,6,.400,6,3,3,.500,4,1,3,.250
jonespe01,Perry Jones,10,7,3,.700,10,7,3,.700,0,0,0,
martike02,Kevin Martin,9,7,2,.778,9,7,2,.778,0,0,0,
morrida01,Darius Morris,8,4,4,.500,8,4,4,.500,0,0,0,
harpeju01,Justin Harper,8,2,6,.250,7,2,5,.286,1,0,1,.000
brewero02,Ronnie Brewer,5,4,1,.800,5,4,1,.800,0,0,0,
lambje01,Jeremy Lamb,5,4,1,.800,5,4,1,.800,0,0,0,
howardw01,Dwight Howard,5,4,1,.800,5,4,1,.800,0,0,0,
fishede01,Derek Fisher,4,3,1,.750,4,3,1,.750,0,0,0,
maynoer01,Eric Maynor,4,4,0,1.000,4,4,0,1.000,0,0,0,
hughela01,Larry Hughes,1,0,1,.000,1,0,1,.000,0,0,0,
