id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
adamsha01,Hassan Adams,5,3,2,.600,5,3,2,.600,0,0,0,
nachbbo01,Boštjan Nachbar,5,3,2,.600,5,3,2,.600,0,0,0,
cartevi01,Vince Carter,5,3,2,.600,5,3,2,.600,0,0,0,
collija04,Jason Collins,5,3,2,.600,5,3,2,.600,0,0,0,
wrighan01,Antoine Wright,5,3,2,.600,5,3,2,.600,0,0,0,
willima03,Marcus Williams,5,3,2,.600,5,3,2,.600,0,0,0,
kiddja01,Jason Kidd,4,3,1,.750,4,3,1,.750,0,0,0,
mooremi01,Mikki Moore,4,2,2,.500,4,2,2,.500,0,0,0,
robincl02,Clifford Robinson,3,2,1,.667,3,2,1,.667,0,0,0,
krstine01,Nenad Krstić,3,3,0,1.000,3,3,0,1.000,0,0,0,
jefferi01,Richard Jefferson,2,1,1,.500,2,1,1,.500,0,0,0,
houseed01,Eddie House,2,0,2,.000,2,0,2,.000,0,0,0,
boonejo01,Josh Boone,2,0,2,.000,2,0,2,.000,0,0,0,
robinbe01,Bernard Robinson,1,0,1,.000,1,0,1,.000,0,0,0,
