id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
beverpa01,Patrick Beverley*,3,3,0,1.000,3,3,0,1.000,0,0,0,
asikom01,Ömer Aşık,3,3,0,1.000,3,3,0,1.000,0,0,0,
smithgr02,Greg Smith,3,3,0,1.000,3,3,0,1.000,0,0,0,
robinth01,Thomas Robinson,3,3,0,1.000,3,3,0,1.000,0,0,0,
garcifr01,Francisco García,3,3,0,1.000,3,3,0,1.000,0,0,0,
motiedo01,Donatas Motiejūnas,3,3,0,1.000,3,3,0,1.000,0,0,0,
anderja01,James Anderson,3,3,0,1.000,3,3,0,1.000,0,0,0,
linje01,Jeremy Lin,3,3,0,1.000,3,3,0,1.000,0,0,0,
parsoch01,Chandler Parsons,2,2,0,1.000,2,2,0,1.000,0,0,0,
brookaa01,Aaron Brooks,2,2,0,1.000,2,2,0,1.000,0,0,0,
delfica01,Carlos Delfino,2,2,0,1.000,2,2,0,1.000,0,0,0,
hardeja01,James Harden,2,2,0,1.000,2,2,0,1.000,0,0,0,
joneste01,Terrence Jones,1,1,0,1.000,1,1,0,1.000,0,0,0,
