id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
snower01,Eric Snow,57,23,34,.404,57,23,34,.404,0,0,0,
lenarvo01,Voshon Lenard,52,18,34,.346,52,18,34,.346,0,0,0,
cheanca01,Calbert Cheaney,51,16,35,.314,51,16,35,.314,0,0,0,
bowenry01,Ryan Bowen,48,17,31,.354,48,17,31,.354,0,0,0,
poseyja01,James Posey,47,14,33,.298,47,14,33,.298,0,0,0,
dalemsa01,Samuel Dalembert,47,17,30,.362,47,17,30,.362,0,0,0,
korveky01,Kyle Korver,45,16,29,.356,45,16,29,.356,0,0,0,
mckieaa01,Aaron McKie,44,15,29,.341,44,15,29,.341,0,0,0,
salmojo01,John Salmons,43,17,26,.395,43,17,26,.395,0,0,0,
thomake01,Kenny Thomas,43,16,27,.372,43,16,27,.372,0,0,0,
mccloge01,George McCloud,42,13,29,.310,42,13,29,.310,0,0,0,
buckngr01,Greg Buckner,37,13,24,.351,37,13,24,.351,0,0,0,
greenwi01,Willie Green,35,12,23,.343,35,12,23,.343,0,0,0,
satteke01,Kenny Satterfield,34,10,24,.294,34,10,24,.294,0,0,0,
mccasam01,Amal McCaskill,31,10,21,.323,31,10,21,.323,0,0,0,
johnsav01,Avery Johnson,29,8,21,.276,29,8,21,.276,0,0,0,
lafrera01,Raef LaFrentz,29,8,21,.276,29,8,21,.276,0,0,0,
robingl01,Glenn Robinson,25,7,18,.280,25,7,18,.280,0,0,0,
vanexni01,Nick Van Exel,23,6,17,.261,23,6,17,.261,0,0,0,
harvedo01,Donnell Harvey,23,9,14,.391,23,9,14,.391,0,0,0,
bateeme01,Mengke Bateer,22,8,14,.364,22,8,14,.364,0,0,0,
howarju01,Juwan Howard,22,7,15,.318,22,7,15,.318,0,0,0,
iversal01,Allen Iverson,21,7,14,.333,21,7,14,.333,0,0,0,
anderch01,Chris Andersen,21,8,13,.381,21,8,13,.381,0,0,0,
willisc01,Scott Williams,19,3,16,.158,19,3,16,.158,0,0,0,
masonde01,Desmond Mason,16,7,9,.438,16,7,9,.438,0,0,0,
arroyca01,Carlos Arroyo,16,5,11,.312,16,5,11,.312,0,0,0,
jamesmi01,Mike James,16,7,9,.438,16,7,9,.438,0,0,0,
willima01,Mo Williams,16,7,9,.438,16,7,9,.438,0,0,0,
pachuza01,Zaza Pachulia,16,7,9,.438,16,7,9,.438,0,0,0,
gadzuda01,Dan Gadzuric,15,6,9,.400,15,6,9,.400,0,0,0,
reddmi01,Michael Redd,14,6,8,.429,14,6,8,.429,0,0,0,
smithjo02,Joe Smith,14,6,8,.429,14,6,8,.429,0,0,0,
hardati01,Tim Hardaway,11,3,8,.273,11,3,8,.273,0,0,0,
hendeal01,Alan Henderson,11,7,4,.636,11,7,4,.636,0,0,0,
jamesle01,LeBron James*,11,7,4,.636,11,7,4,.636,0,0,0,
abdulta01,Tariq Abdul-Wahad,11,4,7,.364,11,4,7,.364,0,0,0,
goodedr01,Drew Gooden,11,7,4,.636,11,7,4,.636,0,0,0,
colemde01,Derrick Coleman,11,3,8,.273,11,3,8,.273,0,0,0,
hughela01,Larry Hughes,11,7,4,.636,11,7,4,.636,0,0,0,
jackslu02,Luke Jackson,11,7,4,.636,11,7,4,.636,0,0,0,
wilksmi01,Mike Wilks,11,7,4,.636,11,7,4,.636,0,0,0,
jonesda01,Damon Jones,11,7,4,.636,11,7,4,.636,0,0,0,
marshdo01,Donyell Marshall,11,7,4,.636,11,7,4,.636,0,0,0,
ilgauzy01,Zydrunas Ilgauskas,10,7,3,.700,10,7,3,.700,0,0,0,
stricer01,Erick Strickland,10,5,5,.500,10,5,5,.500,0,0,0,
pavloal01,Sasha Pavlović,9,6,3,.667,9,6,3,.667,0,0,0,
fizerma01,Marcus Fizer,9,4,5,.444,9,4,5,.444,0,0,0,
scottsh01,Shawnelle Scott,9,3,6,.333,9,3,6,.333,0,0,0,
gillke01,Kendall Gill,8,3,5,.375,8,3,5,.375,0,0,0,
kukocto01,Toni Kukoč,6,4,2,.667,6,4,2,.667,0,0,0,
mcdyean01,Antonio McDyess,6,2,4,.333,6,2,4,.333,0,0,0,
vanhoke01,Keith Van Horn,6,3,3,.500,6,3,3,.500,0,0,0,
santida01,Daniel Santiago,5,3,2,.600,5,3,2,.600,0,0,0,
houseed01,Eddie House,5,2,3,.400,5,2,3,.400,0,0,0,
bradlmi01,Michael Bradley,4,3,1,.750,4,3,1,.750,0,0,0,
willial02,Alvin Williams,3,2,1,.667,3,2,1,.667,0,0,0,
jacksma02,Marc Jackson,3,1,2,.333,3,1,2,.333,0,0,0,
rideris01,Isaiah Rider,3,1,2,.333,3,1,2,.333,0,0,0,
richaqu01,Quentin Richardson,3,1,2,.333,3,1,2,.333,0,0,0,
milesda01,Darius Miles,3,1,2,.333,3,1,2,.333,0,0,0,
mcinnje01,Jeff McInnis,3,1,2,.333,3,1,2,.333,0,0,0,
willije01,Jerome Williams,3,2,1,.667,3,2,1,.667,0,0,0,
petermo01,Morris Peterson,3,2,1,.667,3,2,1,.667,0,0,0,
odomla01,Lamar Odom,3,1,2,.333,3,1,2,.333,0,0,0,
piatker01,Eric Piatkowski,3,1,2,.333,3,1,2,.333,0,0,0,
alstora01,Rafer Alston,3,2,1,.667,3,2,1,.667,0,0,0,
doolike01,Keyon Dooling,3,1,2,.333,3,1,2,.333,0,0,0,
cartevi01,Vince Carter,3,2,1,.667,3,2,1,.667,0,0,0,
davisan01,Antonio Davis,3,2,1,.667,3,2,1,.667,0,0,0,
olowomi01,Michael Olowokandi,3,1,2,.333,3,1,2,.333,0,0,0,
rooksse01,Sean Rooks,3,1,2,.333,3,1,2,.333,0,0,0,
mccoyje01,Jelani McCoy,2,1,1,.500,2,1,1,.500,0,0,0,
parksch02,Cherokee Parks,2,1,1,.500,2,1,1,.500,0,0,0,
ollieke01,Kevin Ollie,1,1,0,1.000,1,1,0,1.000,0,0,0,
newblir01,Ira Newble,1,1,0,1.000,1,1,0,1.000,0,0,0,
iguodan01,Andre Iguodala,1,1,0,1.000,1,1,0,1.000,0,0,0,
nesbyty01,Tyrone Nesby,1,0,1,.000,1,0,1,.000,0,0,0,
maggeco01,Corey Maggette,1,0,1,.000,1,0,1,.000,0,0,0,
webbech01,Chris Webber,1,1,0,1.000,1,1,0,1.000,0,0,0,
stronde01,Derek Strong,1,0,1,.000,1,0,1,.000,0,0,0,
