id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
langan01,Andrew Lang,4,1,3,.250,4,1,3,.250,0,0,0,
perryti01,Tim Perry,4,1,3,.250,4,1,3,.250,0,0,0,
dawkijo01,Johnny Dawkins,4,1,3,.250,4,1,3,.250,0,0,0,
anderro01,Ron Anderson,4,1,3,.250,4,1,3,.250,0,0,0,
weathcl01,Clarence Weatherspoon,4,1,3,.250,4,1,3,.250,0,0,0,
hornaje01,Jeff Hornacek,4,1,3,.250,4,1,3,.250,0,0,0,
gilliar01,Armen Gilliam,4,1,3,.250,4,1,3,.250,0,0,0,
bolma01,Manute Bol,4,1,3,.250,4,1,3,.250,0,0,0,
hawkihe01,Hersey Hawkins,4,1,3,.250,4,1,3,.250,0,0,0,
grantgr01,Greg Grant,4,1,3,.250,4,1,3,.250,0,0,0,
shackch01,Charles Shackleford,1,1,0,1.000,1,1,0,1.000,0,0,0,
