id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
blounma01,Mark Blount,137,52,85,.380,134,50,84,.373,3,2,1,.667
davisri01,Ricky Davis,135,53,82,.393,129,50,79,.388,6,3,3,.500
banksma01,Marcus Banks,79,30,49,.380,73,27,46,.370,6,3,3,.500
hassetr01,Trenton Hassell,75,27,48,.360,75,27,48,.360,0,0,0,
garneke01,Kevin Garnett,69,28,41,.406,69,28,41,.406,0,0,0,
jaricma01,Marko Jarić,64,24,40,.375,64,24,40,.375,0,0,0,
piercpa01,Paul Pierce,61,25,36,.410,55,22,33,.400,6,3,3,.500
lafrera01,Raef LaFrentz,60,25,35,.417,54,22,32,.407,6,3,3,.500
jeffeal01,Al Jefferson,58,24,34,.414,52,21,31,.404,6,3,3,.500
madsema01,Mark Madsen,57,24,33,.421,57,24,33,.421,0,0,0,
mccanra01,Rashad McCants,56,16,40,.286,56,16,40,.286,0,0,0,
perkike01,Kendrick Perkins,56,23,33,.411,50,20,30,.400,6,3,3,.500
westde01,Delonte West,52,23,29,.442,46,20,26,.435,6,3,3,.500
smithcr01,Craig Smith,41,17,24,.415,41,17,24,.415,0,0,0,
jamesmi01,Mike James,41,17,24,.415,41,17,24,.415,0,0,0,
foyera01,Randy Foye,41,17,24,.415,41,17,24,.415,0,0,0,
griffed01,Eddie Griffin,35,14,21,.400,35,14,21,.400,0,0,0,
allento01,Tony Allen,32,13,19,.406,26,10,16,.385,6,3,3,.500
greenor01,Orien Greene,31,12,19,.387,31,12,19,.387,0,0,0,
scalabr01,Brian Scalabrine,27,12,15,.444,27,12,15,.444,0,0,0,
paytoga01,Gary Payton,27,11,16,.407,21,8,13,.381,6,3,3,.500
hudsotr01,Troy Hudson,23,10,13,.435,23,10,13,.435,0,0,0,
wrighbr02,Bracey Wright,22,6,16,.273,22,6,16,.273,0,0,0,
gomesry01,Ryan Gomes,18,7,11,.389,18,7,11,.389,0,0,0,
walkean02,Antoine Walker,18,9,9,.500,13,7,6,.538,5,2,3,.400
cartean01,Anthony Carter,16,6,10,.375,16,6,10,.375,0,0,0,
dickada01,Dan Dickau,16,6,10,.375,16,6,10,.375,0,0,0,
duprero01,Ronald Dupree,13,2,11,.154,13,2,11,.154,0,0,0,
welscji01,Jiří Welsch,10,2,8,.200,10,2,8,.200,0,0,0,
mccarwa01,Walter McCarty,8,1,7,.125,8,1,7,.125,0,0,0,
guglito01,Tom Gugliotta,2,1,1,.500,2,1,1,.500,0,0,0,
frahmri01,Richie Frahm,1,0,1,.000,1,0,1,.000,0,0,0,
