id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
hamilri01,Richard Hamilton,547,369,178,.675,436,304,132,.697,111,65,46,.586
princta01,Tayshaun Prince,532,361,171,.679,423,296,127,.700,109,65,44,.596
mcdyean01,Antonio McDyess,435,282,153,.648,361,239,122,.662,74,43,31,.581
wallara01,Rasheed Wallace,412,287,125,.697,315,228,87,.724,97,59,38,.608
wallabe01,Ben Wallace,377,253,124,.671,297,206,91,.694,80,47,33,.588
hunteli01,Lindsey Hunter,290,196,94,.676,202,144,58,.713,88,52,36,.591
anthoca01,Carmelo Anthony*,215,135,80,.628,192,123,69,.641,23,12,11,.522
afflaar01,Arron Afflalo,214,142,72,.664,197,132,65,.670,17,10,7,.588
smithjr01,J.R. Smith,212,135,77,.637,190,123,67,.647,22,12,10,.545
hilarne01,Nenê,211,135,76,.640,190,123,67,.647,21,12,9,.571
delfica01,Carlos Delfino,190,134,56,.705,166,119,47,.717,24,15,9,.625
maxieja01,Jason Maxiell,190,133,57,.700,161,117,44,.727,29,16,13,.552
willico02,Corliss Williamson,183,113,70,.617,149,94,55,.631,34,19,15,.559
anderch01,Chris Andersen,177,114,63,.644,156,102,54,.654,21,12,9,.571
okurme01,Mehmet Okur,169,106,63,.627,133,85,48,.639,36,21,15,.583
szczewa02,Wally Szczerbiak,165,92,73,.558,159,92,67,.579,6,0,6,.000
garneke01,Kevin Garnett,163,91,72,.558,157,91,66,.580,6,0,6,.000
peelean01,Anthony Peeler,158,87,71,.551,152,87,65,.572,6,0,6,.000
martike01,Kenyon Martin,157,102,55,.650,135,90,45,.667,22,12,10,.545
mitchsa01,Sam Mitchell,157,89,68,.567,151,89,62,.589,6,0,6,.000
cartean01,Anthony Carter,156,102,54,.654,138,92,46,.667,18,10,8,.556
nestera01,Rasho Nesterović,156,86,70,.551,150,86,64,.573,6,0,6,.000
hamda01,Darvin Ham,131,86,45,.656,95,61,34,.642,36,25,11,.694
atkinch01,Chucky Atkins,126,77,49,.611,112,71,41,.634,14,6,8,.429
campbel01,Elden Campbell,115,72,43,.626,91,57,34,.626,24,15,9,.625
lawsoty01,Ty Lawson,111,68,43,.613,105,66,39,.629,6,2,4,.333
arroyca01,Carlos Arroyo,109,82,27,.752,90,69,21,.767,19,13,6,.684
milicda01,Darko Miličić,108,90,18,.833,91,75,16,.824,17,15,2,.882
brandte01,Terrell Brandon,108,58,50,.537,105,58,47,.552,3,0,3,.000
evansma01,Maurice Evans,106,78,28,.736,90,69,21,.767,16,9,7,.562
garrede01,Dean Garrett,96,59,37,.615,94,59,35,.628,2,0,2,.000
lopezfe01,Felipe López,96,55,41,.573,90,55,35,.611,6,0,6,.000
jonesda02,Dahntay Jones,91,60,31,.659,75,50,25,.667,16,10,6,.625
kleizli01,Linas Kleiza,91,60,31,.659,77,52,25,.675,14,8,6,.571
robincl02,Clifford Robinson,87,51,36,.586,73,45,28,.616,14,6,8,.429
hayesja01,Jarvis Hayes,87,62,25,.713,78,56,22,.718,9,6,3,.667
currymi01,Michael Curry,86,51,35,.593,74,45,29,.608,12,6,6,.500
murraro01,Ronald Murray,86,57,29,.663,74,50,24,.676,12,7,5,.583
stuckro01,Rodney Stuckey,84,54,30,.643,69,46,23,.667,15,8,7,.533
davisda01,Dale Davis,84,60,24,.714,68,49,19,.721,16,11,5,.688
barryjo01,Jon Barry,83,50,33,.602,72,45,27,.625,11,5,6,.455
slatere01,Reggie Slater,82,32,50,.390,79,32,47,.405,3,0,3,.000
ellisla01,LaPhonso Ellis,80,42,38,.525,77,42,35,.545,3,0,3,.000
trentga01,Gary Trent,79,41,38,.519,76,41,35,.539,3,0,3,.000
averywi01,William Avery,79,44,35,.557,78,44,34,.564,1,0,1,.000
balkmre01,Renaldo Balkman,78,56,22,.718,70,50,20,.714,8,6,2,.750
duprero01,Ronald Dupree,76,50,26,.658,62,41,21,.661,14,9,5,.643
petrojo01,Johan Petro,76,51,25,.671,60,40,20,.667,16,11,5,.688
smithjo02,Joe Smith,75,42,33,.560,72,42,30,.583,3,0,3,.000
johnsam01,Amir Johnson,74,55,19,.743,66,50,16,.758,8,5,3,.625
brownde01,Dee Brown,70,21,49,.300,70,21,49,.300,0,0,0,
mohamna01,Nazr Mohammed,63,44,19,.698,61,44,17,.721,2,0,2,.000
grahajo01,Joey Graham,62,41,21,.661,58,40,18,.690,4,1,3,.250
woodslo01,Loren Woods,60,41,19,.683,60,41,19,.683,0,0,0,
