id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
laimbbi01,Bill Laimbeer,730,461,269,.632,631,397,234,.629,99,64,35,.646
thomais01,Isiah Thomas,726,443,283,.610,629,380,249,.604,97,63,34,.649
rodmade01,Dennis Rodman,614,403,211,.656,520,341,179,.656,94,62,32,.660
johnsvi01,Vinnie Johnson,554,365,189,.659,460,303,157,.659,94,62,32,.660
sallejo01,John Salley,530,353,177,.666,435,290,145,.667,95,63,32,.663
mahorri01,Rick Mahorn,407,259,148,.636,346,219,127,.633,61,40,21,.656
aguirma01,Mark Aguirre,362,233,129,.644,305,194,111,.636,57,39,18,.684
hunteli01,Lindsey Hunter,354,178,176,.503,342,174,168,.509,12,4,8,.333
millste01,Terry Mills,354,171,183,.483,346,169,177,.488,8,2,6,.250
hillgr01,Grant Hill,324,174,150,.537,311,170,141,.547,13,4,9,.308
edwarja01,James Edwards,309,217,92,.702,235,166,69,.706,74,51,23,.689
dantlad01,Adrian Dantley,214,138,76,.645,176,114,62,.648,38,24,14,.632
reiddo01,Don Reid,207,121,86,.585,199,119,80,.598,8,2,6,.250
houstal01,Allan Houston,197,79,118,.401,194,79,115,.407,3,0,3,.000
bedfowi01,William Bedford,183,117,66,.639,169,111,58,.657,14,6,8,.429
ratlith01,Theo Ratliff,153,94,59,.614,149,93,56,.624,4,1,3,.250
thorpot01,Otis Thorpe,151,92,59,.609,143,90,53,.629,8,2,6,.250
willije01,Jerome Williams,141,75,66,.532,135,73,62,.541,6,2,4,.333
woolror01,Orlando Woolridge,135,70,65,.519,130,68,62,.523,5,2,3,.400
campbto01,Tony Campbell,126,76,50,.603,120,73,47,.608,6,3,3,.500
currymi01,Michael Curry,119,74,45,.622,114,74,40,.649,5,0,5,.000
longjo01,John Long,115,71,44,.617,110,68,42,.618,5,3,2,.600
delebi01,Bison Dele,110,57,53,.518,105,55,50,.524,5,2,3,.400
longgr01,Grant Long,99,59,40,.596,94,57,37,.606,5,2,3,.400
polynol01,Olden Polynice,95,41,54,.432,95,41,54,.432,0,0,0,
westma01,Mark West,94,40,54,.426,91,40,51,.440,3,0,3,.000
maconma01,Mark Macon,93,36,57,.387,93,36,57,.387,0,0,0,
