id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
hillgr01,Grant Hill,267,148,119,.554,259,146,113,.564,8,2,6,.250
hunteli01,Lindsey Hunter,252,139,113,.552,245,137,108,.559,7,2,5,.286
dumarjo01,Joe Dumars,207,121,86,.585,199,119,80,.598,8,2,6,.250
willije01,Jerome Williams,160,82,78,.512,155,80,75,.516,5,2,3,.400
millste01,Terry Mills,139,81,58,.583,135,81,54,.600,4,0,4,.000
armstda01,Darrell Armstrong,134,72,62,.537,127,71,56,.559,7,1,6,.143
hudsotr01,Troy Hudson,132,68,64,.515,125,67,58,.536,7,1,6,.143
garripa01,Pat Garrity,132,71,61,.538,125,70,55,.560,7,1,6,.143
willimo01,Monty Williams,132,70,62,.530,126,69,57,.548,6,1,5,.167
mcgratr01,Tracy McGrady,131,70,61,.534,124,69,55,.556,7,1,6,.143
ratlith01,Theo Ratliff,128,78,50,.609,126,78,48,.619,2,0,2,.000
millemi01,Mike Miller,122,63,59,.516,115,62,53,.539,7,1,6,.143
buechju01,Jud Buechler,121,66,55,.545,115,63,52,.548,6,3,3,.500
thorpot01,Otis Thorpe,117,71,46,.607,113,71,42,.628,4,0,4,.000
delebi01,Bison Dele,114,60,54,.526,110,58,52,.527,4,2,2,.500
stackje01,Jerry Stackhouse,113,56,57,.496,109,54,55,.495,4,2,2,.500
declean01,Andrew DeClercq,110,58,52,.527,105,58,47,.552,5,0,5,.000
currymi01,Michael Curry,109,62,47,.569,105,62,43,.590,4,0,4,.000
montrer01,Eric Montross,77,42,35,.545,73,40,33,.548,4,2,2,.500
outlabo01,Bo Outlaw,73,38,35,.521,70,38,32,.543,3,0,3,.000
houstal01,Allan Houston,72,43,29,.597,69,43,26,.623,3,0,3,.000
amaecjo01,John Amaechi,68,36,32,.529,65,36,29,.554,3,0,3,.000
longgr01,Grant Long,68,39,29,.574,67,39,28,.582,1,0,1,.000
mahorri01,Rick Mahorn,66,34,32,.515,66,34,32,.515,0,0,0,
grantho01,Horace Grant,66,35,31,.530,62,34,28,.548,4,1,3,.250
doleami01,Michael Doleac,63,34,29,.540,60,34,26,.567,3,0,3,.000
sealyma01,Malik Sealy,63,30,33,.476,63,30,33,.476,0,0,0,
ewingpa01,Patrick Ewing,56,29,27,.518,52,28,24,.538,4,1,3,.250
vaughlo01,Loy Vaught,49,27,22,.551,47,26,21,.553,2,1,1,.500
huntest01,Steven Hunter,43,23,20,.535,43,23,20,.535,0,0,0,
obannch01,Charles O'Bannon,43,26,17,.605,40,25,15,.625,3,1,2,.333
roelo01,Lou Roe,42,22,20,.524,40,22,18,.550,2,0,2,.000
mckieaa01,Aaron McKie,41,22,19,.537,40,22,18,.550,1,0,1,.000
laettch01,Christian Laettner,41,23,18,.561,37,21,16,.568,4,2,2,.500
westma01,Mark West,38,20,18,.526,35,20,15,.571,3,0,3,.000
pollasc01,Scot Pollard,33,16,17,.485,33,16,17,.485,0,0,0,
greenli01,Litterial Green,30,19,11,.633,30,19,11,.633,0,0,0,
maconma01,Mark Macon,26,15,11,.577,26,15,11,.577,0,0,0,
hensost01,Steve Henson,25,9,16,.360,25,9,16,.360,0,0,0,
alexaco01,Cory Alexander,25,16,9,.640,25,16,9,.640,0,0,0,
hamilri01,Richard Hamilton,18,8,10,.444,18,8,10,.444,0,0,0,
whitnch01,Chris Whitney,17,8,9,.471,17,8,9,.471,0,0,0,
richmmi01,Mitch Richmond,17,8,9,.471,17,8,9,.471,0,0,0,
howarju01,Juwan Howard,17,8,9,.471,17,8,9,.471,0,0,0,
kingge02,Gerard King,17,8,9,.471,17,8,9,.471,0,0,0,
whiteja01,Jahidi White,17,8,9,.471,17,8,9,.471,0,0,0,
leckner01,Eric Leckner,16,8,8,.500,15,8,7,.533,1,0,1,.000
williaa01,Aaron Williams,16,8,8,.500,16,8,8,.500,0,0,0,
brownde01,Dee Brown,16,7,9,.438,14,7,7,.500,2,0,2,.000
murratr01,Tracy Murray,15,7,8,.467,15,7,8,.467,0,0,0,
crottjo01,John Crotty,14,4,10,.286,14,4,10,.286,0,0,0,
augmost01,Stacey Augmon,12,10,2,.833,12,10,2,.833,0,0,0,
reevekh01,Khalid Reeves,11,6,5,.545,11,6,5,.545,0,0,0,
