id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
brianfr01,Frankie Brian,130,68,62,.523,121,64,57,.529,9,4,5,.444
johnsra01,Ralph Johnson*,93,48,45,.516,92,48,44,.522,1,0,1,.000
komenmi01,Milo Komenich,72,41,31,.569,64,37,27,.578,8,4,4,.500
gatesfr01,Frank Gates,71,41,30,.577,64,37,27,.578,7,4,3,.571
hargijo01,John Hargis,68,38,30,.559,60,34,26,.567,8,4,4,.500
phillan01,Andy Phillip*,68,40,28,.588,66,40,26,.606,2,0,2,.000
fulksjo01,Joe Fulks*,68,40,28,.588,66,40,26,.606,2,0,2,.000
senesge01,George Senesky*,67,40,27,.597,65,40,25,.615,2,0,2,.000
arizipa01,Paul Arizin,67,39,28,.582,65,39,26,.600,2,0,2,.000
stanced01,Ed Stanczak,65,39,26,.600,57,35,22,.614,8,4,4,.500
livinro01,Ron Livingstone*,65,38,27,.585,63,38,25,.603,2,0,2,.000
gardnve01,Vern Gardner,63,37,26,.587,61,37,24,.607,2,0,2,.000
kerrija01,Jack Kerris*,58,27,31,.466,57,27,30,.474,1,0,1,.000
foustla01,Larry Foust*,58,27,31,.466,57,27,30,.474,1,0,1,.000
schaufr01,Fred Schaus*,58,27,31,.466,57,27,30,.474,1,0,1,.000
sharech01,Chuck Share*,55,26,29,.473,54,26,28,.481,1,0,1,.000
bobbne01,Nelson Bobb*,55,34,21,.618,54,34,20,.630,1,0,1,.000
mogusle01,Leo Mogus*,54,36,18,.667,53,36,17,.679,1,0,1,.000
fendlja01,Jake Fendley,52,24,28,.462,51,24,27,.471,1,0,1,.000
owensre01,Red Owens*,43,23,20,.535,35,19,16,.543,8,4,4,.500
kileyja01,Jack Kiley,42,17,25,.405,41,17,24,.415,1,0,1,.000
blackch01,Charlie Black,37,20,17,.541,29,16,13,.552,8,4,4,.500
niemiri01,Richie Niemiera*,36,20,16,.556,28,16,12,.571,8,4,4,.500
mikaned01,Ed Mikan*,35,22,13,.629,33,22,11,.667,2,0,2,.000
schulho01,Howie Schultz*,35,21,14,.600,35,21,14,.600,0,0,0,
seltzro01,Rollie Seltz,34,20,14,.588,34,20,14,.588,0,0,0,
kirkwa01,Walt Kirk,26,17,9,.654,26,17,9,.654,0,0,0,
borsaik01,Ike Borsavage,24,13,11,.542,24,13,11,.542,0,0,0,
burriar01,Art Burris*,22,10,12,.455,22,10,12,.455,0,0,0,
carteja01,Jake Carter,19,11,8,.579,11,7,4,.636,8,4,4,.500
eddledi01,Dike Eddleman,17,7,10,.412,16,7,9,.438,1,0,1,.000
smileja01,Jack Smiley,12,9,3,.750,12,9,3,.750,0,0,0,
parhaea01,Easy Parham*,7,5,2,.714,7,5,2,.714,0,0,0,
mitchmu01,Murray Mitchell,2,2,0,1.000,2,2,0,1.000,0,0,0,
