id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
vasqugr01,Greivis Vásquez,9,6,3,.667,9,6,3,.667,0,0,0,
belinma01,Marco Belinelli,9,6,3,.667,9,6,3,.667,0,0,0,
landrca01,Carl Landry,9,6,3,.667,9,6,3,.667,0,0,0,
aminual01,Al-Farouq Aminu,9,6,3,.667,9,6,3,.667,0,0,0,
henryxa01,Xavier Henry,8,6,2,.750,8,6,2,.750,0,0,0,
ayongu01,Gustavo Ayón,8,6,2,.750,8,6,2,.750,0,0,0,
thomala01,Lance Thomas,8,5,3,.625,8,5,3,.625,0,0,0,
smithja02,Jason Smith,8,5,3,.625,8,5,3,.625,0,0,0,
watkida01,Darryl Watkins,5,2,3,.400,5,2,3,.400,0,0,0,
gordoer01,Eric Gordon,4,3,1,.750,4,3,1,.750,0,0,0,
kamanch01,Chris Kaman,3,3,0,1.000,3,3,0,1.000,0,0,0,
