id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
goberru01,Rudy Gobert*,576,343,233,.595,533,324,209,.608,43,19,24,.442
favorde01,Derrick Favors,436,246,190,.564,398,230,168,.578,38,16,22,.421
onealro01,Royce O'Neale,366,225,141,.615,332,210,122,.633,34,15,19,.441
mitchdo01,Donovan Mitchell,342,211,131,.617,309,196,113,.634,33,15,18,.455
hoodro01,Rodney Hood,237,126,111,.532,226,122,104,.540,11,4,7,.364
haywago01,Gordon Hayward,236,121,115,.513,225,117,108,.520,11,4,7,.364
exumda01,Dante Exum,229,120,109,.524,212,112,100,.528,17,8,9,.471
niangge01,Georges Niang,224,148,76,.661,201,138,63,.687,23,10,13,.435
netora01,Raul Neto*,218,124,94,.569,198,118,80,.596,20,6,14,.300
burksal01,Alec Burks,189,97,92,.513,180,93,87,.517,9,4,5,.444
bogdabo02,Bojan Bogdanović,186,122,64,.656,175,116,59,.663,11,6,5,.545
clarkjo01,Jordan Clarkson,169,108,61,.639,151,99,52,.656,18,9,9,.500
rubiori01,Ricky Rubio,156,89,67,.571,145,84,61,.579,11,5,6,.455
booketr01,Trevor Booker,154,74,80,.481,154,74,80,.481,0,0,0,
lylestr01,Trey Lyles,152,81,71,.533,150,81,69,.540,2,0,2,.000
conlemi01,Mike Conley*,146,92,54,.630,135,86,49,.637,11,6,5,.545
crowdja01,Jae Crowder,143,88,55,.615,123,81,42,.659,20,7,13,.350
burketr01,Trey Burke,136,64,72,.471,136,64,72,.471,0,0,0,
udohek01,Ekpe Udoh,122,73,49,.598,114,71,43,.623,8,2,6,.250
johnsjo02,Joe Johnson,121,67,54,.554,110,63,47,.573,11,4,7,.364
witheje01,Jeff Withey,104,60,44,.577,101,58,43,.574,3,2,1,.667
sefolth01,Thabo Sefolosha,92,45,47,.489,88,44,44,.500,4,1,3,.250
macksh01,Shelvin Mack,92,50,42,.543,83,47,36,.566,9,3,6,.333
allengr01,Grayson Allen*,86,52,34,.605,79,51,28,.646,7,1,6,.143
onimi01,Miye Oni,84,65,19,.774,74,59,15,.797,10,6,4,.600
jerebjo01,Jonas Jerebko,84,49,35,.583,74,45,29,.608,10,4,6,.400
diawbo01,Boris Diaw,84,49,35,.583,73,45,28,.616,11,4,7,.364
johnsch04,Chris Johnson,81,45,36,.556,81,45,36,.556,0,0,0,
bradlto01,Tony Bradley,77,47,30,.610,70,44,26,.629,7,3,4,.429
forretr01,Trent Forrest,68,44,24,.647,64,43,21,.672,4,1,3,.250
millsel01,Elijah Millsap,63,32,31,.508,63,32,31,.508,0,0,0,
hillge01,George Hill,62,39,23,.629,54,35,19,.648,8,4,4,.500
morgaju01,Juwan Morgan,59,40,19,.678,50,36,14,.720,9,4,5,.444
korveky01,Kyle Korver,58,37,21,.638,54,36,18,.667,4,1,3,.250
mudiaem01,Emmanuel Mudiay,57,36,21,.632,54,34,20,.630,3,2,1,.667
lopezbr01,Brook Lopez,49,33,16,.673,44,32,12,.727,5,1,4,.200
carteje01,Jevon Carter,49,32,17,.653,45,31,14,.689,4,1,3,.250
kanteen01,Enes Freedom,46,15,31,.326,46,15,31,.326,0,0,0,
connapa01,Pat Connaughton,46,30,16,.652,42,29,13,.690,4,1,3,.250
holidjr01,Jrue Holiday,45,30,15,.667,40,29,11,.725,5,1,4,.200
portibo01,Bobby Portis,41,23,18,.561,36,22,14,.611,5,1,4,.200
brantja01,Jarrell Brantley,39,27,12,.692,35,24,11,.686,4,3,1,.750
antetgi01,Giannis Antetokounmpo,38,26,12,.684,35,26,9,.743,3,0,3,.000
evansje01,Jeremy Evans,38,19,19,.500,38,19,19,.500,0,0,0,
whiteha01,Hassan Whiteside*,35,23,12,.657,35,23,12,.657,0,0,0,
pascher01,Eric Paschall,32,21,11,.656,32,21,11,.656,0,0,0,
beaucma01,MarJon Beauchamp,31,19,12,.613,29,18,11,.621,2,1,1,.500
greenje02,Jeff Green,30,18,12,.600,30,18,12,.600,0,0,0,
gayru01,Rudy Gay*,29,19,10,.655,29,19,10,.655,0,0,0,
middlkh01,Khris Middleton,29,20,9,.690,24,19,5,.792,5,1,4,.200
matthwe02,Wesley Matthews*,29,19,10,.655,27,19,8,.704,2,0,2,.000
davised01,Ed Davis,28,16,12,.571,28,16,12,.571,0,0,0,
hugheel01,Elijah Hughes,24,18,6,.750,24,18,6,.750,0,0,0,
tuckera01,Rayjon Tucker,22,14,8,.636,20,12,8,.600,2,2,0,1.000
antetth01,Thanasis Antetokounmpo,21,13,8,.619,19,12,7,.632,2,1,1,.500
thomama02,Matt Thomas,21,14,7,.667,18,13,5,.722,3,1,2,.333
clarkia01,Ian Clark,20,5,15,.250,20,5,15,.250,0,0,0,
azubuud01,Udoka Azubuike,19,13,6,.684,18,13,5,.722,1,0,1,.000
novakst01,Steve Novak,19,3,16,.158,19,3,16,.158,0,0,0,
butleja02,Jared Butler,19,16,3,.842,19,16,3,.842,0,0,0,
greenaj01,A.J. Green,18,13,5,.722,18,13,5,.722,0,0,0,
ilyaser01,Ersan İlyasova,17,13,4,.765,16,13,3,.812,1,0,1,.000
cooleja01,Jack Cooley,16,10,6,.625,16,10,6,.625,0,0,0,
cottobr01,Bryce Cotton,15,9,6,.600,15,9,6,.600,0,0,0,
mitrona01,Naz Mitrou-Long,15,9,6,.600,15,9,6,.600,0,0,0,
bolomjo01,Joel Bolomboy,14,8,6,.571,12,8,4,.667,2,0,2,.000
harrish01,Shaquille Harrison,14,12,2,.857,14,12,2,.857,0,0,0,
pleisti01,Tibor Pleiß,12,7,5,.583,12,7,5,.583,0,0,0,
cavanty01,Tyler Cavanaugh,11,7,4,.636,11,7,4,.636,0,0,0,
willini01,Nigel Williams-Goss,11,7,4,.636,10,6,4,.600,1,1,0,1.000
leoname01,Meyers Leonard,10,7,3,.700,8,6,2,.750,2,1,1,.500
nworajo01,Jordan Nwora,10,6,4,.600,10,6,4,.600,0,0,0,
mamuksa01,Sandro Mamukelashvili,8,5,3,.625,8,5,3,.625,0,0,0,
dragigo01,Goran Dragić*,7,4,3,.571,5,3,2,.600,2,1,1,.500
wiggili01,Lindell Wigginton,6,4,2,.667,6,4,2,.667,0,0,0,
greener01,Erick Green,6,5,1,.833,6,5,1,.833,0,0,0,
fittsma01,Malik Fitts,5,5,0,1.000,5,5,0,1.000,0,0,0,
williel01,Elliot Williams,5,2,3,.400,5,2,3,.400,0,0,0,
woltena01,Nate Wolters,5,3,2,.600,5,3,2,.600,0,0,0,
stockda01,David Stockton,5,4,1,.800,3,3,0,1.000,2,1,1,.500
wrighju02,Justin Wright-Foreman,4,1,3,.250,4,1,3,.250,0,0,0,
mccreer01,Erik McCree,4,4,0,1.000,4,4,0,1.000,0,0,0,
kiddst01,Stanton Kidd,4,3,1,.750,4,3,1,.750,0,0,0,
chrispa01,Patrick Christopher,4,2,2,.500,4,2,2,.500,0,0,0,
jerregr01,Grant Jerrett,3,2,1,.667,3,2,1,.667,0,0,0,
houseda01,Danuel House Jr.,3,0,3,.000,3,0,3,.000,0,0,0,
obriejj01,J.J. O'Brien,2,2,0,1.000,2,2,0,1.000,0,0,0,
valende01,Denzel Valentine,2,1,1,.500,2,1,1,.500,0,0,0,
benimje01,Jerrelle Benimon,2,2,0,1.000,2,2,0,1.000,0,0,0,
cheatzy01,Zylan Cheatham,1,0,1,.000,1,0,1,.000,0,0,0,
ibakase01,Serge Ibaka,1,0,1,.000,1,0,1,.000,0,0,0,
murryto01,Toure' Murry,1,1,0,1.000,1,1,0,1.000,0,0,0,
