id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
tripuke01,Kelly Tripucka,376,210,166,.559,356,201,155,.565,20,9,11,.450
longjo01,John Long,346,175,171,.506,331,168,163,.508,15,7,8,.467
tylerte01,Terry Tyler,340,164,176,.482,326,157,169,.482,14,7,7,.500
thomais01,Isiah Thomas,324,185,139,.571,306,177,129,.578,18,8,10,.444
johnsvi01,Vinnie Johnson,322,178,144,.553,304,170,134,.559,18,8,10,.444
laimbbi01,Bill Laimbeer,288,166,122,.576,270,158,112,.585,18,8,10,.444
curetea01,Earl Cureton,232,135,97,.582,214,127,87,.593,18,8,10,.444
bridgju01,Junior Bridgeman,215,108,107,.502,206,103,103,.500,9,5,4,.556
wintebr01,Brian Winters,210,107,103,.510,201,102,99,.507,9,5,4,.556
johnsma01,Marques Johnson,207,105,102,.507,198,100,98,.505,9,5,4,.556
waltoll01,Lloyd Walton,202,102,100,.505,193,97,96,.503,9,5,4,.556
bucknqu01,Quinn Buckner,200,103,97,.515,191,98,93,.513,9,5,4,.556
gianejo01,John Gianelli,160,80,80,.500,151,75,76,.497,9,5,4,.556
grunfer01,Ernie Grunfeld,151,74,77,.490,144,71,73,.493,7,3,4,.429
leero01,Ron Lee,150,51,99,.340,150,51,99,.340,0,0,0,
meyerda01,Dave Meyers,129,69,60,.535,120,64,56,.533,9,5,4,.556
campbto01,Tony Campbell,128,70,58,.547,124,69,55,.556,4,1,3,.250
hubbaph01,Phil Hubbard,124,41,83,.331,124,41,83,.331,0,0,0,
mokespa01,Paul Mokeski,96,33,63,.344,96,33,63,.344,0,0,0,
levincl01,Cliff Levingston,96,57,39,.594,91,55,36,.604,5,2,3,.400
restake01,Kevin Restani,88,43,45,.489,88,43,45,.489,0,0,0,
englial01,Alex English,78,42,36,.538,69,37,32,.536,9,5,4,.556
dumarjo01,Joe Dumars,76,42,34,.553,72,41,31,.569,4,1,3,.250
malonka01,Karl Malone,75,40,35,.533,73,39,34,.534,2,1,1,.500
stockjo01,John Stockton,75,40,35,.533,73,39,34,.534,2,1,1,.500
baileth01,Thurl Bailey,74,40,34,.541,72,39,33,.542,2,1,1,.500
mahorri01,Rick Mahorn,74,41,33,.554,70,40,30,.571,4,1,3,.250
greenri01,Rickey Green,73,39,34,.534,72,38,34,.528,1,1,0,1.000
griffda01,Darrell Griffith,72,39,33,.542,70,38,32,.543,2,1,1,.500
eatonma01,Mark Eaton,72,38,34,.528,70,37,33,.529,2,1,1,.500
iavarma01,Marc Iavaroni,71,39,32,.549,69,38,31,.551,2,1,1,.500
hansebo01,Bob Hansen,69,39,30,.565,67,38,29,.567,2,1,1,.500
johnsge03,George Johnson,67,31,36,.463,67,31,36,.463,0,0,0,
jonesed01,Edgar Jones,65,33,32,.508,65,33,32,.508,0,0,0,
scurrca01,Carey Scurry,62,32,30,.516,61,31,30,.508,1,1,0,1.000
curryde01,Dell Curry,60,27,33,.450,60,27,33,.450,0,0,0,
robinwa01,Wayne Robinson,58,15,43,.259,58,15,43,.259,0,0,0,
drewla01,Larry Drew,58,16,42,.276,58,16,42,.276,0,0,0,
herroke01,Keith Herron,57,15,42,.263,57,15,42,.263,0,0,0,
