id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
baileth01,Thurl Bailey,508,288,220,.567,468,273,195,.583,40,15,25,.375
eatonma01,Mark Eaton,503,286,217,.569,468,272,196,.581,35,14,21,.400
stockjo01,John Stockton,448,252,196,.562,412,239,173,.580,36,13,23,.361
malonka01,Karl Malone,387,222,165,.574,359,211,148,.588,28,11,17,.393
griffda01,Darrell Griffith,374,213,161,.570,349,205,144,.587,25,8,17,.320
greenri01,Rickey Green,361,197,164,.546,334,186,148,.557,27,11,16,.407
iavarma01,Marc Iavaroni,237,137,100,.578,216,128,88,.593,21,9,12,.429
scurrca01,Carey Scurry,173,88,85,.509,165,85,80,.515,8,3,5,.375
dantlad01,Adrian Dantley,170,93,77,.547,158,89,69,.563,12,4,8,.333
wilkije01,Jeff Wilkins,166,88,78,.530,154,84,70,.545,12,4,8,.333
leckner01,Eric Leckner,135,82,53,.607,129,81,48,.628,6,1,5,.167
brownmi01,Mike Brown,130,82,48,.631,123,80,43,.650,7,2,5,.286
tripuke01,Kelly Tripucka,124,67,57,.540,117,65,52,.556,7,2,5,.286
kelleri01,Rich Kelley,114,63,51,.553,103,59,44,.573,11,4,7,.364
roberfr01,Fred Roberts,100,50,50,.500,88,47,41,.534,12,3,9,.250
edwarbl01,Blue Edwards,86,57,29,.663,81,55,26,.679,5,2,3,.400
turpime01,Melvin Turpin,85,49,36,.576,78,45,33,.577,7,4,3,.571
ruddde01,Delaney Rudd,82,53,29,.646,77,51,26,.662,5,2,3,.400
mannipa01,Pace Mannion,81,40,41,.494,74,38,36,.514,7,2,5,.286
drewjo01,John Drew,77,43,34,.558,73,41,32,.562,4,2,2,.500
lesji01,Jim Les,76,36,40,.474,73,36,37,.493,3,0,3,.000
pippesc01,Scottie Pippen,75,65,10,.867,66,58,8,.879,9,7,2,.778
armstbj01,B.J. Armstrong,75,65,10,.867,66,58,8,.879,9,7,2,.778
grantho01,Horace Grant,75,65,10,.867,66,58,8,.879,9,7,2,.778
levincl01,Cliff Levingston,73,63,10,.863,64,56,8,.875,9,7,2,.778
jordami01,Michael Jordan,73,65,8,.890,64,58,6,.906,9,7,2,.778
paxsojo01,John Paxson,72,62,10,.861,63,55,8,.873,9,7,2,.778
perduwi01,Will Perdue,71,61,10,.859,64,56,8,.875,7,5,2,.714
kingst01,Stacey King,70,61,9,.871,63,55,8,.873,7,6,1,.857
bensoke01,Kent Benson,69,39,30,.565,67,38,29,.567,2,1,1,.500
anderjj01,J.J. Anderson,64,34,30,.531,62,33,29,.532,2,1,1,.500
willisc01,Scott Williams,60,51,9,.850,51,44,7,.863,9,7,2,.778
curryde01,Dell Curry,59,28,31,.475,57,27,30,.474,2,1,1,.500
hayesst01,Steve Hayes,59,27,32,.458,58,27,31,.466,1,0,1,.000
eavesje01,Jerry Eaves,58,35,23,.603,54,33,21,.611,4,2,2,.500
cartwbi01,Bill Cartwright,57,49,8,.860,48,42,6,.875,9,7,2,.778
paultbi01,Billy Paultz*,48,25,23,.521,44,24,20,.545,4,1,3,.250
johnser01,Eric Johnson,48,32,16,.667,47,32,15,.681,1,0,1,.000
kofoeba01,Bart Kofoed,47,28,19,.596,37,22,15,.595,10,6,4,.600
hodgecr01,Craig Hodges,46,39,7,.848,41,35,6,.854,5,4,1,.800
ortizjo01,José Ortiz,40,25,15,.625,40,25,15,.625,0,0,0,
sparrro01,Rory Sparrow,38,12,26,.316,38,12,26,.316,0,0,0,
wennibi01,Bill Wennington,36,10,26,.278,36,10,26,.278,0,0,0,
simmoli01,Lionel Simmons,36,11,25,.306,36,11,25,.306,0,0,0,
causwdu01,Duane Causwell,33,10,23,.303,33,10,23,.303,0,0,0,
rothsc01,Scott Roth,32,20,12,.625,26,18,8,.692,6,2,4,.333
carran01,Antoine Carr,31,9,22,.290,31,9,22,.290,0,0,0,
bosweto01,Tom Boswell,31,16,15,.516,29,15,14,.517,2,1,1,.500
callori01,Rick Calloway,25,8,17,.320,25,8,17,.320,0,0,0,
farmeji01,Jim Farmer,24,17,7,.708,22,17,5,.773,2,0,2,.000
maystr01,Travis Mays,21,3,18,.143,21,3,18,.143,0,0,0,
brownra01,Raymond Brown,19,13,6,.684,16,12,4,.750,3,1,2,.333
hugheed01,Eddie Hughes,18,9,9,.500,11,5,6,.455,7,4,3,.571
fredean01,Anthony Frederick,15,4,11,.267,15,4,11,.267,0,0,0,
tisdawa01,Wayman Tisdale,15,5,10,.333,15,5,10,.333,0,0,0,
randama01,Mark Randall,13,13,0,1.000,13,13,0,1.000,0,0,0,
coltest01,Steve Colter,12,2,10,.167,12,2,10,.167,0,0,0,
sampsra01,Ralph Sampson,9,2,7,.222,9,2,7,.222,0,0,0,
higgimi01,Mike Higgins,7,1,6,.143,7,1,6,.143,0,0,0,
cookje01,Jeff Cook,6,3,3,.500,2,2,0,1.000,4,1,3,.250
johnsna01,Nate Johnston,6,4,2,.667,6,4,2,.667,0,0,0,
woodle01,Leon Wood,6,4,2,.667,6,4,2,.667,0,0,0,
bonnean01,Anthony Bonner,5,3,2,.600,5,3,2,.600,0,0,0,
dawsoto01,Tony Dawson,4,1,3,.250,4,1,3,.250,0,0,0,
dawkida01,Darryl Dawkins,4,3,1,.750,4,3,1,.750,0,0,0,
