id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
rasmubl01,Blair Rasmussen,301,158,143,.525,285,153,132,.537,16,5,11,.312
englial01,Alex English,250,140,110,.560,234,135,99,.577,16,5,11,.312
leverfa01,Fat Lever,235,135,100,.574,224,130,94,.580,11,5,6,.455
schayda01,Danny Schayes,216,122,94,.565,204,117,87,.574,12,5,7,.417
hanzlbi01,Bill Hanzlik,210,120,90,.571,194,115,79,.593,16,5,11,.312
jonesch01,Charles Jones,199,75,124,.377,196,75,121,.383,3,0,3,.000
daviswa03,Walter Davis,179,87,92,.486,174,87,87,.500,5,0,5,.000
laneje01,Jerome Lane,172,78,94,.453,168,78,90,.464,4,0,4,.000
dunntr01,T.R. Dunn,166,95,71,.572,152,90,62,.592,14,5,9,.357
ellispe01,Pervis Ellison,153,46,107,.301,153,46,107,.301,0,0,0,
stewala01,Larry Stewart,144,43,101,.299,144,43,101,.299,0,0,0,
guglito01,Tom Gugliotta,137,41,96,.299,137,41,96,.299,0,0,0,
vinceja01,Jay Vincent,132,80,52,.606,121,75,46,.620,11,5,6,.455
coopewa01,Wayne Cooper,130,74,56,.569,119,70,49,.588,11,4,7,.364
grantha01,Harvey Grant,123,39,84,.317,123,39,84,.317,0,0,0,
macledo01,Don MacLean,116,38,78,.328,116,38,78,.328,0,0,0,
smithla02,LaBradford Smith,112,32,80,.286,112,32,80,.286,0,0,0,
pricebr01,Brent Price,109,32,77,.294,109,32,77,.294,0,0,0,
chapmre01,Rex Chapman,102,30,72,.294,102,30,72,.294,0,0,0,
wingada01,David Wingate,99,37,62,.374,98,36,62,.367,1,1,0,1.000
lichtto01,Todd Lichti,98,49,49,.500,95,49,46,.516,3,0,3,.000
cookda01,Darwin Cook,96,46,50,.479,91,46,45,.505,5,0,5,.000
overtdo01,Doug Overton,84,28,56,.333,84,28,56,.333,0,0,0,
hugheed01,Eddie Hughes,80,41,39,.512,80,41,39,.512,0,0,0,
wolfjo01,Joe Wolf,80,28,52,.350,80,28,52,.350,0,0,0,
engliaj01,A.J. English,77,25,52,.325,77,25,52,.325,0,0,0,
turneel01,Elston Turner,76,40,36,.526,74,40,34,.541,2,0,2,.000
kemptti01,Tim Kempton,71,38,33,.535,68,38,30,.559,3,0,3,.000
bolma01,Manute Bol,68,33,35,.485,65,33,32,.508,3,0,3,.000
evansmi01,Mike Evans,67,39,28,.582,56,34,22,.607,11,5,6,.455
