id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
holidjr01,Jrue Holiday,101,44,57,.436,101,44,57,.436,0,0,0,
beysa01,Saddiq Bey*,92,21,71,.228,92,21,71,.228,0,0,0,
okafoja01,Jahlil Okafor,89,29,60,.326,89,29,60,.326,0,0,0,
stewais01,Isaiah Stewart,88,22,66,.250,88,22,66,.250,0,0,0,
mooreet01,E'Twaun Moore,86,36,50,.419,86,36,50,.419,0,0,0,
willike04,Kenrich Williams,69,23,46,.333,69,23,46,.333,0,0,0,
jacksjo02,Josh Jackson,61,13,48,.213,61,13,48,.213,0,0,0,
hayeski01,Killian Hayes,60,14,46,.233,60,14,46,.233,0,0,0,
grantje01,Jerami Grant,60,13,47,.217,60,13,47,.217,0,0,0,
josepco01,Cory Joseph,60,13,47,.217,60,13,47,.217,0,0,0,
diallha01,Hamidou Diallo,55,8,47,.145,55,8,47,.145,0,0,0,
randlju01,Julius Randle,54,21,33,.389,54,21,33,.389,0,0,0,
hartjo01,Josh Hart,53,23,30,.434,53,23,30,.434,0,0,0,
milleda01,Darius Miller,53,21,32,.396,53,21,32,.396,0,0,0,
leesa01,Saben Lee,52,12,40,.231,52,12,40,.231,0,0,0,
hayesja02,Jaxson Hayes*,52,24,28,.462,52,24,28,.462,0,0,0,
balllo01,Lonzo Ball,51,23,28,.451,51,23,28,.451,0,0,0,
mellini01,Nicolò Melli,51,23,28,.451,51,23,28,.451,0,0,0,
ingrabr01,Brandon Ingram*,50,22,28,.440,50,22,28,.440,0,0,0,
diallch01,Cheick Diallo,49,18,31,.367,49,18,31,.367,0,0,0,
redicjj01,J.J. Redick,48,22,26,.458,48,22,26,.458,0,0,0,
clarkia01,Ian Clark,43,15,28,.349,43,15,28,.349,0,0,0,
davisan02,Anthony Davis*,42,17,25,.405,42,17,25,.405,0,0,0,
favorde01,Derrick Favors,41,21,20,.512,41,21,20,.512,0,0,0,
alexani01,Nickeil Alexander-Walker*,40,16,24,.400,40,16,24,.400,0,0,0,
lylestr01,Trey Lyles,39,6,33,.154,39,6,33,.154,0,0,0,
cunnica01,Cade Cunningham,38,8,30,.211,38,8,30,.211,0,0,0,
mcgruro01,Rodney McGruder,36,3,33,.083,36,3,33,.083,0,0,0,
fraziti01,Tim Frazier,34,12,22,.353,34,12,22,.353,0,0,0,
