id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
murraja01,Jamal Murray,4,3,1,.750,4,3,1,.750,0,0,0,
cancavl01,Vlatko Čančar,4,3,1,.750,4,3,1,.750,0,0,0,
portemi01,Michael Porter Jr.,4,3,1,.750,4,3,1,.750,0,0,0,
jokicni01,Nikola Jokić,4,3,1,.750,4,3,1,.750,0,0,0,
doziepj01,PJ Dozier,4,3,1,.750,4,3,1,.750,0,0,0,
bartowi01,Will Barton*,4,3,1,.750,4,3,1,.750,0,0,0,
bolbo01,Bol Bol,4,3,1,.750,4,3,1,.750,0,0,0,
nnajize01,Zeke Nnaji,4,3,1,.750,4,3,1,.750,0,0,0,
howarma02,Markus Howard,3,2,1,.667,3,2,1,.667,0,0,0,
harteis01,Isaiah Hartenstein*,3,3,0,1.000,3,3,0,1.000,0,0,0,
campafa01,Facundo Campazzo,3,2,1,.667,3,2,1,.667,0,0,0,
morrimo01,Monte Morris,2,2,0,1.000,2,2,0,1.000,0,0,0,
millspa01,Paul Millsap,2,1,1,.500,2,1,1,.500,0,0,0,
greenja01,JaMychal Green,2,1,1,.500,2,1,1,.500,0,0,0,
hamptrj01,R.J. Hampton,1,1,0,1.000,1,1,0,1.000,0,0,0,
