id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
thompkl01,Klay Thompson,364,256,108,.703,300,216,84,.720,64,40,24,.625
greendr01,Draymond Green*,363,255,108,.702,300,215,85,.717,63,40,23,.635
curryst01,Stephen Curry*,355,253,102,.713,297,217,80,.731,58,36,22,.621
bogutan01,Andrew Bogut,296,206,90,.696,243,171,72,.704,53,35,18,.660
foxde01,De'Aaron Fox,268,121,147,.451,261,118,143,.452,7,3,4,.429
speigma01,Marreese Speights,250,184,66,.736,209,159,50,.761,41,25,16,.610
iguodan01,Andre Iguodala,237,181,56,.764,185,147,38,.795,52,34,18,.654
leeda02,David Lee,218,136,82,.624,192,121,71,.630,26,15,11,.577
ezelife01,Festus Ezeli,211,147,64,.697,156,112,44,.718,55,35,20,.636
hieldbu01,Buddy Hield,207,84,123,.406,207,84,123,.406,0,0,0,
poweldw01,Dwight Powell,194,73,121,.376,194,73,121,.376,0,0,0,
ferreyo01,Yogi Ferrell,187,71,116,.380,187,71,116,.380,0,0,0,
livinsh01,Shaun Livingston,185,150,35,.811,140,119,21,.850,45,31,14,.689
holmeri01,Richaun Holmes,179,75,104,.419,179,75,104,.419,0,0,0,
matthwe02,Wesley Matthews*,173,66,107,.382,173,66,107,.382,0,0,0,
barbole01,Leandro Barbosa,167,134,33,.802,123,104,19,.846,44,30,14,.682
mitchda01,Davion Mitchell,157,75,82,.478,150,72,78,.480,7,3,4,.429
metuch01,Chimezie Metu,152,73,79,.480,149,72,77,.483,3,1,2,.333
nowitdi01,Dirk Nowitzki,148,56,92,.378,148,56,92,.378,0,0,0,
finnedo01,Dorian Finney-Smith,146,59,87,.404,146,59,87,.404,0,0,0,
harride01,Devin Harris,145,65,80,.448,145,65,80,.448,0,0,0,
mejrisa01,Salah Mejri,144,59,85,.410,144,59,85,.410,0,0,0,
bazemke01,Kent Bazemore*,134,76,58,.567,125,72,53,.576,9,4,5,.444
bareajo01,J.J. Barea,134,52,82,.388,134,52,82,.388,0,0,0,
bjeline01,Nemanja Bjelica,120,51,69,.425,120,51,69,.425,0,0,0,
josepco01,Cory Joseph,113,50,63,.442,113,50,63,.442,0,0,0,
klebima01,Maxi Kleber,111,41,70,.369,111,41,70,.369,0,0,0,
rushbr01,Brandon Rush,109,89,20,.817,92,78,14,.848,17,11,6,.647
daviste02,Terence Davis,109,53,56,.486,105,51,54,.486,4,2,2,.500
lylestr01,Trey Lyles,105,54,51,.514,98,51,47,.520,7,3,4,.429
sabondo01,Domantas Sabonis*,101,55,46,.545,94,52,42,.553,7,3,4,.429
halibty01,Tyrese Haliburton,98,40,58,.408,98,40,58,.408,0,0,0,
baglema01,Marvin Bagley III,96,33,63,.344,96,33,63,.344,0,0,0,
smithde03,Dennis Smith Jr.,94,36,58,.383,94,36,58,.383,0,0,0,
landrca01,Carl Landry,93,52,41,.559,81,46,35,.568,12,6,6,.500
jackja01,Jarrett Jack,90,52,38,.578,78,46,32,.590,12,6,6,.500
holidju01,Justin Holiday*,89,63,26,.708,84,58,26,.690,5,5,0,1.000
bogdabo01,Bogdan Bogdanović*,89,40,49,.449,89,40,49,.449,0,0,0,
murrake02,Keegan Murray,87,50,37,.575,80,47,33,.588,7,3,4,.429
monkma01,Malik Monk*,84,50,34,.595,77,47,30,.610,7,3,4,.429
huertke01,Kevin Huerter*,82,47,35,.573,75,44,31,.587,7,3,4,.429
lenal01,Alex Len*,82,41,41,.500,75,38,37,.507,7,3,4,.429
curryse01,Seth Curry*,70,30,40,.429,70,30,40,.429,0,0,0,
clarkia01,Ian Clark,67,56,11,.836,51,46,5,.902,16,10,6,.625
gilesha01,Harry Giles,63,29,34,.460,63,29,34,.460,0,0,0,
jefferi01,Richard Jefferson,62,33,29,.532,55,29,26,.527,7,4,3,.571
harklma01,Maurice Harkless,62,19,43,.306,62,19,43,.306,0,0,0,
jonesda03,Damian Jones,59,20,39,.339,59,20,39,.339,0,0,0,
jamesju01,Justin James,59,23,36,.390,59,23,36,.390,0,0,0,
mcadoja01,James Michael McAdoo,56,46,10,.821,43,37,6,.860,13,9,4,.692
biedran01,Andris Biedriņš,55,28,27,.509,52,27,25,.519,3,1,2,.333
anderju01,Justin Anderson,51,19,32,.373,51,19,32,.373,0,0,0,
brussni01,Nicolás Brussino,51,17,34,.333,51,17,34,.333,0,0,0,
noelne01,Nerlens Noel,49,15,34,.306,49,15,34,.306,0,0,0,
crawfjo02,Jordan Crawford,48,28,20,.583,42,26,16,.619,6,2,4,.333
onealje01,Jermaine O'Neal,48,28,20,.583,41,25,16,.610,7,3,4,.429
doncilu01,Luka Dončić,47,22,25,.468,47,22,25,.468,0,0,0,
jordade01,DeAndre Jordan,46,21,25,.457,46,21,25,.457,0,0,0,
jenkich01,Charles Jenkins,46,25,21,.543,46,25,21,.543,0,0,0,
brunsja01,Jalen Brunson,41,17,24,.415,41,17,24,.415,0,0,0,
willide01,Deron Williams,40,15,25,.375,40,15,25,.375,0,0,0,
varejan01,Anderson Varejão,39,30,9,.769,22,19,3,.864,17,11,6,.647
dedmode01,Dewayne Dedmon,38,15,23,.395,38,15,23,.395,0,0,0,
kuzmiog01,Ognjen Kuzmić,36,28,8,.778,33,26,7,.788,3,2,1,.667
okpalkz01,KZ Okpala,35,19,16,.543,35,19,16,.543,0,0,0,
blakest01,Steve Blake,34,21,13,.618,28,19,9,.679,6,2,4,.333
whiteha01,Hassan Whiteside*,33,16,17,.485,33,16,17,.485,0,0,0,
dellama01,Matthew Dellavedova,32,19,13,.594,32,19,13,.594,0,0,0,
arizatr01,Trevor Ariza,32,12,20,.375,32,12,20,.375,0,0,0,
breweco01,Corey Brewer,29,10,19,.345,29,10,19,.345,0,0,0,
colliky01,Kyle Collinsworth,28,9,19,.321,28,9,19,.321,0,0,0,
edwarke02,Kessler Edwards*,28,14,14,.500,22,12,10,.545,6,2,4,.333
jeffrda01,DaQuan Jeffries,28,9,19,.321,28,9,19,.321,0,0,0,
caulewi01,Willie Cauley-Stein,27,11,16,.407,27,11,16,.407,0,0,0,
thomptr01,Tristan Thompson*,27,9,18,.333,27,9,18,.333,0,0,0,
divindo01,Donte DiVincenzo,25,9,16,.360,25,9,16,.360,0,0,0,
guyky01,Kyle Guy,25,9,16,.360,25,9,16,.360,0,0,0,
mcderdo01,Doug McDermott*,24,7,17,.292,24,7,17,.292,0,0,0,
woodaro01,Robert Woodard II,23,3,20,.130,23,3,20,.130,0,0,0,
armsthi01,Hilton Armstrong,22,15,7,.682,15,12,3,.800,7,3,4,.429
ramseja01,Jahmi'us Ramsey,22,2,20,.091,22,2,20,.091,0,0,0,
robingl02,Glenn Robinson III,22,9,13,.409,22,9,13,.409,0,0,0,
nedovne01,Nemanja Nedović,21,14,7,.667,20,14,6,.700,1,0,1,.000
tylerje01,Jeremy Tyler,20,10,10,.500,20,10,10,.500,0,0,0,
douglto01,Toney Douglas,20,13,7,.650,20,13,7,.650,0,0,0,
quetane01,Neemias Queta,20,5,15,.250,20,5,15,.250,0,0,0,
doziepj01,PJ Dozier,19,12,7,.632,16,11,5,.688,3,1,2,.333
thompja02,Jason Thompson,19,17,2,.895,19,17,2,.895,0,0,0,
hammoaj01,A.J. Hammons,19,3,16,.158,19,3,16,.158,0,0,0,
broekry01,Ryan Broekhoff,18,7,11,.389,18,7,11,.389,0,0,0,
lambje01,Jeremy Lamb,17,8,9,.471,17,8,9,.471,0,0,0,
gibsojo01,Jonathan Gibson,17,4,13,.235,17,4,13,.235,0,0,0,
wrighde01,Delon Wright*,16,5,11,.312,16,5,11,.312,0,0,0,
elliske01,Keon Ellis,16,7,9,.438,16,7,9,.438,0,0,0,
burksal01,Alec Burks,13,4,9,.308,13,4,9,.308,0,0,0,
