id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
dempsge01,George Dempsey,140,80,60,.571,131,75,56,.573,9,5,4,.556
arizipa01,Paul Arizin,140,80,60,.571,131,75,56,.573,9,5,4,.556
grabojo01,Joe Graboski*,139,80,59,.576,130,75,55,.577,9,5,4,.556
johnsne01,Neil Johnston*,136,77,59,.566,127,72,55,.567,9,5,4,.556
georgja01,Jack George*,133,77,56,.579,124,72,52,.581,9,5,4,.556
daviswa01,Walt Davis*,129,74,55,.574,120,69,51,.575,9,5,4,.556
becker01,Ernie Beck,116,68,48,.586,107,63,44,.589,9,5,4,.556
golato01,Tom Gola,59,38,21,.644,51,33,18,.647,8,5,3,.625
costela01,Larry Costello,58,29,29,.500,57,29,28,.509,1,0,1,.000
hennela01,Larry Hennessy,51,32,19,.627,48,30,18,.625,3,2,1,.667
hitchle01,Lew Hitch*,30,13,17,.433,29,13,16,.448,1,0,1,.000
zawolze01,Zeke Zawoluk,18,8,10,.444,18,8,10,.444,0,0,0,
murrake01,Ken Murray*,18,10,8,.556,18,10,8,.556,0,0,0,
armstbo01,Bob Armstrong*,16,9,7,.562,16,9,7,.562,0,0,0,
schafbo01,Bob Schafer,12,9,3,.750,12,9,3,.750,0,0,0,
kearnmi01,Mike Kearns,4,1,3,.250,4,1,3,.250,0,0,0,
learha01,Hal Lear,3,1,2,.333,3,1,2,.333,0,0,0,
kerrre01,Red Kerr*,1,0,1,.000,1,0,1,.000,0,0,0,
ratkoge01,George Ratkovicz*,1,0,1,.000,1,0,1,.000,0,0,0,
calhobi01,Bill Calhoun*,1,0,1,.000,1,0,1,.000,0,0,0,
mcbrike01,Ken McBride,1,0,1,.000,1,0,1,.000,0,0,0,
martiph01,Phil Martin,1,0,1,.000,1,0,1,.000,0,0,0,
gaborbi01,Bill Gabor,1,0,1,.000,1,0,1,.000,0,0,0,
kenvibi01,Billy Kenville*,1,0,1,.000,1,0,1,.000,0,0,0,
rochare01,Red Rocha*,1,0,1,.000,1,0,1,.000,0,0,0,
lloydea01,Earl Lloyd*,1,0,1,.000,1,0,1,.000,0,0,0,
sharech01,Chuck Share*,1,0,1,.000,1,0,1,.000,0,0,0,
kingge01,George King*,1,0,1,.000,1,0,1,.000,0,0,0,
coopech01,Chuck Cooper,1,0,1,.000,1,0,1,.000,0,0,0,
schaydo01,Dolph Schayes*,1,0,1,.000,1,0,1,.000,0,0,0,
osterwa01,Wally Osterkorn,1,0,1,.000,1,0,1,.000,0,0,0,
harribo02,Bob Harrison*,1,0,1,.000,1,0,1,.000,0,0,0,
farledi01,Dick Farley*,1,0,1,.000,1,0,1,.000,0,0,0,
pettibo01,Bob Pettit*,1,0,1,.000,1,0,1,.000,0,0,0,
seymopa01,Paul Seymour*,1,0,1,.000,1,0,1,.000,0,0,0,
