id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
roddyda01,David Roddy,28,17,11,.607,24,15,9,.625,4,2,2,.500
konchjo01,John Konchar,26,16,10,.615,22,14,8,.636,4,2,2,.500
jonesty01,Tyus Jones*,26,17,9,.654,22,15,7,.682,4,2,2,.500
brookdi01,Dillon Brooks*,24,15,9,.625,20,13,7,.650,4,2,2,.500
tillmxa01,Xavier Tillman Sr.*,24,15,9,.625,20,13,7,.650,4,2,2,.500
aldamsa01,Santi Aldama,24,14,10,.583,20,12,8,.600,4,2,2,.500
jacksja02,Jaren Jackson Jr.*,23,16,7,.696,19,14,5,.737,4,2,2,.500
banede01,Desmond Bane*,22,14,8,.636,18,12,6,.667,4,2,2,.500
chandke01,Kennedy Chandler,20,12,8,.600,20,12,8,.600,0,0,0,
moranja01,Ja Morant*,18,11,7,.611,15,10,5,.667,3,1,2,.333
kennalu01,Luke Kennard,17,12,5,.706,14,10,4,.714,3,2,1,.667
willizi02,Ziaire Williams,13,8,5,.615,9,6,3,.667,4,2,2,.500
laravja01,Jake LaRavia,12,7,5,.583,12,7,5,.583,0,0,0,
willivi01,Vince Williams Jr.,11,4,7,.364,11,4,7,.364,0,0,0,
clarkbr01,Brandon Clarke*,10,6,4,.600,10,6,4,.600,0,0,0,
adamsst01,Steven Adams,5,3,2,.600,5,3,2,.600,0,0,0,
gilyaja01,Jacob Gilyard,1,0,1,.000,1,0,1,.000,0,0,0,
