id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
johnsst03,Steve Johnson,140,62,78,.443,134,61,73,.455,6,1,5,.167
greenda01,Dave Greenwood,132,53,79,.402,125,52,73,.416,7,1,6,.143
rollitr01,Tree Rollins,128,62,66,.484,123,61,62,.496,5,1,4,.200
roundda01,Dan Roundfield,125,65,60,.520,120,64,56,.533,5,1,4,.200
mcmilto01,Tom McMillen,125,58,67,.464,120,57,63,.475,5,1,4,.200
johnsed02,Eddie Johnson,122,58,64,.475,120,58,62,.483,2,0,2,.000
scottby01,Byron Scott,122,95,27,.779,100,77,23,.770,22,18,4,.818
greenac01,A.C. Green,121,94,27,.777,99,76,23,.768,22,18,4,.818
abdulka01,Kareem Abdul-Jabbar,119,92,27,.773,97,74,23,.763,22,18,4,.818
worthja01,James Worthy,118,91,27,.771,96,73,23,.760,22,18,4,.818
rambiku01,Kurt Rambis,111,84,27,.757,93,70,23,.753,18,14,4,.778
johnsma02,Magic Johnson,111,88,23,.793,89,70,19,.787,22,18,4,.818
macklru01,Rudy Macklin,109,55,54,.505,104,54,50,.519,5,1,4,.200
coopemi01,Michael Cooper,103,81,22,.786,81,63,18,.778,22,18,4,.818
glennmi01,Mike Glenn,92,42,50,.457,87,41,46,.471,5,1,4,.200
hawesst01,Steve Hawes,90,36,54,.400,89,36,53,.404,1,0,1,.000
thompmy01,Mychal Thompson,87,69,18,.793,65,51,14,.785,22,18,4,.818
sparrro01,Rory Sparrow,82,40,42,.488,80,40,40,.500,2,0,2,.000
smrekmi01,Mike Smrek,82,67,15,.817,65,54,11,.831,17,13,4,.765
corzida01,Dave Corzine,82,37,45,.451,78,36,42,.462,4,1,3,.250
jordami01,Michael Jordan,82,37,45,.451,78,36,42,.462,4,1,3,.250
dailequ01,Quintin Dailey,79,35,44,.443,75,34,41,.453,4,1,3,.250
roberal01,Alvin Robertson,78,30,48,.385,75,30,45,.400,3,0,3,.000
mitchmi01,Mike Mitchell,78,30,48,.385,75,30,45,.400,3,0,3,.000
woolror01,Orlando Woolridge,77,35,42,.455,73,34,39,.466,4,1,3,.250
higgiro01,Rod Higgins,77,33,44,.429,76,32,44,.421,1,1,0,1.000
wilkido01,Dominique Wilkins,74,36,38,.486,71,35,36,.493,3,1,2,.333
pellosa01,Sam Pellom,73,31,42,.425,72,31,41,.431,1,0,1,.000
gilmoar01,Artis Gilmore*,67,28,39,.418,64,28,36,.438,3,0,3,.000
whatlen01,Ennis Whatley,67,30,37,.448,67,30,37,.448,0,0,0,
drewjo01,John Drew,67,31,36,.463,65,31,34,.477,2,0,2,.000
sundvjo01,Jon Sundvold,66,23,43,.348,63,23,40,.365,3,0,3,.000
hugheri01,Alfredrick Hughes,65,24,41,.369,62,24,38,.387,3,0,3,.000
oldhaja01,Jawann Oldham,64,28,36,.438,60,27,33,.450,4,1,3,.250
greensi02,Sidney Green,50,22,28,.440,47,21,26,.447,3,1,2,.333
iavarma01,Marc Iavaroni,50,27,23,.540,47,26,21,.553,3,1,2,.333
thompbi01,Billy Thompson,48,37,11,.771,45,34,11,.756,3,3,0,1.000
kupchmi01,Mitch Kupchak,45,19,26,.422,45,19,26,.422,0,0,0,
ballagr01,Greg Ballard,45,19,26,.422,45,19,26,.422,0,0,0,
hayesel01,Elvin Hayes,45,19,26,.422,45,19,26,.422,0,0,0,
porteke01,Kevin Porter,44,18,26,.409,44,18,26,.409,0,0,0,
davisjo01,Johnny Davis,44,22,22,.500,41,21,20,.512,3,1,2,.333
jonesca01,Caldwell Jones*,42,18,24,.429,40,18,22,.450,2,0,2,.000
greveke01,Kevin Grevey,40,16,24,.400,40,16,24,.400,0,0,0,
wagnemi01,Milt Wagner,39,27,12,.692,34,25,9,.735,5,2,3,.400
brancad01,Adrian Branch,38,31,7,.816,28,22,6,.786,10,9,1,.900
unselwe01,Wes Unseld,37,15,22,.405,37,15,22,.405,0,0,0,
lampje01,Jeff Lamp,35,10,25,.286,32,10,22,.312,3,0,3,.000
johnsge02,George Johnson,34,16,18,.471,33,16,17,.485,1,0,1,.000
brownri01,Rickey Brown,33,17,16,.515,31,16,15,.516,2,1,1,.500
brittmi01,Mike Brittain,32,13,19,.406,31,13,18,.419,1,0,1,.000
sheltcr01,Craig Shelton,31,11,20,.355,31,11,20,.355,0,0,0,
edmonke01,Keith Edmonson,31,16,15,.516,30,16,14,.533,1,0,1,.000
mahorri01,Rick Mahorn,30,14,16,.467,30,14,16,.467,0,0,0,
wilkije01,Jeff Wilkins,30,7,23,.233,27,7,20,.259,3,0,3,.000
colliar01,Art Collins,29,12,17,.414,29,12,17,.414,0,0,0,
cookje01,Jeff Cook,28,12,16,.429,28,12,16,.429,0,0,0,
brickfr01,Frank Brickowski,27,20,7,.741,27,20,7,.741,0,0,0,
terryca01,Carlos Terry,26,12,14,.462,26,12,14,.462,0,0,0,
crissch01,Charlie Criss,24,11,13,.458,24,11,13,.458,0,0,0,
willira01,Ray Williams,23,6,17,.261,23,6,17,.261,0,0,0,
willifr01,Freeman Williams,22,10,12,.455,21,10,11,.476,1,0,1,.000
moorejo01,Johnny Moore,22,12,10,.545,22,12,10,.545,0,0,0,
burleto01,Tom Burleson,21,8,13,.381,21,8,13,.381,0,0,0,
malonmo01,Moses Malone,19,11,8,.579,15,9,6,.600,4,2,2,.500
johnscl01,Clemon Johnson,18,11,7,.611,14,9,5,.643,4,2,2,.500
toneyan01,Andrew Toney,18,11,7,.611,14,9,5,.643,4,2,2,.500
carrau01,Austin Carr,17,8,9,.471,17,8,9,.471,0,0,0,
willisa02,Sam Williams,17,10,7,.588,13,8,5,.615,4,2,2,.500
hastisc01,Scott Hastings,16,7,9,.438,16,7,9,.438,0,0,0,
mcelrji01,Jim McElroy,16,4,12,.250,16,4,12,.250,0,0,0,
ervinju01,Julius Erving*,16,10,6,.625,12,8,4,.667,4,2,2,.500
campbto01,Tony Campbell,15,10,5,.667,7,5,2,.714,8,5,3,.625
threase01,Sedale Threatt,15,8,7,.533,12,7,5,.583,3,1,2,.333
smithra01,Randy Smith,15,9,6,.600,13,8,5,.615,2,1,1,.500
jonesbo01,Bobby Jones,13,9,4,.692,9,7,2,.778,4,2,2,.500
