id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
hieldbu01,Buddy Hield,31,9,22,.290,31,9,22,.290,0,0,0,
barneha02,Harrison Barnes,28,9,19,.321,28,9,19,.321,0,0,0,
josepco01,Cory Joseph,28,7,21,.250,28,7,21,.250,0,0,0,
foxde01,De'Aaron Fox,26,7,19,.269,26,7,19,.269,0,0,0,
bjeline01,Nemanja Bjelica,25,7,18,.280,25,7,18,.280,0,0,0,
holmeri01,Richaun Holmes,21,6,15,.286,21,6,15,.286,0,0,0,
jamesju01,Justin James,18,6,12,.333,18,6,12,.333,0,0,0,
halibty01,Tyrese Haliburton,14,3,11,.214,14,3,11,.214,0,0,0,
brookar01,Armoni Brooks,13,1,12,.077,13,1,12,.077,0,0,0,
gilesha01,Harry Giles,13,4,9,.308,13,4,9,.308,0,0,0,
guyky01,Kyle Guy,13,5,8,.385,13,5,8,.385,0,0,0,
martike04,Kenyon Martin Jr.,13,1,12,.077,13,1,12,.077,0,0,0,
bogdabo01,Bogdan Bogdanović*,12,4,8,.333,12,4,8,.333,0,0,0,
olynyke01,Kelly Olynyk,12,1,11,.083,12,1,11,.083,0,0,0,
baglema01,Marvin Bagley III,12,3,9,.250,12,3,9,.250,0,0,0,
ferreyo01,Yogi Ferrell,12,4,8,.333,12,4,8,.333,0,0,0,
lamban01,Anthony Lamb,12,1,11,.083,12,1,11,.083,0,0,0,
tateja01,Jae'Sean Tate,11,1,10,.091,11,1,10,.091,0,0,0,
woodch01,Christian Wood,8,1,7,.125,8,1,7,.125,0,0,0,
wilsodj01,D.J. Wilson,8,1,7,.125,8,1,7,.125,0,0,0,
whiteha01,Hassan Whiteside*,7,0,7,.000,7,0,7,.000,0,0,0,
bazemke01,Kent Bazemore*,7,2,5,.286,7,2,5,.286,0,0,0,
porteke02,Kevin Porter Jr.,7,1,6,.143,7,1,6,.143,0,0,0,
parkeja01,Jabari Parker,7,2,5,.286,7,2,5,.286,0,0,0,
bradlav01,Avery Bradley,6,0,6,.000,6,0,6,.000,0,0,0,
lenal01,Alex Len*,5,3,2,.600,5,3,2,.600,0,0,0,
breweco01,Corey Brewer,5,2,3,.400,5,2,3,.400,0,0,0,
woodaro01,Robert Woodard II,4,2,2,.500,4,2,2,.500,0,0,0,
houseda01,Danuel House Jr.,4,0,4,.000,4,0,4,.000,0,0,0,
robingl02,Glenn Robinson III,4,0,4,.000,4,0,4,.000,0,0,0,
walljo01,John Wall,4,0,4,.000,4,0,4,.000,0,0,0,
augusdj01,D.J. Augustin,4,0,4,.000,4,0,4,.000,0,0,0,
metuch01,Chimezie Metu,4,2,2,.500,4,2,2,.500,0,0,0,
thomakh01,Khyri Thomas,3,0,3,.000,3,0,3,.000,0,0,0,
mathida01,Dakota Mathias,3,3,0,1.000,3,3,0,1.000,0,0,0,
jacksja02,Jaren Jackson Jr.*,3,3,0,1.000,3,3,0,1.000,0,0,0,
aldamsa01,Santi Aldama,3,3,0,1.000,3,3,0,1.000,0,0,0,
dedmode01,Dewayne Dedmon,3,0,3,.000,3,0,3,.000,0,0,0,
culveja01,Jarrett Culver,3,3,0,1.000,3,3,0,1.000,0,0,0,
jonesty01,Tyus Jones*,3,3,0,1.000,3,3,0,1.000,0,0,0,
tilliki02,Killian Tillie,3,3,0,1.000,3,3,0,1.000,0,0,0,
clarkbr01,Brandon Clarke*,3,3,0,1.000,3,3,0,1.000,0,0,0,
teskejo01,Jon Teske,3,3,0,1.000,3,3,0,1.000,0,0,0,
hartjo01,Josh Hart,2,1,1,.500,0,0,0,,2,1,1,.500
banede01,Desmond Bane*,2,2,0,1.000,2,2,0,1.000,0,0,0,
grimequ01,Quentin Grimes,2,1,1,.500,0,0,0,,2,1,1,.500
harteis01,Isaiah Hartenstein*,2,1,1,.500,0,0,0,,2,1,1,.500
robinmi01,Mitchell Robinson,2,1,1,.500,0,0,0,,2,1,1,.500
brookdi01,Dillon Brooks*,2,2,0,1.000,2,2,0,1.000,0,0,0,
quickim01,Immanuel Quickley,2,1,1,.500,0,0,0,,2,1,1,.500
brunsja01,Jalen Brunson,2,1,1,.500,0,0,0,,2,1,1,.500
mcbrimi01,Miles McBride,2,1,1,.500,0,0,0,,2,1,1,.500
wrighde01,Delon Wright*,2,1,1,.500,2,1,1,.500,0,0,0,
adamsst01,Steven Adams,2,2,0,1.000,2,2,0,1.000,0,0,0,
meltode01,De'Anthony Melton*,2,2,0,1.000,2,2,0,1.000,0,0,0,
harklma01,Maurice Harkless,2,1,1,.500,2,1,1,.500,0,0,0,
randlju01,Julius Randle,2,1,1,.500,0,0,0,,2,1,1,.500
barrerj01,RJ Barrett,2,1,1,.500,0,0,0,,2,1,1,.500
toppiob01,Obi Toppin,2,1,1,.500,0,0,0,,2,1,1,.500
tollian01,Anthony Tolliver*,2,0,2,.000,2,0,2,.000,0,0,0,
