id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
bryanth01,Thomas Bryant,49,19,30,.388,49,19,30,.388,0,0,0,
bealbr01,Bradley Beal*,49,19,30,.388,49,19,30,.388,0,0,0,
satorto01,Tomáš Satoranský,47,19,28,.404,47,19,28,.404,0,0,0,
greenje02,Jeff Green,46,18,28,.391,46,18,28,.391,0,0,0,
bacondw01,Dwayne Bacon,41,10,31,.244,41,10,31,.244,0,0,0,
arizatr01,Trevor Ariza,40,17,23,.425,40,17,23,.425,0,0,0,
browntr01,Troy Brown Jr.*,36,14,22,.389,36,14,22,.389,0,0,0,
bambamo01,Mo Bamba,33,8,25,.242,33,8,25,.242,0,0,0,
dekkesa01,Sam Dekker,31,11,20,.355,31,11,20,.355,0,0,0,
okekech01,Chuma Okeke,30,8,22,.267,30,8,22,.267,0,0,0,
portibo01,Bobby Portis,25,9,16,.360,25,9,16,.360,0,0,0,
hamptrj01,R.J. Hampton,24,5,19,.208,24,5,19,.208,0,0,0,
bakerro01,Ron Baker,22,9,13,.409,22,9,13,.409,0,0,0,
parkeja01,Jabari Parker,22,9,13,.409,22,9,13,.409,0,0,0,
mcraejo01,Jordan McRae,22,7,15,.318,22,7,15,.318,0,0,0,
cartewe01,Wendell Carter Jr.,20,5,15,.250,20,5,15,.250,0,0,0,
anthoco01,Cole Anthony,20,3,17,.150,20,3,17,.150,0,0,0,
birchkh01,Khem Birch,19,7,12,.368,19,7,12,.368,0,0,0,
porteot01,Otto Porter Jr.,19,10,9,.526,19,10,9,.526,0,0,0,
mahinia01,Ian Mahinmi,19,7,12,.368,19,7,12,.368,0,0,0,
cartemi01,Michael Carter-Williams,19,5,14,.263,19,5,14,.263,0,0,0,
holidju01,Justin Holiday*,18,7,11,.389,18,7,11,.389,0,0,0,
harriga01,Gary Harris,18,3,15,.167,18,3,15,.167,0,0,0,
leeco01,Courtney Lee,18,7,11,.389,18,7,11,.389,0,0,0,
ennisja01,James Ennis III,18,6,12,.333,18,6,12,.333,0,0,0,
oquinky01,Kyle O'Quinn,17,6,11,.353,17,6,11,.353,0,0,0,
rosste01,Terrence Ross,17,5,12,.294,17,5,12,.294,0,0,0,
hernawi01,Willy Hernangómez,17,6,11,.353,17,6,11,.353,0,0,0,
aminual01,Al-Farouq Aminu,15,5,10,.333,15,5,10,.333,0,0,0,
vucevni01,Nikola Vučević*,15,5,10,.333,15,5,10,.333,0,0,0,
kuzmimi01,Mindaugas Kuzminskas,14,5,9,.357,14,5,9,.357,0,0,0,
porzikr01,Kristaps Porziņģis,13,5,8,.385,13,5,8,.385,0,0,0,
johnswe01,Wesley Johnson,12,5,7,.417,12,5,7,.417,0,0,0,
halldo01,Donta Hall,12,2,10,.167,12,2,10,.167,0,0,0,
vujacsa01,Sasha Vujačić,11,4,7,.364,11,4,7,.364,0,0,0,
fournev01,Evan Fournier*,11,5,6,.455,11,5,6,.455,0,0,0,
plumlma02,Marshall Plumlee,11,3,8,.273,11,3,8,.273,0,0,0,
anthoca01,Carmelo Anthony*,11,5,6,.455,11,5,6,.455,0,0,0,
wagnemo01,Moritz Wagner,11,3,8,.273,11,3,8,.273,0,0,0,
rosede01,Derrick Rose,10,4,6,.400,10,4,6,.400,0,0,0,
ndourma01,Maurice Ndour,9,4,5,.444,9,4,5,.444,0,0,0,
clarkga01,Gary Clark,9,1,8,.111,9,1,8,.111,0,0,0,
cannade01,Devin Cannady,8,0,8,.000,8,0,8,.000,0,0,0,
brazdig01,Ignas Brazdeikis,8,1,7,.125,8,1,7,.125,0,0,0,
thomala01,Lance Thomas,8,3,5,.375,8,3,5,.375,0,0,0,
ilyaser01,Ersan İlyasova,8,1,7,.125,8,1,7,.125,0,0,0,
stausni01,Nik Stauskas,8,1,7,.125,8,1,7,.125,0,0,0,
luwawti01,Timothé Luwawu-Cabarrot*,8,1,7,.125,8,1,7,.125,0,0,0,
saricda01,Dario Šarić*,8,1,7,.125,8,1,7,.125,0,0,0,
thornsi01,Sindarius Thornwell,7,0,7,.000,7,0,7,.000,0,0,0,
rodrise01,Sergio Rodríguez,7,1,6,.143,7,1,6,.143,0,0,0,
hendege02,Gerald Henderson,7,1,6,.143,7,1,6,.143,0,0,0,
frankro01,Robert Franks,7,0,7,.000,7,0,7,.000,0,0,0,
mccontj01,T.J. McConnell*,7,0,7,.000,7,0,7,.000,0,0,0,
holmeri01,Richaun Holmes,6,0,6,.000,6,0,6,.000,0,0,0,
noelne01,Nerlens Noel,6,0,6,.000,6,0,6,.000,0,0,0,
okafoja01,Jahlil Okafor,6,1,5,.167,6,1,5,.167,0,0,0,
morrima02,Markieff Morris,5,1,4,.200,5,1,4,.200,0,0,0,
covinro01,Robert Covington*,5,1,4,.200,5,1,4,.200,0,0,0,
robinde01,Devin Robinson,5,1,4,.200,5,1,4,.200,0,0,0,
gordoaa01,Aaron Gordon,5,2,3,.400,5,2,3,.400,0,0,0,
maneka01,Karim Mané,4,0,4,.000,4,0,4,.000,0,0,0,
walljo01,John Wall,4,0,4,.000,4,0,4,.000,0,0,0,
jenkijo01,John Jenkins,4,2,2,.500,4,2,2,.500,0,0,0,
bendedr01,Dragan Bender,3,2,1,.667,3,2,1,.667,0,0,0,
chrisma01,Marquese Chriss,3,2,1,.667,3,2,1,.667,0,0,0,
muldemy01,Mychal Mulder*,3,2,1,.667,3,2,1,.667,0,0,0,
poolejo01,Jordan Poole*,3,2,1,.667,3,2,1,.667,0,0,0,
leeda03,Damion Lee,3,2,1,.667,3,2,1,.667,0,0,0,
paytoga02,Gary Payton II,3,2,1,.667,3,2,1,.667,0,0,0,
wiggian01,Andrew Wiggins*,3,2,1,.667,3,2,1,.667,0,0,0,
pascher01,Eric Paschall,3,2,1,.667,3,2,1,.667,0,0,0,
toscaju01,Juan Toscano-Anderson*,3,2,1,.667,3,2,1,.667,0,0,0,
bowmaky01,Ky Bowman,1,0,1,.000,1,0,1,.000,0,0,0,
embiijo01,Joel Embiid,1,1,0,1.000,1,1,0,1.000,0,0,0,
