id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
robinna01,Nate Robinson,91,29,62,.319,91,29,62,.319,0,0,0,
balkmre01,Renaldo Balkman,85,30,55,.353,85,30,55,.353,0,0,0,
leeda02,David Lee,84,28,56,.333,84,28,56,.333,0,0,0,
crawfja01,Jamal Crawford,83,28,55,.337,83,28,55,.337,0,0,0,
jeffrja01,Jared Jeffries,81,25,56,.309,81,25,56,.309,0,0,0,
curryed01,Eddy Curry,80,25,55,.312,80,25,55,.312,0,0,0,
rosema01,Malik Rose,75,22,53,.293,75,22,53,.293,0,0,0,
novakst01,Steve Novak,70,18,52,.257,70,18,52,.257,0,0,0,
randoza01,Zach Randolph,68,24,44,.353,68,24,44,.353,0,0,0,
davisba01,Baron Davis,67,21,46,.313,67,21,46,.313,0,0,0,
thornal01,Al Thornton,66,19,47,.288,66,19,47,.288,0,0,0,
jonesfr01,Fred Jones,66,15,51,.227,66,15,51,.227,0,0,0,
gordoer01,Eric Gordon,66,20,46,.303,66,20,46,.303,0,0,0,
richaqu01,Quentin Richardson,65,25,40,.385,65,25,40,.385,0,0,0,
cambyma01,Marcus Camby,61,20,41,.328,61,20,41,.328,0,0,0,
jordade01,DeAndre Jordan,59,15,44,.254,59,15,44,.254,0,0,0,
marbust01,Stephon Marbury,51,17,34,.333,51,17,34,.333,0,0,0,
fryech01,Channing Frye,45,16,29,.356,45,16,29,.356,0,0,0,
kamanch01,Chris Kaman,44,15,29,.341,44,15,29,.341,0,0,0,
butlera01,Rasual Butler,43,15,28,.349,43,15,28,.349,0,0,0,
smithcr01,Craig Smith,39,12,27,.308,39,12,27,.308,0,0,0,
chandwi01,Wilson Chandler,37,12,25,.324,37,12,25,.324,0,0,0,
davisri01,Ricky Davis,34,14,20,.412,34,14,20,.412,0,0,0,
skinnbr01,Brian Skinner,34,8,26,.235,34,8,26,.235,0,0,0,
francst01,Steve Francis,31,11,20,.355,31,11,20,.355,0,0,0,
jamesje01,Jerome James,30,12,18,.400,30,12,18,.400,0,0,0,
morrira01,Randolph Morris,21,5,16,.238,21,5,16,.238,0,0,0,
taylomi01,Mike Taylor,20,7,13,.350,20,7,13,.350,0,0,0,
telfase01,Sebastian Telfair,19,9,10,.474,19,9,10,.474,0,0,0,
davispa01,Paul Davis,18,6,12,.333,18,6,12,.333,0,0,0,
hartja01,Jason Hart,16,5,11,.312,16,5,11,.312,0,0,0,
brownbo02,Bobby Brown,15,4,11,.267,15,4,11,.267,0,0,0,
blakest01,Steve Blake,11,3,8,.273,11,3,8,.273,0,0,0,
catoke01,Kelvin Cato,10,4,6,.400,10,4,6,.400,0,0,0,
duhonch01,Chris Duhon,9,4,5,.444,9,4,5,.444,0,0,0,
goodedr01,Drew Gooden,7,0,7,.000,7,0,7,.000,0,0,0,
roberan02,Anthony Roberson,6,3,3,.500,6,3,3,.500,0,0,0,
outlatr01,Travis Outlaw,6,1,5,.167,6,1,5,.167,0,0,0,
ackeral01,Alex Acker,6,0,6,.000,6,0,6,.000,0,0,0,
sambch01,Cheikh Samb,5,1,4,.200,5,1,4,.200,0,0,0,
gallida01,Danilo Gallinari*,2,1,1,.500,2,1,1,.500,0,0,0,
curryja01,JamesOn Curry,1,0,1,.000,1,0,1,.000,0,0,0,
