id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
collida01,Darren Collison,3,2,1,.667,3,2,1,.667,0,0,0,
wrighbr03,Brandan Wright,3,2,1,.667,3,2,1,.667,0,0,0,
cartevi01,Vince Carter,3,2,1,.667,3,2,1,.667,0,0,0,
mariosh01,Shawn Marion,3,2,1,.667,3,2,1,.667,0,0,0,
jamesmi01,Mike James,3,2,1,.667,3,2,1,.667,0,0,0,
kamanch01,Chris Kaman,3,2,1,.667,3,2,1,.667,0,0,0,
nowitdi01,Dirk Nowitzki,3,2,1,.667,3,2,1,.667,0,0,0,
morroan01,Anthony Morrow,3,2,1,.667,3,2,1,.667,0,0,0,
mayooj01,O.J. Mayo,3,2,1,.667,3,2,1,.667,0,0,0,
crowdja01,Jae Crowder,3,2,1,.667,3,2,1,.667,0,0,0,
jamesbe01,Bernard James,3,2,1,.667,3,2,1,.667,0,0,0,
brandel01,Elton Brand,1,1,0,1.000,1,1,0,1.000,0,0,0,
