id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
blounma01,Mark Blount,137,55,82,.401,137,55,82,.401,0,0,0,
butleca01,Caron Butler,116,32,84,.276,116,32,84,.276,0,0,0,
petermo01,Morris Peterson,111,42,69,.378,107,40,67,.374,4,2,2,.500
davisri01,Ricky Davis,111,43,68,.387,111,43,68,.387,0,0,0,
grantbr01,Brian Grant,92,33,59,.359,92,33,59,.359,0,0,0,
stepavl01,Vladimir Stepania,88,32,56,.364,88,32,56,.364,0,0,0,
foyera01,Randy Foye,86,32,54,.372,86,32,54,.372,0,0,0,
allenma01,Malik Allen,82,26,56,.317,82,26,56,.317,0,0,0,
smithcr01,Craig Smith,82,32,50,.390,82,32,50,.390,0,0,0,
butlera01,Rasual Butler,80,27,53,.338,80,27,53,.338,0,0,0,
villach01,Charlie Villanueva,78,24,54,.308,78,24,54,.308,0,0,0,
grahajo01,Joey Graham,77,24,53,.312,77,24,53,.312,0,0,0,
bonnema01,Matt Bonner,76,24,52,.316,76,24,52,.316,0,0,0,
garneke01,Kevin Garnett,76,32,44,.421,76,32,44,.421,0,0,0,
hassetr01,Trenton Hassell,76,28,48,.368,76,28,48,.368,0,0,0,
jaricma01,Marko Jarić,70,26,44,.371,70,26,44,.371,0,0,0,
boshch01,Chris Bosh,68,24,44,.353,68,24,44,.353,0,0,0,
besttr01,Travis Best,68,24,44,.353,68,24,44,.353,0,0,0,
mingya01,Yao Ming,66,39,27,.591,59,36,23,.610,7,3,4,.429
houseed01,Eddie House,65,16,49,.246,65,16,49,.246,0,0,0,
ellisla01,LaPhonso Ellis,63,23,40,.365,63,23,40,.365,0,0,0,
caldejo01,José Calderón,61,16,45,.262,61,16,45,.262,0,0,0,
mcgratr01,Tracy McGrady,60,36,24,.600,53,33,20,.623,7,3,4,.429
jonesed02,Eddie Jones,60,26,34,.433,60,26,34,.433,0,0,0,
madsema01,Mark Madsen,56,24,32,.429,56,24,32,.429,0,0,0,
jamisan01,Antawn Jamison,56,12,44,.214,56,12,44,.214,0,0,0,
youngni01,Nick Young,56,12,44,.214,56,12,44,.214,0,0,0,
mcguido01,Dominic McGuire,56,12,44,.214,56,12,44,.214,0,0,0,
bowenry01,Ryan Bowen,55,34,21,.618,44,29,15,.659,11,5,6,.455
piercpa01,Paul Pierce,55,23,32,.418,55,23,32,.418,0,0,0,
welscji01,Jiří Welsch,54,22,32,.407,54,22,32,.407,0,0,0,
banksma01,Marcus Banks,54,22,32,.407,54,22,32,.407,0,0,0,
cartean01,Anthony Carter,51,14,37,.275,51,14,37,.275,0,0,0,
songada01,Darius Songaila,51,11,40,.216,51,11,40,.216,0,0,0,
mcgeeja01,JaVale McGee,51,11,40,.216,51,11,40,.216,0,0,0,
mccarwa01,Walter McCarty,50,20,30,.400,50,20,30,.400,0,0,0,
hamilri01,Richard Hamilton,50,37,13,.740,28,22,6,.786,22,15,7,.682
wellsbo01,Bonzi Wells,49,22,27,.449,45,20,25,.444,4,2,2,.500
araujra01,Rafael Araújo,49,15,34,.306,49,15,34,.306,0,0,0,
wallabe01,Ben Wallace,48,35,13,.729,26,20,6,.769,22,15,7,.682
willier01,Eric Williams,48,20,28,.417,48,20,28,.417,0,0,0,
blatcan01,Andray Blatche,48,10,38,.208,48,10,38,.208,0,0,0,
princta01,Tayshaun Prince,48,35,13,.729,26,20,6,.769,22,15,7,.682
crittja01,Javaris Crittenton,47,11,36,.234,47,11,36,.234,0,0,0,
willima01,Mo Williams,47,19,28,.404,47,19,28,.404,0,0,0,
willico02,Corliss Williamson,47,34,13,.723,26,20,6,.769,21,14,7,.667
gadzuda01,Dan Gadzuric,46,18,28,.391,46,18,28,.391,0,0,0,
masonde01,Desmond Mason,46,18,28,.391,46,18,28,.391,0,0,0,
mayooj01,O.J. Mayo,45,27,18,.600,45,27,18,.600,0,0,0,
mutomdi01,Dikembe Mutombo,45,27,18,.600,38,24,14,.632,7,3,4,.429
collida01,Darren Collison,45,27,18,.600,45,27,18,.600,0,0,0,
crowdja01,Jae Crowder,45,27,18,.600,45,27,18,.600,0,0,0,
hamda01,Darvin Ham,44,34,10,.773,23,19,4,.826,21,15,6,.714
hunteli01,Lindsey Hunter,44,33,11,.750,22,18,4,.818,22,15,7,.682
pachuza01,Zaza Pachulia,44,19,25,.432,44,19,25,.432,0,0,0,
roseja01,Jalen Rose,44,14,30,.318,44,14,30,.318,0,0,0,
reddmi01,Michael Redd,44,18,26,.409,44,18,26,.409,0,0,0,
billuch01,Chauncey Billups,44,32,12,.727,22,17,5,.773,22,15,7,.682
wallara01,Rasheed Wallace,44,32,12,.727,22,17,5,.773,22,15,7,.682
cartevi01,Vince Carter,44,27,17,.614,44,27,17,.614,0,0,0,
nowitdi01,Dirk Nowitzki,43,26,17,.605,43,26,17,.605,0,0,0,
smithjo02,Joe Smith,43,17,26,.395,43,17,26,.395,0,0,0,
sowpa01,Pape Sow,41,14,27,.341,41,14,27,.341,0,0,0,
reedju01,Justin Reed,41,17,24,.415,41,17,24,.415,0,0,0,
okurme01,Mehmet Okur,40,28,12,.700,19,14,5,.737,21,14,7,.667
bakervi01,Vin Baker,40,19,21,.475,40,19,21,.475,0,0,0,
brandel01,Elton Brand,39,23,16,.590,39,23,16,.590,0,0,0,
wrighbr03,Brandan Wright,38,23,15,.605,38,23,15,.605,0,0,0,
martida01,Darrick Martin,37,12,25,.324,37,12,25,.324,0,0,0,
mariosh01,Shawn Marion,37,22,15,.595,37,22,15,.595,0,0,0,
mccanra01,Rashad McCants,37,10,27,.270,37,10,27,.270,0,0,0,
wesleda01,David Wesley,34,22,12,.647,27,19,8,.704,7,3,4,.429
hudsotr01,Troy Hudson,34,14,20,.412,34,14,20,.412,0,0,0,
scolalu01,Luis Scola,33,17,16,.515,33,17,16,.515,0,0,0,
paulch01,Chris Paul,33,18,15,.545,29,16,13,.552,4,2,2,.500
battish01,Shane Battier,33,17,16,.515,33,17,16,.515,0,0,0,
kamanch01,Chris Kaman,33,19,14,.576,33,19,14,.576,0,0,0,
padgesc01,Scott Padgett,33,22,11,.667,26,19,7,.731,7,3,4,.429
stojape01,Peja Stojaković,32,17,15,.531,28,15,13,.536,4,2,2,.500
hayesch01,Chuck Hayes,32,16,16,.500,32,16,16,.500,0,0,0,
lamplse01,Sean Lampley,32,8,24,.250,32,8,24,.250,0,0,0,
chandty01,Tyson Chandler,31,16,15,.516,27,14,13,.519,4,2,2,.500
barryjo01,Jon Barry,31,21,10,.677,24,18,6,.750,7,3,4,.429
campbel01,Elden Campbell,30,21,9,.700,16,12,4,.750,14,9,5,.643
alstora01,Rafer Alston,30,17,13,.567,30,17,13,.567,0,0,0,
dixonju01,Juan Dixon,30,5,25,.167,30,5,25,.167,0,0,0,
westda01,David West,29,16,13,.552,25,14,11,.560,4,2,2,.500
gillke01,Kendall Gill,29,14,15,.483,29,14,15,.483,0,0,0,
stricer01,Erick Strickland,29,10,19,.345,29,10,19,.345,0,0,0,
surabo01,Bob Sura,29,19,10,.655,22,16,6,.727,7,3,4,.429
marksse01,Sean Marks,28,7,21,.250,28,7,21,.250,0,0,0,
vanhoke01,Keith Van Horn,28,11,17,.393,28,11,17,.393,0,0,0,
fizerma01,Marcus Fizer,28,10,18,.357,28,10,18,.357,0,0,0,
mihmch01,Chris Mihm,27,8,19,.296,27,8,19,.296,0,0,0,
