id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
johnsjo01,John Johnson,181,68,113,.376,181,68,113,.376,0,0,0,
johnsol01,Ollie Johnson*,151,52,99,.344,151,52,99,.344,0,0,0,
hairsha01,Happy Hairston,135,81,54,.600,118,72,46,.610,17,9,8,.529
erickke01,Keith Erickson,134,81,53,.604,120,71,49,.592,14,10,4,.714
westje01,Jerry West,127,82,45,.646,118,75,43,.636,9,7,2,.778
smithbi02,Bingo Smith*,118,43,75,.364,118,43,75,.364,0,0,0,
mccarwi01,Willie McCarter,104,57,47,.548,92,51,41,.554,12,6,6,.500
carrau01,Austin Carr,98,38,60,.388,98,38,60,.388,0,0,0,
countme01,Mel Counts,95,48,47,.505,88,43,45,.489,7,5,2,.714
pattest01,Steve Patterson,91,32,59,.352,91,32,59,.352,0,0,0,
chambwi01,Wilt Chamberlain,89,52,37,.584,71,42,29,.592,18,10,8,.556
warrejo01,John Warren,81,27,54,.333,81,27,54,.333,0,0,0,
wedmasc01,Scott Wedman,74,28,46,.378,74,28,46,.378,0,0,0,
garredi01,Dick Garrett*,74,43,31,.581,65,36,29,.554,9,7,2,.778
mcneila01,Larry McNeill,74,28,46,.378,74,28,46,.378,0,0,0,
laceysa01,Sam Lacey*,74,28,46,.378,74,28,46,.378,0,0,0,
mcmilji01,Jim McMillian*,73,42,31,.575,64,39,25,.609,9,3,6,.333
goodrga01,Gail Goodrich,71,42,29,.592,62,39,23,.629,9,3,6,.333
eganjo01,Johnny Egan*,71,40,31,.563,64,35,29,.547,7,5,2,.714
weslewa01,Walt Wesley,71,25,46,.352,71,25,46,.352,0,0,0,
architi01,Tiny Archibald,70,28,42,.400,70,28,42,.400,0,0,0,
steella01,Larry Steele,69,24,45,.348,69,24,45,.348,0,0,0,
fryerbe01,Bernie Fryer,68,24,44,.353,68,24,44,.353,0,0,0,
nealll01,Lloyd Neal,67,24,43,.358,67,24,43,.358,0,0,0,
robinbi01,Bill Robinzine,67,25,42,.373,67,25,42,.373,0,0,0,
sorenda01,Dave Sorenson,67,21,46,.313,67,21,46,.313,0,0,0,
hansegl01,Glenn Hansen,65,25,40,.385,65,25,40,.385,0,0,0,
walkeji01,Jimmy Walker,65,26,39,.400,65,26,39,.400,0,0,0,
wickssi01,Sidney Wicks,63,21,42,.333,63,21,42,.333,0,0,0,
petrige01,Geoff Petrie,62,22,40,.355,62,22,40,.355,0,0,0,
davisdw01,Dwight Davis,62,25,37,.403,62,25,37,.403,0,0,0,
cleamji01,Jim Cleamons,60,23,37,.383,60,23,37,.383,0,0,0,
bayloel01,Elgin Baylor,58,33,25,.569,49,26,23,.531,9,7,2,.778
clemeba01,Barry Clemens*,56,23,33,.411,56,23,33,.411,0,0,0,
wilkele01,Lenny Wilkens,55,24,31,.436,55,24,31,.436,0,0,0,
smithgr01,Greg Smith,54,15,39,.278,54,15,39,.278,0,0,0,
davisch01,Charlie Davis,54,17,37,.315,54,17,37,.315,0,0,0,
beardbu01,Butch Beard,53,18,35,.340,53,18,35,.340,0,0,0,
rileypa01,Pat Riley,53,31,22,.585,48,30,18,.625,5,1,4,.200
hetzefr01,Fred Hetzel*,52,31,21,.596,47,30,17,.638,5,1,4,.200
washibo01,Bobby Washington,52,15,37,.288,52,15,37,.288,0,0,0,
warneco01,Cornell Warner,49,21,28,.429,49,21,28,.429,0,0,0,
lynnmi01,Mike Lynn,41,24,17,.585,39,22,17,.564,2,2,0,1.000
martila01,LaRue Martin*,38,11,27,.289,38,11,27,.289,0,0,0,
guokama02,Matt Guokas,38,11,27,.289,38,11,27,.289,0,0,0,
howargr01,Greg Howard,34,6,28,.176,34,6,28,.176,0,0,0,
tresvjo01,John Tresvant,34,26,8,.765,27,20,7,.741,7,6,1,.857
rulebo01,Bob Rule,33,15,18,.455,33,15,18,.455,0,0,0,
bigelbo01,Bob Bigelow,26,6,20,.231,26,6,20,.231,0,0,0,
ridglja01,Jackie Ridgle,24,6,18,.250,24,6,18,.250,0,0,0,
siblema01,Mark Sibley*,23,6,17,.261,23,6,17,.261,0,0,0,
winfile01,Lee Winfield*,20,6,14,.300,20,6,14,.300,0,0,0,
vergabo01,Bob Verga,16,3,13,.188,16,3,13,.188,0,0,0,
laytomo01,Mo Layton,16,7,9,.438,16,7,9,.438,0,0,0,
colemec01,E.C. Coleman,16,1,15,.062,16,1,15,.062,0,0,0,
adelmri01,Rick Adelman*,15,1,14,.067,15,1,14,.067,0,0,0,
jamesaa01,Aaron James*,15,1,14,.067,15,1,14,.067,0,0,0,
barneji02,Jim Barnett,15,1,14,.067,15,1,14,.067,0,0,0,
maravpe01,Pete Maravich,14,0,14,.000,14,0,14,.000,0,0,0,
nelsolo01,Louie Nelson*,13,1,12,.077,13,1,12,.077,0,0,0,
hewitbi01,Bill Hewitt,12,6,6,.500,12,6,6,.500,0,0,0,
stallbu01,Bud Stallworth,12,0,12,.000,12,0,12,.000,0,0,0,
walkne01,Neal Walk,11,0,11,.000,11,0,11,.000,0,0,0,
killuea01,Earnie Killum,6,3,3,.500,4,2,2,.500,2,1,1,.500
rackllu01,Luther Rackley,5,1,4,.200,5,1,4,.200,0,0,0,
lantzst01,Stu Lantz*,4,0,4,.000,4,0,4,.000,0,0,0,
leeru01,Russ Lee*,2,0,2,.000,2,0,2,.000,0,0,0,
dantomi01,Mike D'Antoni,2,0,2,.000,2,0,2,.000,0,0,0,
greenla01,Lamar Green,1,0,1,.000,1,0,1,.000,0,0,0,
kosmale01,Len Kosmalski,1,0,1,.000,1,0,1,.000,0,0,0,
