id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
schaydo01,Dolph Schayes*,4,1,3,.250,4,1,3,.250,0,0,0,
kerrre01,Red Kerr*,4,1,3,.250,4,1,3,.250,0,0,0,
gambeda01,Dave Gambee*,4,1,3,.250,4,1,3,.250,0,0,0,
shaffle01,Lee Shaffer,4,1,3,.250,4,1,3,.250,0,0,0,
roberjo01,Joe Roberts*,4,1,3,.250,4,1,3,.250,0,0,0,
costela01,Larry Costello,4,1,3,.250,4,1,3,.250,0,0,0,
biancal01,Al Bianchi,4,1,3,.250,4,1,3,.250,0,0,0,
neumapa01,Paul Neumann,4,1,3,.250,4,1,3,.250,0,0,0,
halbrsw01,Swede Halbrook,4,1,3,.250,4,1,3,.250,0,0,0,
greerha01,Hal Greer,4,1,3,.250,4,1,3,.250,0,0,0,
