id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
chandty01,Tyson Chandler,136,80,56,.588,122,74,48,.607,14,6,8,.429
davisba01,Baron Davis,134,44,90,.328,130,43,87,.331,4,1,3,.250
smithjr01,J.R. Smith,127,79,48,.622,114,73,41,.640,13,6,7,.462
anthoca01,Carmelo Anthony*,123,76,47,.618,109,70,39,.642,14,6,8,.429
cambyma01,Marcus Camby,111,39,72,.351,110,39,71,.355,1,0,1,.000
hayesch01,Chuck Hayes,105,63,42,.600,99,61,38,.616,6,2,4,.333
shumpim01,Iman Shumpert,102,64,38,.627,92,59,33,.641,10,5,5,.500
gordoer01,Eric Gordon,102,25,77,.245,102,25,77,.245,0,0,0,
thornal01,Al Thornton,96,23,73,.240,96,23,73,.240,0,0,0,
jordade01,DeAndre Jordan,96,22,74,.229,96,22,74,.229,0,0,0,
kiddja01,Jason Kidd,91,57,34,.626,82,52,30,.634,9,5,4,.556
prigipa01,Pablo Prigioni,85,56,29,.659,77,52,25,.675,8,4,4,.500
fieldla01,Landry Fields,81,42,39,.519,75,41,34,.547,6,1,5,.167
feltora01,Raymond Felton,76,51,25,.671,67,46,21,.687,9,5,4,.556
kamanch01,Chris Kaman,75,20,55,.267,75,20,55,.267,0,0,0,
stoudam01,Amar'e Stoudemire,71,35,36,.493,64,33,31,.516,7,2,5,.286
battish01,Shane Battier,71,47,24,.662,68,46,22,.676,3,1,2,.333
collima01,Mardy Collins,70,18,52,.257,70,18,52,.257,0,0,0,
headlu01,Luther Head,70,45,25,.643,67,44,23,.657,3,1,2,.333
alstora01,Rafer Alston,67,44,23,.657,65,43,22,.662,2,1,1,.500
mcgratr01,Tracy McGrady,62,43,19,.694,59,42,17,.712,3,1,2,.333
copelch01,Chris Copeland,62,42,20,.677,55,37,18,.673,7,5,2,.714
whiteja02,James White,60,44,16,.733,56,40,16,.714,4,4,0,1.000
rosste01,Terrence Ross,58,29,29,.500,54,28,26,.519,4,1,3,.250
valanjo01,Jonas Valančiūnas*,57,28,29,.491,53,27,26,.509,4,1,3,.250
lowryky01,Kyle Lowry*,56,27,29,.482,52,26,26,.500,4,1,3,.250
derozde01,DeMar DeRozan*,56,27,29,.482,52,26,26,.500,4,1,3,.250
johnsam01,Amir Johnson,54,25,29,.463,50,24,26,.480,4,1,3,.250
mutomdi01,Dikembe Mutombo,54,34,20,.630,51,33,18,.647,3,1,2,.333
davisri01,Ricky Davis,54,17,37,.315,54,17,37,.315,0,0,0,
butlera01,Rasual Butler,54,15,39,.278,54,15,39,.278,0,0,0,
skinnbr01,Brian Skinner,52,8,44,.154,52,8,44,.154,0,0,0,
smithcr01,Craig Smith,51,14,37,.275,51,14,37,.275,0,0,0,
jonesfr01,Fred Jones,50,11,39,.220,50,11,39,.220,0,0,0,
