id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
wilkeja01,Jamaal Wilkes,514,333,181,.648,456,296,160,.649,58,37,21,.638
abdulka01,Kareem Abdul-Jabbar,510,335,175,.657,453,299,154,.660,57,36,21,.632
coopemi01,Michael Cooper,365,257,108,.704,318,224,94,.704,47,33,14,.702
johnsma02,Magic Johnson,312,223,89,.715,265,190,75,.717,47,33,14,.702
landsma01,Mark Landsberger,241,172,69,.714,203,145,58,.714,38,27,11,.711
forddo01,Don Ford,218,132,86,.606,209,129,80,.617,9,3,6,.333
choneji01,Jim Chones,180,125,55,.694,161,112,49,.696,19,13,6,.684
hudsolo01,Lou Hudson*,168,95,73,.565,159,91,68,.572,9,4,5,.444
rambiku01,Kurt Rambis,167,119,48,.713,139,99,40,.712,28,20,8,.714
donalja01,James Donaldson,164,61,103,.372,164,61,103,.372,0,0,0,
breweji01,Jim Brewer,157,111,46,.707,146,103,43,.705,11,8,3,.727
jordaed01,Eddie Jordan,153,106,47,.693,148,103,45,.696,5,3,2,.600
whitero01,Rory White,150,55,95,.367,150,55,95,.367,0,0,0,
robisda01,Dave Robisch*,143,83,60,.580,135,81,54,.600,8,2,6,.250
smithde02,Derek Smith*,142,53,89,.373,142,53,89,.373,0,0,0,
carrke01,Kenny Carr,139,78,61,.561,129,74,55,.574,10,4,6,.400
cagemi01,Michael Cage,137,52,85,.380,137,52,85,.380,0,0,0,
johnsma01,Marques Johnson,133,49,84,.368,133,49,84,.368,0,0,0,
dantlad01,Adrian Dantley,127,76,51,.598,116,72,44,.621,11,4,7,.364
bridgju01,Junior Bridgeman,123,46,77,.374,123,46,77,.374,0,0,0,
waltobi01,Bill Walton,121,49,72,.405,121,49,72,.405,0,0,0,
benjabe01,Benoit Benjamin,117,34,83,.291,117,34,83,.291,0,0,0,
gordola01,Lancaster Gordon,110,39,71,.355,110,39,71,.355,0,0,0,
mcadobo01,Bob McAdoo,110,79,31,.718,88,63,25,.716,22,16,6,.727
boonero01,Ron Boone*,96,54,42,.562,88,51,37,.580,8,3,5,.375
haywosp01,Spencer Haywood,87,63,24,.724,76,55,21,.724,11,8,3,.727
hollabr01,Brad Holland,86,65,21,.756,76,57,19,.750,10,8,2,.800
