id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
vasqugr01,Greivis Vásquez,125,50,75,.400,125,50,75,.400,0,0,0,
aminual01,Al-Farouq Aminu,89,32,57,.360,89,32,57,.360,0,0,0,
thomala01,Lance Thomas,73,26,47,.356,73,26,47,.356,0,0,0,
smithja02,Jason Smith,53,22,31,.415,53,22,31,.415,0,0,0,
kamanch01,Chris Kaman,51,20,31,.392,51,20,31,.392,0,0,0,
johnswe01,Wesley Johnson,50,17,33,.340,50,17,33,.340,0,0,0,
anderry01,Ryan Anderson,50,16,34,.320,50,16,34,.320,0,0,0,
lopezro01,Robin Lopez*,50,16,34,.320,50,16,34,.320,0,0,0,
roberbr01,Brian Roberts,46,15,31,.326,46,15,31,.326,0,0,0,
belinma01,Marco Belinelli,45,18,27,.400,45,18,27,.400,0,0,0,
meeksjo01,Jodie Meeks,43,16,27,.372,43,16,27,.372,0,0,0,
hilljo01,Jordan Hill,43,15,28,.349,43,15,28,.349,0,0,0,
masonro01,Roger Mason,42,13,29,.310,42,13,29,.310,0,0,0,
ayongu01,Gustavo Ayón,41,17,24,.415,41,17,24,.415,0,0,0,
riverau01,Austin Rivers*,39,13,26,.333,39,13,26,.333,0,0,0,
sacrero01,Robert Sacre,38,11,27,.289,38,11,27,.289,0,0,0,
gasolpa01,Pau Gasol,38,15,23,.395,38,15,23,.395,0,0,0,
conlemi01,Mike Conley*,38,19,19,.500,38,19,19,.500,0,0,0,
gasolma01,Marc Gasol,37,19,18,.514,37,19,18,.514,0,0,0,
youngni01,Nick Young,36,14,22,.389,36,14,22,.389,0,0,0,
arthuda01,Darrell Arthur,36,18,18,.500,36,18,18,.500,0,0,0,
davisan02,Anthony Davis*,35,13,22,.371,35,13,22,.371,0,0,0,
randoza01,Zach Randolph,35,18,17,.514,35,18,17,.514,0,0,0,
gayru01,Rudy Gay*,35,18,17,.514,35,18,17,.514,0,0,0,
allento01,Tony Allen,34,15,19,.441,34,15,19,.441,0,0,0,
youngsa01,Sam Young,34,17,17,.500,34,17,17,.500,0,0,0,
milleda01,Darius Miller,32,8,24,.250,32,8,24,.250,0,0,0,
mayooj01,O.J. Mayo,30,13,17,.433,30,13,17,.433,0,0,0,
gordoer01,Eric Gordon,30,14,16,.467,30,14,16,.467,0,0,0,
thabeha01,Hasheem Thabeet,29,12,17,.414,29,12,17,.414,0,0,0,
willish03,Shawne Williams,29,12,17,.414,29,12,17,.414,0,0,0,
arizatr01,Trevor Ariza,29,10,19,.345,29,10,19,.345,0,0,0,
jackja01,Jarrett Jack,28,8,20,.286,28,8,20,.286,0,0,0,
farmajo01,Jordan Farmar,28,11,17,.393,28,11,17,.393,0,0,0,
kellyry01,Ryan Kelly,23,4,19,.174,23,4,19,.174,0,0,0,
blakest01,Steve Blake,21,10,11,.476,21,10,11,.476,0,0,0,
landrca01,Carl Landry,20,10,10,.500,20,10,10,.500,0,0,0,
bryanko01,Kobe Bryant,15,3,12,.200,15,3,12,.200,0,0,0,
marshke01,Kendall Marshall,15,3,12,.200,15,3,12,.200,0,0,0,
bazemke01,Kent Bazemore*,12,3,9,.250,12,3,9,.250,0,0,0,
jonesso01,Solomon Jones,11,4,7,.364,11,4,7,.364,0,0,0,
amundlo01,Lou Amundson,10,3,7,.300,10,3,7,.300,0,0,0,
lawac01,Acie Law,9,3,6,.333,9,3,6,.333,0,0,0,
boozeca01,Carlos Boozer,9,1,8,.111,9,1,8,.111,0,0,0,
linje01,Jeremy Lin,9,1,8,.111,9,1,8,.111,0,0,0,
davised01,Ed Davis,9,1,8,.111,9,1,8,.111,0,0,0,
dysonje01,Jerome Dyson,8,6,2,.750,8,6,2,.750,0,0,0,
nashst01,Steve Nash,8,3,5,.375,8,3,5,.375,0,0,0,
clarkjo01,Jordan Clarkson,8,0,8,.000,8,0,8,.000,0,0,0,
pricero01,Ronnie Price,8,1,7,.125,8,1,7,.125,0,0,0,
johnsch03,Chris Johnson,7,2,5,.286,7,2,5,.286,0,0,0,
mcguido01,Dominic McGuire,7,2,5,.286,7,2,5,.286,0,0,0,
haddaha01,Hamed Haddadi,7,3,4,.429,7,3,4,.429,0,0,0,
okafoem01,Emeka Okafor,7,1,6,.143,7,1,6,.143,0,0,0,
brookma01,MarShon Brooks,7,2,5,.286,7,2,5,.286,0,0,0,
harrite01,Terrel Harris,6,2,4,.333,6,2,4,.333,0,0,0,
carrode01,DeMarre Carroll,5,1,4,.200,5,1,4,.200,0,0,0,
sloando01,Donald Sloan,5,4,1,.800,5,4,1,.800,0,0,0,
watkida01,Darryl Watkins,4,2,2,.500,4,2,2,.500,0,0,0,
summeda01,DaJuan Summers,4,1,3,.250,4,1,3,.250,0,0,0,
ellinwa01,Wayne Ellington,4,1,3,.250,4,1,3,.250,0,0,0,
footeje01,Jeff Foote,4,1,3,.250,4,1,3,.250,0,0,0,
johnsca01,Carldell Johnson,3,0,3,.000,3,0,3,.000,0,0,0,
willija02,Jason Williams,2,1,1,.500,2,1,1,.500,0,0,0,
harriel01,Elias Harris,2,1,1,.500,2,1,1,.500,0,0,0,
warriha01,Hakim Warrick,1,0,1,.000,1,0,1,.000,0,0,0,
randlju01,Julius Randle,1,0,1,.000,1,0,1,.000,0,0,0,
simshe01,Henry Sims,1,0,1,.000,1,0,1,.000,0,0,0,
