id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
hendeal01,Alan Henderson,37,17,20,.459,35,16,19,.457,2,1,1,.500
mutomdi01,Dikembe Mutombo,37,17,20,.459,35,16,19,.457,2,1,1,.500
corbity01,Tyrone Corbin,28,17,11,.607,26,16,10,.615,2,1,1,.500
blaylmo01,Mookie Blaylock,27,16,11,.593,25,15,10,.600,2,1,1,.500
brownch01,Chucky Brown,24,14,10,.583,22,13,9,.591,2,1,1,.500
smithst01,Steve Smith,23,13,10,.565,21,12,9,.571,2,1,1,.500
crawfch01,Chris Crawford,22,14,8,.636,21,13,8,.619,1,1,0,1.000
millean01,Anthony Miller,22,14,8,.636,20,13,7,.650,2,1,1,.500
laettch01,Christian Laettner,22,15,7,.682,20,14,6,.700,2,1,1,.500
andergr01,Greg Anderson,20,13,7,.650,19,12,7,.632,1,1,0,1.000
recasel01,Eldridge Recasner,19,11,8,.579,17,10,7,.588,2,1,1,.500
schrede01,Detlef Schrempf,17,7,10,.412,17,7,10,.412,0,0,0,
hawkihe01,Hersey Hawkins,17,7,10,.412,17,7,10,.412,0,0,0,
paytoga01,Gary Payton,17,7,10,.412,17,7,10,.412,0,0,0,
ellisda01,Dale Ellis,16,6,10,.375,16,6,10,.375,0,0,0,
polynol01,Olden Polynice,16,6,10,.375,16,6,10,.375,0,0,0,
williaa01,Aaron Williams,14,5,9,.357,14,5,9,.357,0,0,0,
bakervi01,Vin Baker,13,5,8,.385,13,5,8,.385,0,0,0,
owensbi01,Billy Owens,12,3,9,.250,12,3,9,.250,0,0,0,
glovedi01,Dion Glover,8,0,8,.000,8,0,8,.000,0,0,0,
bowdlca01,Cal Bowdler,8,0,8,.000,8,0,8,.000,0,0,0,
colesbi01,Bimbo Coles,8,0,8,.000,8,0,8,.000,0,0,0,
stepavl01,Vladimir Stepania,8,4,4,.500,8,4,4,.500,0,0,0,
cummivo01,Vonteego Cummings,8,1,7,.125,8,1,7,.125,0,0,0,
caffeja01,Jason Caffey,8,1,7,.125,8,1,7,.125,0,0,0,
farmeto01,Tony Farmer,8,1,7,.125,8,1,7,.125,0,0,0,
terryja01,Jason Terry,8,0,8,.000,8,0,8,.000,0,0,0,
ellisla01,LaPhonso Ellis,8,0,8,.000,8,0,8,.000,0,0,0,
marshdo01,Donyell Marshall,8,1,7,.125,8,1,7,.125,0,0,0,
starkjo01,John Starks,8,1,7,.125,8,1,7,.125,0,0,0,
foylead01,Adonal Foyle,7,1,6,.143,7,1,6,.143,0,0,0,
jacksji01,Jim Jackson,7,0,7,.000,7,0,7,.000,0,0,0,
jamisan01,Antawn Jamison,6,0,6,.000,6,0,6,.000,0,0,0,
mccoyje01,Jelani McCoy,6,3,3,.500,6,3,3,.500,0,0,0,
curlebi01,Bill Curley,6,1,5,.167,6,1,5,.167,0,0,0,
wrighlo02,Lorenzen Wright,6,0,6,.000,6,0,6,.000,0,0,0,
lewisra02,Rashard Lewis,6,3,3,.500,6,3,3,.500,0,0,0,
legleti01,Tim Legler,5,1,4,.200,5,1,4,.200,0,0,0,
olivebr01,Brian Oliver,5,5,0,1.000,5,5,0,1.000,0,0,0,
mcleoro01,Roshown McLeod,5,0,5,.000,5,0,5,.000,0,0,0,
crottjo01,John Crotty,5,2,3,.400,5,2,3,.400,0,0,0,
macledo01,Don MacLean,4,3,1,.750,4,3,1,.750,0,0,0,
millsch01,Chris Mills,4,1,3,.250,4,1,3,.250,0,0,0,
youngti01,Tim Young,3,0,3,.000,3,0,3,.000,0,0,0,
