id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
youngth01,Thaddeus Young,23,4,19,.174,23,4,19,.174,0,0,0,
thompho01,Hollis Thompson,23,4,19,.174,23,4,19,.174,0,0,0,
cartemi01,Michael Carter-Williams,23,4,19,.174,23,4,19,.174,0,0,0,
simshe01,Henry Sims,23,4,19,.174,23,4,19,.174,0,0,0,
williel01,Elliot Williams,23,4,19,.174,23,4,19,.174,0,0,0,
anderja01,James Anderson,21,4,17,.190,21,4,17,.190,0,0,0,
wroteto01,Tony Wroten,20,4,16,.200,20,4,16,.200,0,0,0,
mulleby01,Byron Mullens,15,0,15,.000,15,0,15,.000,0,0,0,
daviebr01,Brandon Davies,13,4,9,.308,13,4,9,.308,0,0,0,
nunnaja01,James Nunnally,9,1,8,.111,9,1,8,.111,0,0,0,
jonesja02,James Jones,8,8,0,1.000,8,8,0,1.000,0,0,0,
coleno01,Norris Cole,8,8,0,1.000,8,8,0,1.000,0,0,0,
lewisra02,Rashard Lewis,8,8,0,1.000,8,8,0,1.000,0,0,0,
wareca01,Casper Ware,8,3,5,.375,8,3,5,.375,0,0,0,
anthojo01,Joel Anthony,7,7,0,1.000,7,7,0,1.000,0,0,0,
allenra02,Ray Allen,7,7,0,1.000,7,7,0,1.000,0,0,0,
hasleud01,Udonis Haslem,7,7,0,1.000,7,7,0,1.000,0,0,0,
anderch01,Chris Andersen,6,6,0,1.000,6,6,0,1.000,0,0,0,
chalmma01,Mario Chalmers,6,6,0,1.000,6,6,0,1.000,0,0,0,
millemi01,Mike Miller,6,6,0,1.000,6,6,0,1.000,0,0,0,
jamesle01,LeBron James*,6,6,0,1.000,6,6,0,1.000,0,0,0,
battish01,Shane Battier,6,6,0,1.000,6,6,0,1.000,0,0,0,
wadedw01,Dwyane Wade,6,6,0,1.000,6,6,0,1.000,0,0,0,
maynoer01,Eric Maynor,6,0,6,.000,6,0,6,.000,0,0,0,
collija04,Jason Collins,5,2,3,.400,5,2,3,.400,0,0,0,
leeco01,Courtney Lee,5,2,3,.400,5,2,3,.400,0,0,0,
bassbr01,Brandon Bass,5,2,3,.400,5,2,3,.400,0,0,0,
piercpa01,Paul Pierce,5,2,3,.400,5,2,3,.400,0,0,0,
moultar01,Arnett Moultrie,5,0,5,.000,5,0,5,.000,0,0,0,
greenje02,Jeff Green,5,2,3,.400,5,2,3,.400,0,0,0,
terryja01,Jason Terry,5,2,3,.400,5,2,3,.400,0,0,0,
garneke01,Kevin Garnett,5,2,3,.400,5,2,3,.400,0,0,0,
sullija01,Jared Sullinger,5,2,3,.400,5,2,3,.400,0,0,0,
rondora01,Rajon Rondo*,4,2,2,.500,4,2,2,.500,0,0,0,
boshch01,Chris Bosh,4,4,0,1.000,4,4,0,1.000,0,0,0,
josepkr01,Kris Joseph,3,1,2,.333,3,1,2,.333,0,0,0,
howarju01,Juwan Howard,3,3,0,1.000,3,3,0,1.000,0,0,0,
johnsda03,Darius Johnson-Odom,3,0,3,.000,3,0,3,.000,0,0,0,
brownlo01,Lorenzo Brown,2,0,2,.000,2,0,2,.000,0,0,0,
thomaad01,Adonis Thomas,2,1,1,.500,2,1,1,.500,0,0,0,
barbole01,Leandro Barbosa,2,1,1,.500,2,1,1,.500,0,0,0,
dunlemi02,Mike Dunleavy,1,1,0,1.000,1,1,0,1.000,0,0,0,
mohamna01,Nazr Mohammed,1,1,0,1.000,1,1,0,1.000,0,0,0,
snellto01,Tony Snell*,1,1,0,1.000,1,1,0,1.000,0,0,0,
noahjo01,Joakim Noah,1,1,0,1.000,1,1,0,1.000,0,0,0,
hinriki01,Kirk Hinrich,1,1,0,1.000,1,1,0,1.000,0,0,0,
augusdj01,D.J. Augustin,1,1,0,1.000,1,1,0,1.000,0,0,0,
butleji01,Jimmy Butler*,1,1,0,1.000,1,1,0,1.000,0,0,0,
shengto01,Tornike Shengelia,1,1,0,1.000,1,1,0,1.000,0,0,0,
gibsota01,Taj Gibson,1,1,0,1.000,1,1,0,1.000,0,0,0,
boozeca01,Carlos Boozer,1,1,0,1.000,1,1,0,1.000,0,0,0,
bradlav01,Avery Bradley,1,1,0,1.000,1,1,0,1.000,0,0,0,
harrejo01,Josh Harrellson,1,1,0,1.000,1,1,0,1.000,0,0,0,
murpher01,Erik Murphy,1,1,0,1.000,1,1,0,1.000,0,0,0,
