id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
bovendo01,Don Boven*,13,3,10,.231,13,3,10,.231,0,0,0,
kubiale01,Leo Kubiak,13,3,10,.231,13,3,10,.231,0,0,0,
mehendi01,Dick Mehen*,13,3,10,.231,13,3,10,.231,0,0,0,
boykoha01,Harry Boykoff,13,3,10,.231,13,3,10,.231,0,0,0,
ollrige01,Gene Ollrich,12,2,10,.167,12,2,10,.167,0,0,0,
patrist01,Stan Patrick*,12,3,9,.250,12,3,9,.250,0,0,0,
seewa01,Wayne See*,11,2,9,.182,11,2,9,.182,0,0,0,
shippch01,Charley Shipp*,11,3,8,.273,11,3,8,.273,0,0,0,
phelaja01,Jack Phelan*,11,3,8,.273,11,3,8,.273,0,0,0,
miksial01,Al Miksis,7,1,6,.143,7,1,6,.143,0,0,0,
pritcjo01,John Pritchard,5,1,4,.200,5,1,4,.200,0,0,0,
toughbo01,Bob Tough*,1,1,0,1.000,1,1,0,1.000,0,0,0,
smileja01,Jack Smiley,1,1,0,1.000,1,1,0,1.000,0,0,0,
cloydpa01,Paul Cloyd,1,1,0,1.000,1,1,0,1.000,0,0,0,
