id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
willire01,Reggie Williams,187,48,139,.257,187,48,139,.257,0,0,0,
benjabe01,Benoit Benjamin,171,48,123,.281,171,48,123,.281,0,0,0,
normake01,Ken Norman,164,44,120,.268,164,44,120,.268,0,0,0,
liberma01,Marcus Liberty,129,32,97,.248,129,32,97,.248,0,0,0,
smithch01,Charles Smith,129,41,88,.318,129,41,88,.318,0,0,0,
abdulma02,Mahmoud Abdul-Rauf,126,36,90,.286,126,36,90,.286,0,0,0,
garrito01,Tom Garrick,125,39,86,.312,125,39,86,.312,0,0,0,
newmajo01,Johnny Newman,106,31,75,.292,106,31,75,.292,0,0,0,
andergr01,Greg Anderson,101,27,74,.267,101,27,74,.267,0,0,0,
grantga01,Gary Grant,97,31,66,.320,97,31,66,.320,0,0,0,
dailequ01,Quintin Dailey,96,19,77,.198,96,19,77,.198,0,0,0,
garlawi01,Winston Garland,90,28,62,.311,90,28,62,.311,0,0,0,
mannida01,Danny Manning,83,28,55,.337,83,28,55,.337,0,0,0,
lichtto01,Todd Lichti,82,24,58,.293,82,24,58,.293,0,0,0,
adamsmi01,Michael Adams,80,28,52,.350,80,28,52,.350,0,0,0,
hardaan01,Anfernee Hardaway,74,51,23,.689,63,44,19,.698,11,7,4,.636
scottde01,Dennis Scott,74,51,23,.689,63,44,19,.698,11,7,4,.636
daviswa03,Walter Davis,73,22,51,.301,73,22,51,.301,0,0,0,
cookan01,Anthony Cook,72,19,53,.264,72,19,53,.264,0,0,0,
bowiean01,Anthony Bowie,72,50,22,.694,61,43,18,.705,11,7,4,.636
anderni01,Nick Anderson,68,47,21,.691,58,40,18,.690,10,7,3,.700
shawbr01,Brian Shaw,67,48,19,.716,58,41,17,.707,9,7,2,.778
martije01,Jeff Martin,66,23,43,.348,66,23,43,.348,0,0,0,
parisro01,Robert Parish,66,39,27,.591,65,39,26,.600,1,0,1,.000
johnsla02,Larry Johnson,64,39,25,.609,63,39,24,.619,1,0,1,.000
maconma01,Mark Macon,64,20,44,.312,64,20,44,.312,0,0,0,
hawkihe01,Hersey Hawkins,64,39,25,.609,63,39,24,.619,1,0,1,.000
laneje01,Jerome Lane,63,20,43,.317,63,20,43,.317,0,0,0,
rasmubl01,Blair Rasmussen,63,17,46,.270,63,17,46,.270,0,0,0,
boguemu01,Muggsy Bogues,62,38,24,.613,61,38,23,.623,1,0,1,.000
mournal01,Alonzo Mourning,60,37,23,.617,59,37,22,.627,1,0,1,.000
koncajo01,Jon Koncak,60,43,17,.717,49,36,13,.735,11,7,4,.636
kitegr01,Greg Kite,59,9,50,.153,59,9,50,.153,0,0,0,
mutomdi01,Dikembe Mutombo,59,19,40,.322,59,19,40,.322,0,0,0,
goldwan01,Anthony Goldwire,57,8,49,.140,57,8,49,.140,0,0,0,
douglsh01,Sherman Douglas,57,24,33,.421,57,24,33,.421,0,0,0,
garrede01,Dean Garrett,57,8,49,.140,57,8,49,.140,0,0,0,
allenra02,Ray Allen,56,23,33,.411,56,23,33,.411,0,0,0,
perryel01,Elliot Perry,56,23,33,.411,56,23,33,.411,0,0,0,
robingl01,Glenn Robinson,55,23,32,.418,55,23,32,.418,0,0,0,
fortsda01,Danny Fortson,55,8,47,.145,55,8,47,.145,0,0,0,
curryde01,Dell Curry,55,34,21,.618,54,34,20,.630,1,0,1,.000
grantho01,Horace Grant,55,42,13,.764,46,35,11,.761,9,7,2,.778
gilliar01,Armen Gilliam,54,23,31,.426,54,23,31,.426,0,0,0,
onealsh01,Shaquille O'Neal,54,37,17,.685,43,30,13,.698,11,7,4,.636
burresc01,Scott Burrell,53,33,20,.623,53,33,20,.623,0,0,0,
royaldo01,Donald Royal,53,37,16,.698,47,34,13,.723,6,3,3,.500
bakervi01,Vin Baker,52,21,31,.404,52,21,31,.404,0,0,0,
bannike01,Ken Bannister,51,17,34,.333,51,17,34,.333,0,0,0,
ellisla01,LaPhonso Ellis,51,8,43,.157,51,8,43,.157,0,0,0,
riverda01,David Rivers,49,19,30,.388,49,19,30,.388,0,0,0,
hancoda01,Darrin Hancock,48,28,20,.583,47,28,19,.596,1,0,1,.000
washier01,Eric Washington,46,5,41,.109,46,5,41,.109,0,0,0,
woolror01,Orlando Woolridge,46,8,38,.174,46,8,38,.174,0,0,0,
nixonno01,Norm Nixon,45,4,41,.089,45,4,41,.089,0,0,0,
jacksbo01,Bobby Jackson,44,5,39,.114,44,5,39,.114,0,0,0,
suttogr01,Greg Sutton,44,29,15,.659,43,29,14,.674,1,0,1,.000
battito01,Tony Battie,43,6,37,.140,43,6,37,.140,0,0,0,
brownch01,Chucky Brown,43,16,27,.372,43,16,27,.372,0,0,0,
youngmi01,Michael Young,42,14,28,.333,42,14,28,.333,0,0,0,
drewla01,Larry Drew,42,8,34,.190,42,8,34,.190,0,0,0,
woodsmi01,Mike Woodson,42,8,34,.190,42,8,34,.190,0,0,0,
cagemi01,Michael Cage,41,8,33,.195,41,8,33,.195,0,0,0,
valenda01,Darnell Valentine,40,7,33,.175,40,7,33,.175,0,0,0,
wingada01,David Wingate,40,24,16,.600,39,24,15,.615,1,0,1,.000
curetea01,Earl Cureton,35,6,29,.171,35,6,29,.171,0,0,0,
woodda01,David Wood,35,14,21,.400,35,14,21,.400,0,0,0,
battlke01,Kenny Battle,33,7,26,.212,33,7,26,.212,0,0,0,
whiteer01,Eric White,30,8,22,.267,30,8,22,.267,0,0,0,
hastisc01,Scott Hastings,29,6,23,.207,29,6,23,.207,0,0,0,
nesslma01,Martin Nessley,29,6,23,.207,29,6,23,.207,0,0,0,
brookke01,Kevin Brooks,29,6,23,.207,29,6,23,.207,0,0,0,
thompbr01,Brooks Thompson,28,19,9,.679,23,17,6,.739,5,2,3,.400
langan01,Andrew Lang,27,14,13,.519,27,14,13,.519,0,0,0,
harpero01,Ron Harper,25,13,12,.520,25,13,12,.520,0,0,0,
gondrgr01,Grant Gondrezick,23,3,20,.130,23,3,20,.130,0,0,0,
stithbr01,Bryant Stith,23,2,21,.087,23,2,21,.087,0,0,0,
robincl02,Clifford Robinson,23,11,12,.478,21,11,10,.524,2,0,2,.000
garriki01,Kiwane Lemorris Garris,23,0,23,.000,23,0,23,.000,0,0,0,
colemno01,Norris Coleman,23,4,19,.174,23,4,19,.174,0,0,0,
laudepr01,Priest Lauderdale,23,1,22,.043,23,1,22,.043,0,0,0,
eliema01,Mario Elie,23,11,12,.478,21,11,10,.524,2,0,2,.000
willibu01,Buck Williams,23,11,12,.478,21,11,10,.524,2,0,2,.000
portete01,Terry Porter,22,10,12,.455,20,10,10,.500,2,0,2,.000
bryanma01,Mark Bryant,22,11,11,.500,20,11,9,.550,2,0,2,.000
vaughda02,David Vaughn,22,16,6,.727,22,16,6,.727,0,0,0,
farmeji01,Jim Farmer,20,3,17,.150,20,3,17,.150,0,0,0,
johnsav01,Avery Johnson,20,3,17,.150,20,3,17,.150,0,0,0,
