id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
nostrge01,George Nostrand,119,32,87,.269,117,31,86,.265,2,1,1,.500
walkebr01,Brady Walker*,111,33,78,.297,111,33,78,.297,0,0,0,
calveer01,Ernie Calverley,96,17,79,.177,96,17,79,.177,0,0,0,
brownbo01,Bob Brown,74,15,59,.203,74,15,59,.203,0,0,0,
toomaja01,Jack Toomay*,72,13,59,.181,72,13,59,.181,0,0,0,
shannea01,Earl Shannon*,65,9,56,.138,65,9,56,.138,0,0,0,
riebeme01,Mel Riebe,65,32,33,.492,63,31,32,.492,2,1,1,.500
halbech01,Chick Halbert,58,21,37,.362,58,21,37,.362,0,0,0,
hubbabo01,Bob Hubbard*,58,11,47,.190,58,11,47,.190,0,0,0,
pughle01,Les Pugh*,57,12,45,.211,57,12,45,.211,0,0,0,
shabani01,Nick Shaback*,53,25,28,.472,51,24,27,.471,2,1,1,.500
shannho01,Howie Shannon,52,10,42,.192,52,10,42,.192,0,0,0,
cottoja01,Jack Cotton,51,10,41,.196,51,10,41,.196,0,0,0,
faughbo01,Bob Faught,51,26,25,.510,49,25,24,.510,2,1,1,.500
crockdi01,Dillard Crocker*,50,11,39,.220,50,11,39,.220,0,0,0,
budkowa01,Walt Budko,48,19,29,.396,48,19,29,.396,0,0,0,
scharbe01,Ben Scharnus*,48,22,26,.458,46,21,25,.457,2,1,1,.500
rochare01,Red Rocha*,48,19,29,.396,48,19,29,.396,0,0,0,
robbile01,Lee Robbins*,44,7,37,.159,44,7,37,.159,0,0,0,
smawlbe01,Belus Smawley*,44,17,27,.386,44,17,27,.386,0,0,0,
baumhfr01,Frankie Baumholtz,43,20,23,.465,43,20,23,.465,0,0,0,
sadowed01,Ed Sadowski,43,22,21,.512,41,21,20,.512,2,1,1,.500
rehfedo01,Don Rehfeldt,43,15,28,.349,43,15,28,.349,0,0,0,
wertira01,Ray Wertis*,42,21,21,.500,40,20,20,.500,2,1,1,.500
jamesge01,Gene James*,41,14,27,.341,41,14,27,.341,0,0,0,
hoffmpa01,Paul Hoffman*,38,14,24,.368,38,14,24,.368,0,0,0,
guokaal01,Al Guokas*,37,4,33,.108,37,4,33,.108,0,0,0,
murrake01,Ken Murray*,36,15,21,.417,36,15,21,.417,0,0,0,
volkefl01,Floyd Volker*,36,8,28,.222,36,8,28,.222,0,0,0,
ezersjo01,Johnny Ezersky,36,4,32,.111,36,4,32,.111,0,0,0,
royerbo01,Bob Royer*,36,5,31,.139,36,5,31,.139,0,0,0,
meinhca01,Carl Meinhold*,34,4,30,.118,34,4,30,.118,0,0,0,
kluehdu01,Duane Klueh,32,6,26,.188,32,6,26,.188,0,0,0,
rotheir01,Irv Rothenberg*,27,12,15,.444,27,12,15,.444,0,0,0,
martidi01,Dino Martin*,26,4,22,.154,26,4,22,.154,0,0,0,
brownji01,Jim Browne*,26,4,22,.154,26,4,22,.154,0,0,0,
dardeji01,Jimmy Darden*,23,7,16,.304,23,7,16,.304,0,0,0,
lefkoha01,Hank Lefkowitz*,22,11,11,.500,21,11,10,.524,1,0,1,.000
schneot01,Otto Schnellbacher*,22,6,16,.273,22,6,16,.273,0,0,0,
rouxgi01,Giff Roux*,21,6,15,.286,21,6,15,.286,0,0,0,
mogusle01,Leo Mogus*,17,8,9,.471,17,8,9,.471,0,0,0,
goodwpo01,Pop Goodwin*,16,2,14,.125,16,2,14,.125,0,0,0,
schuldi01,Dick Schulz*,16,7,9,.438,16,7,9,.438,0,0,0,
mearnge01,George Mearns*,16,2,14,.125,16,2,14,.125,0,0,0,
hassebi01,Billy Hassett*,16,7,9,.438,16,7,9,.438,0,0,0,
ogradbu01,Buddy O'Grady*,14,3,11,.214,14,3,11,.214,0,0,0,
thursme01,Mel Thurston,14,1,13,.071,14,1,13,.071,0,0,0,
beendha01,Hank Beenders,14,1,13,.071,14,1,13,.071,0,0,0,
endrene01,Ned Endress*,13,6,7,.462,13,6,7,.462,0,0,0,
barteed01,Ed Bartels*,12,0,12,.000,12,0,12,.000,0,0,0,
carteja01,Jake Carter,12,3,9,.250,12,3,9,.250,0,0,0,
tonkoan01,Andy Tonkovich*,12,2,10,.167,12,2,10,.167,0,0,0,
hermabi01,Bill Herman,12,2,10,.167,12,2,10,.167,0,0,0,
hermskl01,Kleggie Hermsen*,11,6,5,.545,11,6,5,.545,0,0,0,
mahnkjo01,John Mahnken*,10,5,5,.500,10,5,5,.500,0,0,0,
macaued01,Ed Macauley*,10,5,5,.500,10,5,5,.500,0,0,0,
leedeed01,Ed Leede*,10,5,5,.500,10,5,5,.500,0,0,0,
coopech01,Chuck Cooper,10,5,5,.500,10,5,5,.500,0,0,0,
hertzso01,Sonny Hertzberg*,10,5,5,.500,10,5,5,.500,0,0,0,
cousybo01,Bob Cousy,10,5,5,.500,10,5,5,.500,0,0,0,
donhabo01,Bob Donham,10,5,5,.500,10,5,5,.500,0,0,0,
carlsdo01,Don Carlson,9,5,4,.556,9,5,4,.556,0,0,0,
magerno01,Norm Mager*,8,4,4,.500,8,4,4,.500,0,0,0,
boykoha01,Harry Boykoff,8,5,3,.625,8,5,3,.625,0,0,0,
duncaan01,Andy Duncan*,8,3,5,.375,8,3,5,.375,0,0,0,
doddea01,Earl Dodd,7,0,7,.000,7,0,7,.000,0,0,0,
maughar01,Ariel Maughan,7,0,7,.000,7,0,7,.000,0,0,0,
stanced01,Ed Stanczak,4,2,2,.500,4,2,2,.500,0,0,0,
brownle01,Leon Brown*,4,3,1,.750,4,3,1,.750,0,0,0,
janisjo01,John Janisch,4,0,4,.000,4,0,4,.000,0,0,0,
painefr01,Fred Paine,3,0,3,.000,3,0,3,.000,0,0,0,
downebi01,Bill Downey,3,1,2,.333,3,1,2,.333,0,0,0,
dallmho01,Howie Dallmar,2,0,2,.000,2,0,2,.000,0,0,0,
hickena01,Nat Hickey,2,0,2,.000,2,0,2,.000,0,0,0,
hillhar01,Art Hillhouse,2,0,2,.000,2,0,2,.000,0,0,0,
brownst01,Stan Brown*,2,0,2,.000,2,0,2,.000,0,0,0,
ottendo01,Don Otten,2,0,2,.000,2,0,2,.000,0,0,0,
kaplora01,Ralph Kaplowitz,2,0,2,.000,2,0,2,.000,0,0,0,
senesge01,George Senesky*,2,0,2,.000,2,0,2,.000,0,0,0,
fulksjo01,Joe Fulks*,2,0,2,.000,2,0,2,.000,0,0,0,
fleisje01,Jerry Fleishman*,2,0,2,.000,2,0,2,.000,0,0,0,
rottnmi01,Mickey Rottner*,1,1,0,1.000,1,1,0,1.000,0,0,0,
lalicpe01,Pete Lalich,1,0,1,.000,1,0,1,.000,0,0,0,
hustopa01,Paul Huston*,1,1,0,1.000,1,1,0,1.000,0,0,0,
vancege01,Gene Vance*,1,1,0,1.000,1,1,0,1.000,0,0,0,
gilmuch01,Chuck Gilmur*,1,1,0,1.000,1,1,0,1.000,0,0,0,
phillan01,Andy Phillip*,1,1,0,1.000,1,1,0,1.000,0,0,0,
schadbe01,Ben Schadler*,1,1,0,1.000,1,1,0,1.000,0,0,0,
crossch01,Chink Crossin*,1,0,1,.000,1,0,1,.000,0,0,0,
miasest01,Stan Miasek*,1,1,0,1.000,1,1,0,1.000,0,0,0,
jorgejo01,Johnny Jorgensen,1,1,0,1.000,1,1,0,1.000,0,0,0,
seminji01,Jim Seminoff,1,1,0,1.000,1,1,0,1.000,0,0,0,
graywy01,Wyndol Gray*,1,0,1,.000,1,0,1,.000,0,0,0,
zasloma01,Max Zaslofsky*,1,1,0,1.000,1,1,0,1.000,0,0,0,
