id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
bridgmi02,Miles Bridges*,170,81,89,.476,169,81,88,.479,1,0,1,.000
roziete01,Terry Rozier*,167,79,88,.473,166,79,87,.476,1,0,1,.000
washipj01,P.J. Washington*,150,74,76,.493,149,74,75,.497,1,0,1,.000
mcdanja01,Jalen McDaniels*,106,55,51,.519,105,55,50,.524,1,0,1,.000
ballla01,LaMelo Ball*,102,54,48,.529,101,54,47,.535,1,0,1,.000
grahade01,Devonte' Graham*,86,35,51,.407,86,35,51,.407,0,0,0,
biyombi01,Bismack Biyombo*,86,35,51,.407,86,35,51,.407,0,0,0,
haywago01,Gordon Hayward,78,45,33,.577,78,45,33,.577,0,0,0,
zelleco01,Cody Zeller*,74,27,47,.365,74,27,47,.365,0,0,0,
plumlma01,Mason Plumlee*,72,40,32,.556,71,40,31,.563,1,0,1,.000
oubreke01,Kelly Oubre Jr.*,67,38,29,.567,66,38,28,.576,1,0,1,.000
richani01,Nick Richards*,64,34,30,.531,64,34,30,.531,0,0,0,
monkma01,Malik Monk*,64,24,40,.375,64,24,40,.375,0,0,0,
martica02,Caleb Martin*,55,23,32,.418,55,23,32,.418,0,0,0,
thorjt01,JT Thor,36,19,17,.528,36,19,17,.528,0,0,0,
smithis01,Ish Smith*,31,16,15,.516,31,16,15,.516,0,0,0,
willima02,Marvin Williams,30,9,21,.300,30,9,21,.300,0,0,0,
bouknja01,James Bouknight,28,15,13,.536,28,15,13,.536,0,0,0,
bacondw01,Dwayne Bacon,27,6,21,.222,27,6,21,.222,0,0,0,
hernawi01,Willy Hernangómez,26,5,21,.192,26,5,21,.192,0,0,0,
joneska01,Kai Jones,23,14,9,.609,23,14,9,.609,0,0,0,
harremo01,Montrezl Harrell*,22,14,8,.636,21,14,7,.667,1,0,1,.000
careyve01,Vernon Carey Jr.*,20,11,9,.550,20,11,9,.550,0,0,0,
wanambr01,Brad Wanamaker,18,7,11,.389,18,7,11,.389,0,0,0,
thomais02,Isaiah Thomas*,18,12,6,.667,17,12,5,.706,1,0,1,.000
kiddgmi01,Michael Kidd-Gilchrist,11,3,8,.273,11,3,8,.273,0,0,0,
batumni01,Nicolas Batum*,10,2,8,.200,10,2,8,.200,0,0,0,
smithde03,Dennis Smith Jr.,7,2,5,.286,7,2,5,.286,0,0,0,
willima07,Mark Williams,6,2,4,.333,6,2,4,.333,0,0,0,
darlina01,Nate Darling*,6,3,3,.500,6,3,3,.500,0,0,0,
rillegr01,Grant Riller*,5,2,3,.400,5,2,3,.400,0,0,0,
mcgowbr01,Bryce McGowens,5,2,3,.400,5,2,3,.400,0,0,0,
chealjo01,Joe Chealey,4,1,3,.250,4,1,3,.250,0,0,0,
lewissc01,Scottie Lewis,2,1,1,.500,2,1,1,.500,0,0,0,
kulboar01,Arnoldas Kulboka,2,2,0,1.000,2,2,0,1.000,0,0,0,
maledth01,Théo Maledon,1,1,0,1.000,1,1,0,1.000,0,0,0,
