id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
loscuji01,Jim Loscutoff*,140,80,60,.571,135,77,58,.570,5,3,2,.600
sharmbi01,Bill Sharman,138,80,58,.580,133,77,56,.579,5,3,2,.600
cousybo01,Bob Cousy,136,79,57,.581,131,76,55,.580,5,3,2,.600
nichoja01,Jack Nichols*,123,72,51,.585,118,69,49,.585,5,3,2,.600
risenar01,Arnie Risen,113,61,52,.540,108,58,50,.537,5,3,2,.600
palazto01,Togo Palazzi,84,45,39,.536,82,44,38,.537,2,1,1,.500
barreer01,Ernie Barrett,74,39,35,.527,71,38,33,.535,3,1,2,.333
macaued01,Ed Macauley*,73,38,35,.521,70,37,33,.529,3,1,2,.333
morrire01,Red Morrison,73,38,35,.521,70,37,33,.529,3,1,2,.333
heinsto01,Tom Heinsohn,69,42,27,.609,67,40,27,.597,2,2,0,1.000
phillan01,Andy Phillip*,65,41,24,.631,63,39,24,.619,2,2,0,1.000
tsiorlo01,Lou Tsioropoulos*,49,33,16,.673,49,33,16,.673,0,0,0,
russebi01,Bill Russell,45,26,19,.578,43,24,19,.558,2,2,0,1.000
ramsefr01,Frank Ramsey,32,19,13,.594,30,17,13,.567,2,2,0,1.000
