id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
vucevni01,Nikola Vučević*,203,62,141,.305,203,62,141,.305,0,0,0,
harklma01,Maurice Harkless,168,40,128,.238,168,40,128,.238,0,0,0,
oladivi01,Victor Oladipo*,159,51,108,.321,159,51,108,.321,0,0,0,
harrito02,Tobias Harris,146,44,102,.301,146,44,102,.301,0,0,0,
mooreet01,E'Twaun Moore,142,36,106,.254,142,36,106,.254,0,0,0,
oquinky01,Kyle O'Quinn,136,32,104,.235,136,32,104,.235,0,0,0,
afflaar01,Arron Afflalo,125,33,92,.264,125,33,92,.264,0,0,0,
nelsoja01,Jameer Nelson,112,32,80,.286,112,32,80,.286,0,0,0,
paytoel01,Elfrid Payton,90,35,55,.389,90,35,55,.389,0,0,0,
dedmode01,Dewayne Dedmon,86,26,60,.302,86,26,60,.302,0,0,0,
smithja02,Jason Smith,80,38,42,.475,80,38,42,.475,0,0,0,
gordoaa01,Aaron Gordon,77,30,47,.390,77,30,47,.390,0,0,0,
fournev01,Evan Fournier*,75,30,45,.400,75,30,45,.400,0,0,0,
davisgl01,Glen Davis,71,20,51,.282,71,20,51,.282,0,0,0,
lambdo01,Doron Lamb,68,13,55,.191,68,13,55,.191,0,0,0,
fryech01,Channing Frye,68,28,40,.412,68,28,40,.412,0,0,0,
jonesde01,DeQuan Jones,58,12,46,.207,58,12,46,.207,0,0,0,
hezonma01,Mario Hezonja*,53,20,33,.377,53,20,33,.377,0,0,0,
redicjj01,J.J. Redick,47,14,33,.298,47,14,33,.298,0,0,0,
ayongu01,Gustavo Ayón,41,11,30,.268,41,11,30,.268,0,0,0,
napiesh01,Shabazz Napier,41,17,24,.415,41,17,24,.415,0,0,0,
mcrobjo01,Josh McRoberts,39,10,29,.256,39,10,29,.256,0,0,0,
smithis01,Ish Smith*,35,8,27,.229,35,8,27,.229,0,0,0,
maxieja01,Jason Maxiell,33,6,27,.182,33,6,27,.182,0,0,0,
greenwi01,Willie Green,29,10,19,.345,29,10,19,.345,0,0,0,
gortama01,Marcin Gortat,28,18,10,.643,28,18,10,.643,0,0,0,
porteot01,Otto Porter Jr.,28,18,10,.643,28,18,10,.643,0,0,0,
pricero01,Ronnie Price,28,7,21,.250,28,7,21,.250,0,0,0,
morrima02,Markieff Morris,27,17,10,.630,27,17,10,.630,0,0,0,
marblde01,Devyn Marble,27,10,17,.370,27,10,17,.370,0,0,0,
walljo01,John Wall,27,18,9,.667,27,18,9,.667,0,0,0,
oubreke01,Kelly Oubre Jr.*,26,16,10,.615,26,16,10,.615,0,0,0,
bealbr01,Bradley Beal*,26,17,9,.654,26,17,9,.654,0,0,0,
ridnolu01,Luke Ridnour,25,7,18,.280,25,7,18,.280,0,0,0,
burketr01,Trey Burke,25,16,9,.640,25,16,9,.640,0,0,0,
udrihbe01,Beno Udrih,23,4,19,.174,23,4,19,.174,0,0,0,
gordobe01,Ben Gordon,23,7,16,.304,23,7,16,.304,0,0,0,
satorto01,Tomáš Satoranský,22,13,9,.591,22,13,9,.591,0,0,0,
thornma01,Marcus Thornton,22,12,10,.545,22,12,10,.545,0,0,0,
watsocj01,C.J. Watson,16,5,11,.312,16,5,11,.312,0,0,0,
jennibr01,Brandon Jennings,16,5,11,.312,16,5,11,.312,0,0,0,
mcclesh01,Sheldon Mac,13,8,5,.615,13,8,5,.615,0,0,0,
ilyaser01,Ersan İlyasova,12,2,10,.167,12,2,10,.167,0,0,0,
turkohe01,Hedo Türkoğlu,11,1,10,.091,11,1,10,.091,0,0,0,
foyera01,Randy Foye,10,2,8,.200,10,2,8,.200,0,0,0,
ochefda01,Daniel Ochefu,10,7,3,.700,10,7,3,.700,0,0,0,
mcdankj01,K.J. McDaniels,10,2,8,.200,10,2,8,.200,0,0,0,
dinwisp01,Spencer Dinwiddie,10,2,8,.200,10,2,8,.200,0,0,0,
holliro01,Rondae Hollis-Jefferson,10,2,8,.200,10,2,8,.200,0,0,0,
leverca01,Caris LeVert*,10,2,8,.200,10,2,8,.200,0,0,0,
jonesso01,Solomon Jones,10,1,9,.100,10,1,9,.100,0,0,0,
whiteis01,Isaiah Whitehead,9,1,8,.111,9,1,8,.111,0,0,0,
linje01,Jeremy Lin,9,2,7,.222,9,2,7,.222,0,0,0,
acyqu01,Quincy Acy,8,2,6,.250,8,2,6,.250,0,0,0,
lopezbr01,Brook Lopez,8,2,6,.250,8,2,6,.250,0,0,0,
harrial01,Al Harrington,8,2,6,.250,8,2,6,.250,0,0,0,
hamilju01,Justin Hamilton,7,2,5,.286,7,2,5,.286,0,0,0,
goodwar01,Archie Goodwin,6,2,4,.333,6,2,4,.333,0,0,0,
booketr01,Trevor Booker,6,2,4,.333,6,2,4,.333,0,0,0,
thomaad01,Adonis Thomas,4,1,3,.250,4,1,3,.250,0,0,0,
kilpase01,Sean Kilpatrick,4,1,3,.250,4,1,3,.250,0,0,0,
applike01,Keith Appling,4,0,4,.000,4,0,4,.000,0,0,0,
mahinia01,Ian Mahinmi,2,1,1,.500,2,1,1,.500,0,0,0,
harrijo01,Joe Harris,1,0,1,.000,1,0,1,.000,0,0,0,
