id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
jamesle01,LeBron James*,94,51,43,.543,87,47,40,.540,7,4,3,.571
kuzmaky01,Kyle Kuzma*,74,43,31,.581,67,39,28,.582,7,4,3,.571
caldwke01,Kentavious Caldwell-Pope*,71,41,30,.577,64,37,27,.578,7,4,3,.571
harremo01,Montrezl Harrell*,67,39,28,.582,63,38,25,.603,4,1,3,.250
davisan02,Anthony Davis*,65,35,30,.538,59,31,28,.525,6,4,2,.667
carusal01,Alex Caruso*,63,36,27,.571,56,32,24,.571,7,4,3,.571
morrima02,Markieff Morris,62,33,29,.532,57,30,27,.526,5,3,2,.600
schrode01,Dennis Schröder*,61,37,24,.607,56,35,21,.625,5,2,3,.400
kesslwa01,Walker Kessler,60,28,32,.467,60,28,32,.467,0,0,0,
monkma01,Malik Monk*,57,23,34,.404,57,23,34,.404,0,0,0,
westbru01,Russell Westbrook*,56,21,35,.375,56,21,35,.375,0,0,0,
matthwe02,Wesley Matthews*,56,32,24,.571,51,30,21,.588,5,2,3,.400
olynyke01,Kelly Olynyk,54,23,31,.426,54,23,31,.426,0,0,0,
markkla01,Lauri Markkanen*,53,27,26,.509,53,27,26,.509,0,0,0,
howardw01,Dwight Howard,51,17,34,.333,50,16,34,.320,1,1,0,1.000
gasolma01,Marc Gasol,49,30,19,.612,46,29,17,.630,3,1,2,.333
anthoca01,Carmelo Anthony*,49,18,31,.367,49,18,31,.367,0,0,0,
clarkjo01,Jordan Clarkson,47,24,23,.511,47,24,23,.511,0,0,0,
agbajoc01,Ochai Agbaji,47,23,24,.489,47,23,24,.489,0,0,0,
bradlav01,Avery Bradley,46,18,28,.391,46,18,28,.391,0,0,0,
reaveau01,Austin Reaves*,45,19,26,.422,45,19,26,.422,0,0,0,
fontesi01,Simone Fontecchio,45,21,24,.467,45,21,24,.467,0,0,0,
gayru01,Rudy Gay*,43,24,19,.558,43,24,19,.558,0,0,0,
johnsst04,Stanley Johnson,42,14,28,.333,42,14,28,.333,0,0,0,
beaslma01,Malik Beasley*,41,21,20,.512,41,21,20,.512,0,0,0,
vandeja01,Jarred Vanderbilt*,39,19,20,.487,39,19,20,.487,0,0,0,
mckinal01,Alfonzo McKinnie,38,21,17,.553,36,21,15,.583,2,0,2,.000
sextoco01,Collin Sexton,38,20,18,.526,38,20,18,.526,0,0,0,
ellinwa01,Wayne Ellington,34,12,22,.353,34,12,22,.353,0,0,0,
conlemi01,Mike Conley*,31,18,13,.581,31,18,13,.581,0,0,0,
azubuud01,Udoka Azubuike,30,14,16,.467,30,14,16,.467,0,0,0,
alexani01,Nickeil Alexander-Walker*,27,14,13,.519,27,14,13,.519,0,0,0,
jonesda03,Damian Jones,24,10,14,.417,24,10,14,.417,0,0,0,
arizatr01,Trevor Ariza,23,8,15,.348,23,8,15,.348,0,0,0,
bazemke01,Kent Bazemore*,22,8,14,.364,22,8,14,.364,0,0,0,
drumman01,Andre Drummond*,22,12,10,.545,18,10,8,.556,4,2,2,.500
cacokde01,Devontae Cacok,20,8,12,.400,20,8,12,.400,0,0,0,
cookqu01,Quinn Cook,20,11,9,.550,20,11,9,.550,0,0,0,
mclembe01,Ben McLemore,20,10,10,.500,18,10,8,.556,2,0,2,.000
dunnkr01,Kris Dunn,19,7,12,.368,19,7,12,.368,0,0,0,
dudleja01,Jared Dudley,19,8,11,.421,16,7,9,.438,3,1,2,.333
toscaju01,Juan Toscano-Anderson*,19,6,13,.316,19,6,13,.316,0,0,0,
jordade01,DeAndre Jordan,17,7,10,.412,17,7,10,.412,0,0,0,
antetko01,Kostas Antetokounmpo,15,6,9,.400,15,6,9,.400,0,0,0,
juzanjo01,Johnny Juzang,15,5,10,.333,15,5,10,.333,0,0,0,
augusdj01,D.J. Augustin,15,4,11,.267,15,4,11,.267,0,0,0,
bolmale01,Leandro Bolmaro,13,7,6,.538,13,7,6,.538,0,0,0,
gabriwe01,Wenyen Gabriel*,13,3,10,.231,13,3,10,.231,0,0,0,
rondora01,Rajon Rondo*,11,5,6,.455,9,3,6,.333,2,2,0,1.000
greenda02,Danny Green,7,4,3,.571,5,2,3,.400,2,2,0,1.000
mcgeeja01,JaVale McGee,6,3,3,.500,5,2,3,.400,1,1,0,1.000
pottemi01,Micah Potter,5,3,2,.600,5,3,2,.600,0,0,0,
jonesma05,Mason Jones,4,2,2,.500,4,2,2,.500,0,0,0,
brantja01,Jarrell Brantley,4,0,4,.000,4,0,4,.000,0,0,0,
samanlu01,Luka Šamanić,4,1,3,.250,4,1,3,.250,0,0,0,
smithjr01,J.R. Smith,3,1,2,.333,2,0,2,.000,1,1,0,1.000
collida01,Darren Collison,3,1,2,.333,3,1,2,.333,0,0,0,
waitedi01,Dion Waiters,3,1,2,.333,3,1,2,.333,0,0,0,
huffja01,Jay Huff,2,0,2,.000,2,0,2,.000,0,0,0,
jonesje01,Jemerrio Jones,2,0,2,.000,2,0,2,.000,0,0,0,
danietr01,Troy Daniels,2,1,1,.500,2,1,1,.500,0,0,0,
thomais02,Isaiah Thomas*,2,0,2,.000,2,0,2,.000,0,0,0,
jacksfr01,Frank Jackson,1,0,1,.000,1,0,1,.000,0,0,0,
mccluma01,Mac McClung,1,1,0,1.000,1,1,0,1.000,0,0,0,
