id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
johnske02,Kevin Johnson,575,371,204,.645,505,333,172,.659,70,38,32,.543
majerda01,Dan Majerle,518,343,175,.662,448,306,142,.683,70,37,33,.529
chambto01,Tom Chambers,443,291,152,.657,380,258,122,.679,63,33,30,.524
hornaje01,Jeff Hornacek,375,235,140,.627,335,214,121,.639,40,21,19,.525
langan01,Andrew Lang,308,204,104,.662,280,189,91,.675,28,15,13,.536
cebalce01,Cedric Ceballos,288,193,95,.670,254,175,79,.689,34,18,16,.529
perryti01,Tim Perry,271,183,88,.675,248,168,80,.677,23,15,8,.652
corbity01,Tyrone Corbin,255,142,113,.557,234,132,102,.564,21,10,11,.476
milleol01,Oliver Miller,230,137,93,.596,199,120,79,.603,31,17,14,.548
knighne01,Negele Knight,209,133,76,.636,196,128,68,.653,13,5,8,.385
johnsed03,Eddie Johnson,206,122,84,.592,178,106,72,.596,28,16,12,.571
hubbaph01,Phil Hubbard,204,96,108,.471,200,95,105,.475,4,1,3,.250
baglejo01,John Bagley,199,81,118,.407,195,80,115,.410,4,1,3,.250
turpime01,Melvin Turpin,195,81,114,.415,191,80,111,.419,4,1,3,.250
aingeda01,Danny Ainge,179,129,50,.721,148,112,36,.757,31,17,14,.548
johnsfr01,Frank Johnson,175,122,53,.697,147,106,41,.721,28,16,12,.571
rambiku01,Kurt Rambis,173,114,59,.659,153,104,49,.680,20,10,10,.500
barklch01,Charles Barkley,172,126,46,.733,141,109,32,.773,31,17,14,.548
poquebe01,Ben Poquette,169,70,99,.414,165,69,96,.418,4,1,3,.250
nealyed01,Ed Nealy,151,94,57,.623,137,87,50,.635,14,7,7,.500
hinsoro01,Roy Hinson,133,57,76,.429,129,56,73,.434,4,1,3,.250
daughbr01,Brad Daugherty,128,57,71,.445,128,57,71,.445,0,0,0,
gilliar01,Armen Gilliam,128,72,56,.562,119,67,52,.563,9,5,4,.556
williho01,Hot Rod Williams,125,56,69,.448,125,56,69,.448,0,0,0,
mustaje01,Jerrod Mustaf,124,77,47,.621,117,73,44,.624,7,4,3,.571
freewo01,World B. Free,121,55,66,.455,117,54,63,.462,4,1,3,.250
pricema01,Mark Price,115,52,63,.452,115,52,63,.452,0,0,0,
