id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
hartjo01,Josh Hart,234,108,126,.462,234,108,126,.462,0,0,0,
balllo01,Lonzo Ball,182,83,99,.456,182,83,99,.456,0,0,0,
hayesja02,Jaxson Hayes*,175,80,95,.457,166,76,90,.458,9,4,5,.444
nancela02,Larry Nance Jr.*,148,64,84,.432,140,60,80,.429,8,4,4,.500
randlju01,Julius Randle,130,51,79,.392,130,51,79,.392,0,0,0,
clarkjo01,Jordan Clarkson,128,47,81,.367,128,47,81,.367,0,0,0,
alexani01,Nickeil Alexander-Walker*,114,51,63,.447,114,51,63,.447,0,0,0,
joneshe01,Herbert Jones*,109,56,53,.514,100,52,48,.520,9,4,5,.444
marshna01,Naji Marshall*,109,57,52,.523,100,53,47,.530,9,4,5,.444
kuzmaky01,Kyle Kuzma*,106,51,55,.481,106,51,55,.481,0,0,0,
valanjo01,Jonas Valančiūnas*,104,53,51,.510,95,49,46,.516,9,4,5,.444
caldwke01,Kentavious Caldwell-Pope*,104,49,55,.471,104,49,55,.471,0,0,0,
murphtr02,Trey Murphy III*,93,50,43,.538,84,46,38,.548,9,4,5,.444
willizi01,Zion Williamson,93,46,47,.495,93,46,47,.495,0,0,0,
zubaciv01,Ivica Zubac*,86,31,55,.360,86,31,55,.360,0,0,0,
hernawi01,Willy Hernangómez,86,47,39,.547,85,46,39,.541,1,1,0,1.000
redicjj01,J.J. Redick,85,36,49,.424,85,36,49,.424,0,0,0,
lewiski01,Kira Lewis Jr.*,79,35,44,.443,78,35,43,.449,1,0,1,.000
grahade01,Devonte' Graham*,78,41,37,.526,70,37,33,.529,8,4,4,.500
mellini01,Nicolò Melli,73,32,41,.438,73,32,41,.438,0,0,0,
breweco01,Corey Brewer,71,27,44,.380,71,27,44,.380,0,0,0,
alvarjo01,Jose Alvarado*,68,35,33,.515,60,31,29,.517,8,4,4,.500
mccolcj01,CJ McCollum*,66,34,32,.515,57,30,27,.526,9,4,5,.444
blackta01,Tarik Black,64,24,40,.375,64,24,40,.375,0,0,0,
bledser01,Eric Bledsoe,60,29,31,.483,60,29,31,.483,0,0,0,
youngni01,Nick Young,60,19,41,.317,60,19,41,.317,0,0,0,
russeda01,D'Angelo Russell*,60,21,39,.350,60,21,39,.350,0,0,0,
willilo02,Lou Williams,58,19,39,.328,58,19,39,.328,0,0,0,
denglu01,Luol Deng,57,18,39,.316,57,18,39,.316,0,0,0,
holidjr01,Jrue Holiday,54,22,32,.407,54,22,32,.407,0,0,0,
adamsst01,Steven Adams,54,25,29,.463,54,25,29,.463,0,0,0,
mozgoti01,Timofey Mozgov,54,16,38,.296,54,16,38,.296,0,0,0,
ennisty01,Tyler Ennis,54,23,31,.426,54,23,31,.426,0,0,0,
templga01,Garrett Temple,54,27,27,.500,53,26,27,.491,1,1,0,1.000
lopezbr01,Brook Lopez,53,26,27,.491,53,26,27,.491,0,0,0,
jacksfr01,Frank Jackson,50,22,28,.440,50,22,28,.440,0,0,0,
stephla01,Lance Stephenson,49,24,25,.490,49,24,25,.490,0,0,0,
mooreet01,E'Twaun Moore,47,22,25,.468,47,22,25,.468,0,0,0,
robinth01,Thomas Robinson,47,15,32,.319,47,15,32,.319,0,0,0,
mcgeeja01,JaVale McGee,47,23,24,.489,47,23,24,.489,0,0,0,
favorde01,Derrick Favors,45,21,24,.467,45,21,24,.467,0,0,0,
chandty01,Tyson Chandler,39,21,18,.538,39,21,18,.538,0,0,0,
jamesle01,LeBron James*,34,19,15,.559,34,19,15,.559,0,0,0,
willike04,Kenrich Williams,33,10,23,.303,33,10,23,.303,0,0,0,
rondora01,Rajon Rondo*,28,13,15,.464,28,13,15,.464,0,0,0,
mykhasv01,Svi Mykhailiuk,28,12,16,.429,28,12,16,.429,0,0,0,
carusal01,Alex Caruso*,28,11,17,.393,28,11,17,.393,0,0,0,
daniedy01,Dyson Daniels,27,17,10,.630,27,17,10,.630,0,0,0,
artesro01,Metta World Peace,25,8,17,.320,25,8,17,.320,0,0,0,
clarkga01,Gary Clark,25,15,10,.600,25,15,10,.600,0,0,0,
okafoja01,Jahlil Okafor,25,7,18,.280,25,7,18,.280,0,0,0,
caldejo01,José Calderón,24,6,18,.250,24,6,18,.250,0,0,0,
beaslmi01,Michael Beasley,23,10,13,.435,23,10,13,.435,0,0,0,
huertma01,Marcelo Huertas,23,5,18,.217,23,5,18,.217,0,0,0,
satorto01,Tomáš Satoranský,23,11,12,.478,23,11,12,.478,0,0,0,
bogutan01,Andrew Bogut,22,7,15,.318,22,7,15,.318,0,0,0,
richajo01,Josh Richardson*,22,12,10,.545,21,12,9,.571,1,0,1,.000
wagnemo01,Moritz Wagner,20,6,14,.300,20,6,14,.300,0,0,0,
nwabada01,David Nwaba,17,5,12,.294,17,5,12,.294,0,0,0,
thornsi01,Sindarius Thornwell,14,7,7,.500,14,7,7,.500,0,0,0,
gabriwe01,Wenyen Gabriel*,12,8,4,.667,12,8,4,.667,0,0,0,
johnsja01,James Johnson,11,6,5,.545,11,6,5,.545,0,0,0,
snellto01,Tony Snell*,10,6,4,.600,9,5,4,.556,1,1,0,1.000
iwundwe01,Wes Iwundu,9,4,5,.444,9,4,5,.444,0,0,0,
bullore01,Reggie Bullock,8,2,6,.250,8,2,6,.250,0,0,0,
bryanth01,Thomas Bryant,8,5,3,.625,8,5,3,.625,0,0,0,
thomais02,Isaiah Thomas*,8,5,3,.625,8,5,3,.625,0,0,0,
nunnaja01,James Nunnally,6,3,3,.500,6,3,3,.500,0,0,0,
muscami01,Mike Muscala,5,1,4,.200,5,1,4,.200,0,0,0,
blueva01,Vander Blue,5,1,4,.200,5,1,4,.200,0,0,0,
paytoga02,Gary Payton II,4,2,2,.500,4,2,2,.500,0,0,0,
bongais01,Isaac Bonga*,3,0,3,.000,3,0,3,.000,0,0,0,
willijo04,Johnathan Williams,3,2,1,.667,3,2,1,.667,0,0,0,
hayesni01,Nigel Hayes,2,1,1,.500,2,1,1,.500,0,0,0,
johnsal02,Alize Johnson,2,2,0,1.000,2,2,0,1.000,0,0,0,
fryech01,Channing Frye,2,0,2,.000,2,0,2,.000,0,0,0,
harpeja01,Jared Harper,1,0,1,.000,1,0,1,.000,0,0,0,
seabrde01,Dereon Seabron,1,0,1,.000,1,0,1,.000,0,0,0,
magnawi01,Will Magnay,1,1,0,1.000,1,1,0,1.000,0,0,0,
weartr01,Travis Wear,1,1,0,1.000,1,1,0,1.000,0,0,0,
