id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
jonesty01,Tyus Jones*,109,67,42,.615,103,65,38,.631,6,2,4,.333
konchjo01,John Konchar,99,58,41,.586,94,56,38,.596,5,2,3,.400
jacksja02,Jaren Jackson Jr.*,94,57,37,.606,88,55,33,.625,6,2,4,.333
brookdi01,Dillon Brooks*,91,57,34,.626,85,55,30,.647,6,2,4,.333
tillmxa01,Xavier Tillman Sr.*,90,53,37,.589,84,51,33,.607,6,2,4,.333
banede01,Desmond Bane*,89,56,33,.629,83,54,29,.651,6,2,4,.333
moranja01,Ja Morant*,80,46,34,.575,75,45,30,.600,5,1,4,.200
clarkbr01,Brandon Clarke*,77,44,33,.571,77,44,33,.571,0,0,0,
roddyda01,David Roddy,71,42,29,.592,65,40,25,.615,6,2,4,.333
adamsst01,Steven Adams,67,42,25,.627,67,42,25,.627,0,0,0,
willizi02,Ziaire Williams,63,35,28,.556,59,33,26,.559,4,2,2,.500
chandke01,Kennedy Chandler,32,18,14,.562,32,18,14,.562,0,0,0,
laravja01,Jake LaRavia,32,19,13,.594,32,19,13,.594,0,0,0,
meltode01,De'Anthony Melton*,28,17,11,.607,28,17,11,.607,0,0,0,
kennalu01,Luke Kennard,28,18,10,.643,23,16,7,.696,5,2,3,.400
culveja01,Jarrett Culver,24,16,8,.667,24,16,8,.667,0,0,0,
loftoke01,Kenneth Lofton Jr.,24,14,10,.583,20,12,8,.600,4,2,2,.500
anderky01,Kyle Anderson*,22,13,9,.591,22,13,9,.591,0,0,0,
tilliki02,Killian Tillie,21,14,7,.667,21,14,7,.667,0,0,0,
willivi01,Vince Williams Jr.,11,4,7,.364,11,4,7,.364,0,0,0,
ponsyv01,Yves Pons,9,6,3,.667,9,6,3,.667,0,0,0,
merrisa01,Sam Merrill,6,2,4,.333,6,2,4,.333,0,0,0,
mathida01,Dakota Mathias,6,5,1,.833,6,5,1,.833,0,0,0,
greenda02,Danny Green,3,1,2,.333,3,1,2,.333,0,0,0,
jeffrda01,DaQuan Jeffries,3,3,0,1.000,3,3,0,1.000,0,0,0,
teskejo01,Jon Teske,3,3,0,1.000,3,3,0,1.000,0,0,0,
sneedxa01,Xavier Sneed,2,2,0,1.000,2,2,0,1.000,0,0,0,
terryty01,Tyrell Terry,1,1,0,1.000,1,1,0,1.000,0,0,0,
