id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
kleinjo01,Joe Kleine,189,58,131,.307,189,58,131,.307,0,0,0,
smithke01,Kenny Smith,184,56,128,.304,184,56,128,.304,0,0,0,
thompla01,LaSalle Thompson,175,53,122,.303,175,53,122,.303,0,0,0,
thorpot01,Otis Thorpe,147,45,102,.306,147,45,102,.306,0,0,0,
delnevi01,Vinny Del Negro,144,46,98,.319,144,46,98,.319,0,0,0,
tylerte01,Terry Tyler,139,42,97,.302,139,42,97,.302,0,0,0,
mccraro01,Rodney McCray,138,44,94,.319,138,44,94,.319,0,0,0,
theusre01,Reggie Theus,137,42,95,.307,137,42,95,.307,0,0,0,
pincked01,Ed Pinckney,126,38,88,.302,126,38,88,.302,0,0,0,
tisdawa01,Wayman Tisdale,101,36,65,.356,101,36,65,.356,0,0,0,
smithde02,Derek Smith*,100,28,72,.280,100,28,72,.280,0,0,0,
aingeda01,Danny Ainge,95,33,62,.347,95,33,62,.347,0,0,0,
jacksmi02,Michael Jackson,87,22,65,.253,87,22,65,.253,0,0,0,
johnsed03,Eddie Johnson,66,20,46,.303,66,20,46,.303,0,0,0,
allenra01,Randy Allen,64,18,46,.281,64,18,46,.281,0,0,0,
peterji01,Jim Petersen,64,23,41,.359,64,23,41,.359,0,0,0,
kitegr01,Greg Kite,62,20,42,.323,62,20,42,.323,0,0,0,
berryri01,Ricky Berry,62,21,41,.339,62,21,41,.339,0,0,0,
olberma01,Mark Olberding,61,18,43,.295,61,18,43,.295,0,0,0,
oldhaja01,Jawann Oldham,52,15,37,.288,52,15,37,.288,0,0,0,
wilsoot01,Othell Wilson,45,16,29,.356,45,16,29,.356,0,0,0,
rogerjo01,Johnny Rogers,40,12,28,.300,40,12,28,.300,0,0,0,
mcgeemi01,Mike McGee,37,13,24,.351,37,13,24,.351,0,0,0,
turnehe02,Henry Turner,32,5,27,.156,32,5,27,.156,0,0,0,
wittmra01,Randy Wittman,30,8,22,.267,30,8,22,.267,0,0,0,
lohaubr01,Brad Lohaus,29,12,17,.414,29,12,17,.414,0,0,0,
sampsra01,Ralph Sampson,26,8,18,.308,26,8,18,.308,0,0,0,
gillebe01,Ben Gillery,24,6,18,.250,24,6,18,.250,0,0,0,
ellispe01,Pervis Ellison,24,9,15,.375,24,9,15,.375,0,0,0,
carran01,Antoine Carr,23,9,14,.391,23,9,14,.391,0,0,0,
steppbr01,Brook Steppe,23,4,19,.174,23,4,19,.174,0,0,0,
toneyse01,Sedric Toney,22,8,14,.364,22,8,14,.364,0,0,0,
edwarfr01,Franklin Edwards,22,7,15,.318,22,7,15,.318,0,0,0,
willimi03,Mike Williams,16,5,11,.312,16,5,11,.312,0,0,0,
henryco01,Conner Henry,15,5,10,.333,15,5,10,.333,0,0,0,
stokegr01,Greg Stokes,11,1,10,.091,11,1,10,.091,0,0,0,
arlaujo01,Joe Arlauckas,9,1,8,.111,9,1,8,.111,0,0,0,
nesslma01,Martin Nessley,9,2,7,.222,9,2,7,.222,0,0,0,
douglbr01,Bruce Douglas,7,2,5,.286,7,2,5,.286,0,0,0,
eavesje01,Jerry Eaves,3,0,3,.000,3,0,3,.000,0,0,0,
