id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
baglejo01,John Bagley,9,1,8,.111,9,1,8,.111,0,0,0,
brancad01,Adrian Branch,9,1,8,.111,9,1,8,.111,0,0,0,
willibu01,Buck Williams,9,1,8,.111,9,1,8,.111,0,0,0,
gminsmi01,Mike Gminski,9,1,8,.111,9,1,8,.111,0,0,0,
washipe01,Pearl Washington,9,1,8,.111,9,1,8,.111,0,0,0,
hopsode01,Dennis Hopson,9,1,8,.111,9,1,8,.111,0,0,0,
colembe01,Ben Coleman,9,1,8,.111,9,1,8,.111,0,0,0,
comegda01,Dallas Comegys,8,0,8,.000,8,0,8,.000,0,0,0,
birdsot01,Otis Birdsong,7,1,6,.143,7,1,6,.143,0,0,0,
englech01,Chris Engler,6,1,5,.167,6,1,5,.167,0,0,0,
woolror01,Orlando Woolridge,2,1,1,.500,2,1,1,.500,0,0,0,
