id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
leaksma01,Manny Leaks*,8,5,3,.625,8,5,3,.625,0,0,0,
boonero01,Ron Boone*,8,5,3,.625,8,5,3,.625,0,0,0,
beaslch01,Charlie Beasley*,8,5,3,.625,8,5,3,.625,0,0,0,
combsgl01,Glen Combs,8,5,3,.625,8,5,3,.625,0,0,0,
smithjo01,John Smith*,8,5,3,.625,8,5,3,.625,0,0,0,
beasljo01,John Beasley*,8,5,3,.625,8,5,3,.625,0,0,0,
lochmri01,Riney Lochmann*,7,4,3,.571,7,4,3,.571,0,0,0,
bedelbo01,Bob Bedell*,7,5,2,.714,7,5,2,.714,0,0,0,
powelci01,Cincy Powell,6,4,2,.667,6,4,2,.667,0,0,0,
haganto01,Tom Hagan*,4,3,1,.750,4,3,1,.750,0,0,0,
