id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
pettibo01,Bob Pettit*,713,398,315,.558,631,355,276,.563,82,43,39,.524
wilkele01,Lenny Wilkens,429,239,190,.557,380,215,165,.566,49,24,25,.490
beatyze01,Zelmo Beaty,325,176,149,.542,288,157,131,.545,37,19,18,.514
ferraal01,Al Ferrari*,306,172,134,.562,281,160,121,.569,25,12,13,.480
bridgbi01,Bill Bridges,288,153,135,.531,251,134,117,.534,37,19,18,.514
sharech01,Chuck Share*,276,159,117,.576,247,141,106,.571,29,18,11,.621
martisl01,Slater Martin*,270,164,106,.607,243,146,97,.601,27,18,9,.667
lovelcl01,Clyde Lovellette*,268,156,112,.582,240,144,96,.600,28,12,16,.429
mcmahja01,Jack McMahon*,265,151,114,.570,234,132,102,.564,31,19,12,.613
vaughch01,Chico Vaughn*,259,145,114,.560,232,132,100,.569,27,13,14,.481
farmemi01,Mike Farmer*,242,136,106,.562,219,125,94,.571,23,11,12,.478
barnhjo01,John Barnhill*,241,136,105,.564,221,127,94,.575,20,9,11,.450
gueriri01,Richie Guerin,229,122,107,.533,203,109,94,.537,26,13,13,.500
greensi01,Si Green*,216,125,91,.579,184,111,73,.603,32,14,18,.438
mccarjo01,Johnny McCarthy,193,114,79,.591,167,102,65,.611,26,12,14,.462
parkme01,Med Park*,183,104,79,.568,161,89,72,.553,22,15,7,.682
macaued01,Ed Macauley*,174,94,80,.540,151,78,73,.517,23,16,7,.696
foustla01,Larry Foust*,165,90,75,.545,145,81,64,.559,20,9,11,.450
colemja01,Jack Coleman*,160,85,75,.531,137,69,68,.504,23,16,7,.696
wilfowi01,Win Wilfong*,148,90,58,.608,132,80,52,.606,16,10,6,.625
tormobu01,Gene Tormohlen*,136,69,67,.507,119,59,60,.496,17,10,7,.588
silaspa01,Paul Silas,129,64,65,.496,119,61,58,.513,10,3,7,.300
lacoufr01,Fred LaCour,128,62,66,.484,123,60,63,.488,5,2,3,.400
sauldwo01,Woody Sauldsberry*,118,70,48,.593,106,65,41,.613,12,5,7,.417
beasljo01,John Beasley*,100,51,49,.510,95,51,44,.537,5,0,5,.000
powelci01,Cincy Powell,97,48,49,.495,92,48,44,.522,5,0,5,.000
beaslch01,Charlie Beasley*,95,48,47,.505,90,48,42,.533,5,0,5,.000
cableba01,Barney Cable*,90,40,50,.444,90,40,50,.444,0,0,0,
mullije01,Jeff Mullins*,88,44,44,.500,82,41,41,.500,6,3,3,.500
jordoph01,Phil Jordon*,79,49,30,.620,72,45,27,.625,7,4,3,.571
lochmri01,Riney Lochmann*,75,41,34,.547,72,41,31,.569,3,0,3,.000
ferrybo01,Bob Ferry,73,41,32,.562,62,37,25,.597,11,4,7,.364
reedhu01,Hub Reed*,71,48,23,.676,67,46,21,.687,4,2,2,.500
piontda01,Dave Piontek*,68,42,26,.618,53,35,18,.660,15,7,8,.467
washiji01,Jim Washington,65,30,35,.462,61,28,33,.459,4,2,2,.500
bemorir01,Irv Bemoras,63,30,33,.476,59,28,31,.475,4,2,2,.500
hillcl01,Cleo Hill,56,18,38,.321,56,18,38,.321,0,0,0,
thornro01,Rod Thorn*,52,26,26,.500,43,21,22,.488,9,5,4,.556
wilsobo02,Bobby Wilson,52,30,22,.577,51,30,21,.588,1,0,1,.000
caldwjo01,Joe Caldwell,51,25,26,.490,41,19,22,.463,10,6,4,.600
duffybo02,Bob Duffy*,49,26,23,.531,44,23,21,.523,5,3,2,.600
mcmilsh01,Shellie McMillon*,45,16,29,.356,45,16,29,.356,0,0,0,
simsbo01,Bob Sims,44,15,29,.341,44,15,29,.341,0,0,0,
