id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
reaveau01,Austin Reaves*,81,43,38,.531,70,36,34,.514,11,7,4,.636
browntr01,Troy Brown Jr.*,73,40,33,.548,63,34,29,.540,10,6,4,.600
schrode01,Dennis Schröder*,65,38,27,.585,54,31,23,.574,11,7,4,.636
jamesle01,LeBron James*,64,34,30,.531,53,27,26,.509,11,7,4,.636
davisan02,Anthony Davis*,58,33,25,.569,47,26,21,.553,11,7,4,.636
westbru01,Russell Westbrook*,55,23,32,.418,55,23,32,.418,0,0,0,
walkelo01,Lonnie Walker IV*,50,25,25,.500,42,21,21,.500,8,4,4,.500
chrisma02,Max Christie,44,19,25,.432,37,16,21,.432,7,3,4,.429
hachiru01,Rui Hachimura*,39,25,14,.641,28,18,10,.643,11,7,4,.636
anthoca01,Carmelo Anthony*,37,11,26,.297,32,9,23,.281,5,2,3,.400
vandeja01,Jarred Vanderbilt*,36,24,12,.667,25,17,8,.680,11,7,4,.636
beverpa01,Patrick Beverley*,35,18,17,.514,35,18,17,.514,0,0,0,
beaslma01,Malik Beasley*,34,22,12,.647,25,17,8,.680,9,5,4,.556
nunnke01,Kendrick Nunn,32,16,16,.500,32,16,16,.500,0,0,0,
bryanth01,Thomas Bryant,30,16,14,.533,30,16,14,.533,0,0,0,
russeda01,D'Angelo Russell*,28,19,9,.679,17,12,5,.706,11,7,4,.636
bledser01,Eric Bledsoe,27,11,16,.407,27,11,16,.407,0,0,0,
arizatr01,Trevor Ariza,27,9,18,.333,27,9,18,.333,0,0,0,
toscaju01,Juan Toscano-Anderson*,26,12,14,.462,26,12,14,.462,0,0,0,
trentga02,Gary Trent Jr.*,24,10,14,.417,19,8,11,.421,5,2,3,.400
mccolcj01,CJ McCollum*,24,10,14,.417,19,8,11,.421,5,2,3,.400
swanica01,Caleb Swanigan,22,8,14,.364,22,8,14,.364,0,0,0,
whiteha01,Hassan Whiteside*,21,9,12,.429,16,7,9,.438,5,2,3,.400
simonan01,Anfernee Simons,21,7,14,.333,18,7,11,.389,3,0,3,.000
hayesja02,Jaxson Hayes*,20,8,12,.400,20,8,12,.400,0,0,0,
lewiski01,Kira Lewis Jr.*,19,9,10,.474,19,9,10,.474,0,0,0,
monkma01,Malik Monk*,19,5,14,.263,19,5,14,.263,0,0,0,
johnsst04,Stanley Johnson,19,5,14,.263,19,5,14,.263,0,0,0,
augusdj01,D.J. Augustin,19,5,14,.263,19,5,14,.263,0,0,0,
hernawi01,Willy Hernangómez,19,8,11,.421,19,8,11,.421,0,0,0,
hezonma01,Mario Hezonja*,19,9,10,.474,14,7,7,.500,5,2,3,.400
lillada01,Damian Lillard*,18,8,10,.444,13,6,7,.462,5,2,3,.400
marshna01,Naji Marshall*,17,7,10,.412,17,7,10,.412,0,0,0,
jonesda03,Damian Jones,16,4,12,.250,16,4,12,.250,0,0,0,
balllo01,Lonzo Ball,16,8,8,.500,16,8,8,.500,0,0,0,
johnsja01,James Johnson,14,4,10,.286,14,4,10,.286,0,0,0,
willizi01,Zion Williamson,14,8,6,.571,14,8,6,.571,0,0,0,
howardw01,Dwight Howard,14,3,11,.214,14,3,11,.214,0,0,0,
hortota01,Talen Horton-Tucker*,13,3,10,.231,13,3,10,.231,0,0,0,
alexani01,Nickeil Alexander-Walker*,12,5,7,.417,12,5,7,.417,0,0,0,
ingrabr01,Brandon Ingram*,12,8,4,.667,12,8,4,.667,0,0,0,
littlna01,Nassir Little,12,6,6,.500,12,6,6,.500,0,0,0,
bjeline01,Nemanja Bjelica,11,2,9,.182,11,2,9,.182,0,0,0,
hieldbu01,Buddy Hield,11,2,9,.182,11,2,9,.182,0,0,0,
ryanma01,Matt Ryan,11,5,6,.455,11,5,6,.455,0,0,0,
bambamo01,Mo Bamba,11,8,3,.727,8,6,2,.750,3,2,1,.667
bradlav01,Avery Bradley,11,2,9,.182,11,2,9,.182,0,0,0,
barneha02,Harrison Barnes,11,2,9,.182,11,2,9,.182,0,0,0,
josepco01,Cory Joseph,11,2,9,.182,11,2,9,.182,0,0,0,
holmeri01,Richaun Holmes,10,2,8,.200,10,2,8,.200,0,0,0,
ferreyo01,Yogi Ferrell,10,2,8,.200,10,2,8,.200,0,0,0,
iwundwe01,Wes Iwundu,10,3,7,.300,10,3,7,.300,0,0,0,
adamsst01,Steven Adams,9,5,4,.556,9,5,4,.556,0,0,0,
bogdabo01,Bogdan Bogdanović*,8,1,7,.125,8,1,7,.125,0,0,0,
