id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
andersh01,Shandon Anderson,79,31,48,.392,75,31,44,.413,4,0,4,.000
thomaku01,Kurt Thomas,78,30,48,.385,74,30,44,.405,4,0,4,.000
harriot01,Othella Harrington,64,28,36,.438,64,28,36,.438,0,0,0,
doleami01,Michael Doleac,61,25,36,.410,61,25,36,.410,0,0,0,
houstal01,Allan Houston,59,23,36,.390,59,23,36,.390,0,0,0,
mutomdi01,Dikembe Mutombo,56,25,31,.446,53,25,28,.472,3,0,3,.000
eisleho01,Howard Eisley,53,19,34,.358,53,19,34,.358,0,0,0,
wardch01,Charlie Ward,41,17,24,.415,41,17,24,.415,0,0,0,
vanhoke01,Keith Van Horn,39,18,21,.462,39,18,21,.462,0,0,0,
weathcl01,Clarence Weatherspoon,36,11,25,.306,36,11,25,.306,0,0,0,
sweetmi01,Mike Sweetney,28,10,18,.357,24,10,14,.417,4,0,4,.000
marbust01,Stephon Marbury,27,12,15,.444,23,12,11,.522,4,0,4,.000
hardaan01,Anfernee Hardaway,25,10,15,.400,21,10,11,.476,4,0,4,.000
sprewla01,Latrell Sprewell,18,6,12,.333,18,6,12,.333,0,0,0,
mcdyean01,Antonio McDyess,16,7,9,.438,16,7,9,.438,0,0,0,
norrimo01,Moochie Norris,14,8,6,.571,14,8,6,.571,0,0,0,
mohamna01,Nazr Mohammed,13,4,9,.308,9,4,5,.444,4,0,4,.000
johnsde03,DerMarr Johnson,13,6,7,.462,10,6,4,.600,3,0,3,.000
nailole01,Lee Nailon,12,2,10,.167,12,2,10,.167,0,0,0,
thomati01,Tim Thomas,11,5,6,.455,10,5,5,.500,1,0,1,.000
knightr01,Travis Knight,11,4,7,.364,11,4,7,.364,0,0,0,
curryed01,Eddy Curry,9,6,3,.667,9,6,3,.667,0,0,0,
chandty01,Tyson Chandler,9,6,3,.667,9,6,3,.667,0,0,0,
gordobe01,Ben Gordon,9,6,3,.667,9,6,3,.667,0,0,0,
duhonch01,Chris Duhon,9,6,3,.667,9,6,3,.667,0,0,0,
hinriki01,Kirk Hinrich,9,6,3,.667,9,6,3,.667,0,0,0,
bakervi01,Vin Baker,9,3,6,.333,5,3,2,.600,4,0,4,.000
nocioan01,Andrés Nocioni,9,6,3,.667,9,6,3,.667,0,0,0,
davisan01,Antonio Davis,9,6,3,.667,9,6,3,.667,0,0,0,
denglu01,Luol Deng,8,5,3,.625,8,5,3,.625,0,0,0,
griffad01,Adrian Griffin,8,5,3,.625,8,5,3,.625,0,0,0,
postela01,Lavor Postell,5,2,3,.400,5,2,3,.400,0,0,0,
piatker01,Eric Piatkowski,4,2,2,.500,4,2,2,.500,0,0,0,
trybace01,Cezary Trybański,1,1,0,1.000,1,1,0,1.000,0,0,0,
sundobr01,Bruno Šundov,1,1,0,1.000,1,1,0,1.000,0,0,0,
