id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
sallejo01,John Salley,64,42,22,.656,54,36,18,.667,10,6,4,.600
rodmade01,Dennis Rodman,64,42,22,.656,54,36,18,.667,10,6,4,.600
laimbbi01,Bill Laimbeer,64,42,22,.656,54,36,18,.667,10,6,4,.600
johnsvi01,Vinnie Johnson,64,42,22,.656,54,36,18,.667,10,6,4,.600
thomais01,Isiah Thomas,63,41,22,.651,53,35,18,.660,10,6,4,.600
dumarjo01,Joe Dumars,60,40,20,.667,50,34,16,.680,10,6,4,.600
dantlad01,Adrian Dantley,50,31,19,.620,40,25,15,.625,10,6,4,.600
mahorri01,Rick Mahorn,49,32,17,.653,39,26,13,.667,10,6,4,.600
reidro01,Robert Reid,45,9,36,.200,45,9,36,.200,0,0,0,
holtomi01,Michael Holton,43,9,34,.209,43,9,34,.209,0,0,0,
curetea01,Earl Cureton,42,8,34,.190,42,8,34,.190,0,0,0,
kemptti01,Tim Kempton,42,8,34,.190,42,8,34,.190,0,0,0,
boguemu01,Muggsy Bogues,41,8,33,.195,41,8,33,.195,0,0,0,
hoppeda01,Dave Hoppen,39,7,32,.179,39,7,32,.179,0,0,0,
rambiku01,Kurt Rambis,39,8,31,.205,39,8,31,.205,0,0,0,
chapmre01,Rex Chapman,35,7,28,.200,35,7,28,.200,0,0,0,
tripuke01,Kelly Tripucka,34,6,28,.176,34,6,28,.176,0,0,0,
curryde01,Dell Curry,33,4,29,.121,33,4,29,.121,0,0,0,
edwarja01,James Edwards,31,19,12,.613,22,13,9,.591,9,6,3,.667
bedfowi01,William Bedford,29,22,7,.759,29,22,7,.759,0,0,0,
greenri01,Rickey Green,26,6,20,.231,26,6,20,.231,0,0,0,
nevitch01,Chuck Nevitt,20,17,3,.850,17,14,3,.824,3,3,0,1.000
rowsobr01,Brian Rowsom,12,2,10,.167,12,2,10,.167,0,0,0,
tolbeto01,Tom Tolbert,10,2,8,.200,10,2,8,.200,0,0,0,
moorero01,Ron Moore,9,7,2,.778,9,7,2,.778,0,0,0,
russewa01,Walker Russell,8,6,2,.750,1,1,0,1.000,7,5,2,.714
aguirma01,Mark Aguirre,4,2,2,.500,4,2,2,.500,0,0,0,
hendege01,Gerald Henderson,4,2,2,.500,4,2,2,.500,0,0,0,
reidjr01,J.R. Reid,3,1,2,.333,3,1,2,.333,0,0,0,
gilliar01,Armen Gilliam,3,1,2,.333,3,1,2,.333,0,0,0,
keysra01,Randolph Keys,3,1,2,.333,3,1,2,.333,0,0,0,
willimi02,Micheal Williams,3,1,2,.333,3,1,2,.333,0,0,0,
anderri01,Richard Anderson,3,1,2,.333,3,1,2,.333,0,0,0,
gattike01,Kenny Gattison,2,0,2,.000,2,0,2,.000,0,0,0,
dawkida01,Darryl Dawkins,2,2,0,1.000,2,2,0,1.000,0,0,0,
greenda01,Dave Greenwood,2,2,0,1.000,2,2,0,1.000,0,0,0,
hastisc01,Scott Hastings,1,1,0,1.000,1,1,0,1.000,0,0,0,
lowesi01,Sidney Lowe,1,0,1,.000,1,0,1,.000,0,0,0,
