id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
carrida01,Darel Carrier*,11,7,4,.636,11,7,4,.636,0,0,0,
prattmi01,Mike Pratt,11,7,4,.636,11,7,4,.636,0,0,0,
smithsa01,Sam Smith*,11,7,4,.636,11,7,4,.636,0,0,0,
powelci01,Cincy Powell,11,7,4,.636,11,7,4,.636,0,0,0,
ligongo01,Goose Ligon,11,7,4,.636,11,7,4,.636,0,0,0,
isselda01,Dan Issel*,11,7,4,.636,11,7,4,.636,0,0,0,
simonwa01,Walt Simon*,11,7,4,.636,11,7,4,.636,0,0,0,
dampilo01,Louie Dampier*,11,7,4,.636,11,7,4,.636,0,0,0,
croftbo01,Bobby Croft,10,6,4,.600,10,6,4,.600,0,0,0,
wrighho01,Howie Wright,9,6,3,.667,9,6,3,.667,0,0,0,
huntele01,Les Hunter,4,4,0,1.000,4,4,0,1.000,0,0,0,
hamilde01,Dennis Hamilton,3,1,2,.333,3,1,2,.333,0,0,0,
