id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
mccontj01,T.J. McConnell*,97,38,59,.392,95,37,58,.389,2,1,1,.500
hieldbu01,Buddy Hield,87,33,54,.379,87,33,54,.379,0,0,0,
turnemy01,Myles Turner,83,32,51,.386,83,32,51,.386,0,0,0,
jacksis01,Isaiah Jackson,83,26,57,.313,83,26,57,.313,0,0,0,
smithja04,Jalen Smith,75,29,46,.387,75,29,46,.387,0,0,0,
duartch01,Chris Duarte,75,27,48,.360,75,27,48,.360,0,0,0,
bitadgo01,Goga Bitadze*,74,27,47,.365,72,26,46,.361,2,1,1,.500
halibty01,Tyrese Haliburton,65,27,38,.415,65,27,38,.415,0,0,0,
mathube01,Bennedict Mathurin,61,25,36,.410,61,25,36,.410,0,0,0,
holidju01,Justin Holiday*,59,21,38,.356,57,20,37,.351,2,1,1,.500
nembhan01,Andrew Nembhard,59,25,34,.424,59,25,34,.424,0,0,0,
nesmiaa01,Aaron Nesmith*,58,23,35,.397,58,23,35,.397,0,0,0,
sabondo01,Domantas Sabonis*,50,18,32,.360,48,17,31,.354,2,1,1,.500
taylote01,Terry Taylor,49,12,37,.245,49,12,37,.245,0,0,0,
leverca01,Caris LeVert*,48,20,28,.417,48,20,28,.417,0,0,0,
washidu02,Duane Washington Jr.,45,11,34,.244,45,11,34,.244,0,0,0,
craigto01,Torrey Craig,38,11,27,.289,38,11,27,.289,0,0,0,
brogdma01,Malcolm Brogdon*,38,15,23,.395,36,14,22,.389,2,1,1,.500
martike03,Kelan Martin*,38,17,21,.447,36,16,20,.444,2,1,1,.500
lambje01,Jeremy Lamb,37,14,23,.378,37,14,23,.378,0,0,0,
stephla01,Lance Stephenson,36,8,28,.222,36,8,28,.222,0,0,0,
sykeske01,Keifer Sykes,28,5,23,.179,28,5,23,.179,0,0,0,
wanambr01,Brad Wanamaker,20,8,12,.400,20,8,12,.400,0,0,0,
mcderdo01,Doug McDermott*,20,9,11,.450,18,8,10,.444,2,1,1,.500
holidaa01,Aaron Holiday*,19,9,10,.474,17,8,9,.471,2,1,1,.500
bouchch01,Chris Boucher*,19,15,4,.789,19,15,4,.789,0,0,0,
anunoog01,OG Anunoby*,19,15,4,.789,19,15,4,.789,0,0,0,
daviste02,Terence Davis,19,15,4,.789,19,15,4,.789,0,0,0,
sumneed01,Edmond Sumner*,17,8,9,.471,15,7,8,.467,2,1,1,.500
johnsja01,James Johnson,16,7,9,.438,16,7,9,.438,0,0,0,
ibakase01,Serge Ibaka,16,12,4,.750,16,12,4,.750,0,0,0,
nworajo01,Jordan Nwora,16,6,10,.375,16,6,10,.375,0,0,0,
holliro01,Rondae Hollis-Jefferson,16,12,4,.750,16,12,4,.750,0,0,0,
vanvlfr01,Fred VanVleet*,15,13,2,.867,15,13,2,.867,0,0,0,
lowryky01,Kyle Lowry*,14,10,4,.714,14,10,4,.714,0,0,0,
stanlca01,Cassius Stanley*,13,4,9,.308,11,3,8,.273,2,1,1,.500
siakapa01,Pascal Siakam*,12,11,1,.917,12,11,1,.917,0,0,0,
millema01,Malcolm Miller,12,11,1,.917,12,11,1,.917,0,0,0,
mccawpa01,Patrick McCaw,12,8,4,.667,12,8,4,.667,0,0,0,
sampsja02,JaKarr Sampson*,12,6,6,.500,11,5,6,.455,1,1,0,1.000
anderju01,Justin Anderson,11,2,9,.182,11,2,9,.182,0,0,0,
johnsst04,Stanley Johnson,11,9,2,.818,11,9,2,.818,0,0,0,
thomama02,Matt Thomas,11,9,2,.818,11,9,2,.818,0,0,0,
hillge01,George Hill,9,3,6,.333,9,3,6,.333,0,0,0,
powelno01,Norman Powell*,8,7,1,.875,8,7,1,.875,0,0,0,
brimaam01,Amida Brimah*,7,3,4,.429,5,2,3,.400,2,1,1,.500
gasolma01,Marc Gasol,6,6,0,1.000,6,6,0,1.000,0,0,0,
brownke03,Kendall Brown,6,1,5,.167,6,1,5,.167,0,0,0,
queentr01,Trevelin Queen,6,1,5,.167,6,1,5,.167,0,0,0,
yorkga01,Gabe York,5,1,4,.200,5,1,4,.200,0,0,0,
thomptr01,Tristan Thompson*,4,1,3,.250,4,1,3,.250,0,0,0,
pondssh01,Shamorie Ponds,4,4,0,1.000,4,4,0,1.000,0,0,0,
bowenbr02,Brian Bowen,3,0,3,.000,3,0,3,.000,0,0,0,
theisda01,Daniel Theis,3,1,2,.333,3,1,2,.333,0,0,0,
watsopa01,Paul Watson,3,3,0,1.000,3,3,0,1.000,0,0,0,
hernade01,Dewan Hernandez,3,3,0,1.000,3,3,0,1.000,0,0,0,
hintona01,Nate Hinton,2,0,2,.000,2,0,2,.000,0,0,0,
caverah01,Ahmad Caver,1,0,1,.000,1,0,1,.000,0,0,0,
perryre01,Reggie Perry,1,0,1,.000,1,0,1,.000,0,0,0,
jarrede01,DeJon Jarreau,1,0,1,.000,1,0,1,.000,0,0,0,
