id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
krebsji01,Jim Krebs*,18,5,13,.278,18,5,13,.278,0,0,0,
devlico01,Corky Devlin*,18,5,13,.278,18,5,13,.278,0,0,0,
mikkeve01,Vern Mikkelsen*,18,5,13,.278,18,5,13,.278,0,0,0,
foustla01,Larry Foust*,18,5,13,.278,18,5,13,.278,0,0,0,
flemied01,Ed Fleming,18,5,13,.278,18,5,13,.278,0,0,0,
garmadi01,Dick Garmaker*,17,4,13,.235,17,4,13,.235,0,0,0,
leonasl01,Slick Leonard*,16,3,13,.188,16,3,13,.188,0,0,0,
hundlho01,Hot Rod Hundley*,15,3,12,.200,15,3,12,.200,0,0,0,
selvyfr01,Frank Selvy*,12,3,9,.250,12,3,9,.250,0,0,0,
ingramc01,McCoy Ingram*,11,4,7,.364,11,4,7,.364,0,0,0,
