id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
murphto01,Tod Murphy,4,0,4,.000,4,0,4,.000,0,0,0,
richapo01,Pooh Richardson,4,0,4,.000,4,0,4,.000,0,0,0,
mitchsa01,Sam Mitchell,4,0,4,.000,4,0,4,.000,0,0,0,
brooksc01,Scott Brooks,4,0,4,.000,4,0,4,.000,0,0,0,
westdo01,Doug West,4,0,4,.000,4,0,4,.000,0,0,0,
campbto01,Tony Campbell,4,0,4,.000,4,0,4,.000,0,0,0,
breuera01,Randy Breuer,4,0,4,.000,4,0,4,.000,0,0,0,
baileth01,Thurl Bailey,3,0,3,.000,3,0,3,.000,0,0,0,
longllu01,Luc Longley,3,0,3,.000,3,0,3,.000,0,0,0,
glassge01,Gerald Glass,3,0,3,.000,3,0,3,.000,0,0,0,
garrito01,Tom Garrick,1,0,1,.000,1,0,1,.000,0,0,0,
corbity01,Tyrone Corbin,1,0,1,.000,1,0,1,.000,0,0,0,
spencfe01,Felton Spencer,1,0,1,.000,1,0,1,.000,0,0,0,
frankte01,Tellis Frank,1,0,1,.000,1,0,1,.000,0,0,0,
