id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
millean02,Andre Miller,285,150,135,.526,270,147,123,.544,15,3,12,.200
anthoca01,Carmelo Anthony*,250,139,111,.556,236,136,100,.576,14,3,11,.214
cambyma01,Marcus Camby,228,120,108,.526,213,117,96,.549,15,3,12,.200
elsonfr01,Francisco Elson,191,109,82,.571,181,107,74,.591,10,2,8,.200
hilarne01,Nenê,159,79,80,.497,149,77,72,.517,10,2,8,.200
buckngr01,Greg Buckner,134,76,58,.567,124,74,50,.597,10,2,8,.200
johnsde03,DerMarr Johnson,132,74,58,.561,125,73,52,.584,7,1,6,.143
martike01,Kenyon Martin,121,60,61,.496,114,59,55,.518,7,1,6,.143
whitero02,Rodney White,118,57,61,.483,114,56,58,.491,4,1,3,.250
najered01,Eduardo Nájera,116,68,48,.586,110,67,43,.609,6,1,5,.167
jamisan01,Antawn Jamison,109,49,60,.450,109,49,60,.450,0,0,0,
maggeco01,Corey Maggette,106,41,65,.387,106,41,65,.387,0,0,0,
richaja01,Jason Richardson,104,48,56,.462,104,48,56,.462,0,0,0,
lenarvo01,Voshon Lenard,92,43,49,.467,87,42,45,.483,5,1,4,.200
arenagi01,Gilbert Arenas,92,43,49,.467,92,43,49,.467,0,0,0,
surabo01,Bob Sura,91,42,49,.462,91,42,49,.462,0,0,0,
mcinnje01,Jeff McInnis,86,34,52,.395,86,34,52,.395,0,0,0,
milesda01,Darius Miles,78,34,44,.436,78,34,44,.436,0,0,0,
richaqu01,Quentin Richardson,77,34,43,.442,77,34,43,.442,0,0,0,
anderch01,Chris Andersen,76,40,36,.526,71,39,32,.549,5,1,4,.200
kleizli01,Linas Kleiza,76,39,37,.513,73,38,35,.521,3,1,2,.333
olowomi01,Michael Olowokandi,76,32,44,.421,76,32,44,.421,0,0,0,
russebr01,Bryon Russell,74,39,35,.527,71,39,32,.549,3,0,3,.000
ilyaser01,Ersan İlyasova,74,22,52,.297,74,22,52,.297,0,0,0,
persowe01,Wesley Person,70,36,34,.514,66,35,31,.530,4,1,3,.250
dampier01,Erick Dampier,68,34,34,.500,68,34,34,.500,0,0,0,
dunlemi02,Mike Dunleavy,68,34,34,.500,68,34,34,.500,0,0,0,
foylead01,Adonal Foyle,68,34,34,.500,68,34,34,.500,0,0,0,
piatker01,Eric Piatkowski,67,27,40,.403,67,27,40,.403,0,0,0,
brandel01,Elton Brand,67,32,35,.478,67,32,35,.478,0,0,0,
doolike01,Keyon Dooling,67,26,41,.388,67,26,41,.388,0,0,0,
bogutan01,Andrew Bogut,66,21,45,.318,66,21,45,.318,0,0,0,
blatcan01,Andray Blatche,66,22,44,.333,66,22,44,.333,0,0,0,
murphtr01,Troy Murphy,65,33,32,.508,65,33,32,.508,0,0,0,
youngni01,Nick Young,62,21,41,.339,62,21,41,.339,0,0,0,
