id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
adebaba01,Bam Adebayo*,250,146,104,.584,209,121,88,.579,41,25,16,.610
robindu01,Duncan Robinson,242,145,97,.599,206,122,84,.592,36,23,13,.639
butleji01,Jimmy Butler*,228,138,90,.605,186,113,73,.608,42,25,17,.595
vincega01,Gabe Vincent*,168,99,69,.589,146,86,60,.589,22,13,9,.591
strusma01,Max Strus*,164,91,73,.555,144,79,65,.549,20,12,8,.600
martica02,Caleb Martin*,128,79,49,.617,111,67,44,.604,17,12,5,.706
lowryky01,Kyle Lowry*,107,65,42,.607,97,60,37,.619,10,5,5,.500
nunnke01,Kendrick Nunn,107,61,46,.570,88,52,36,.591,19,9,10,.474
dedmode01,Dewayne Dedmon,101,63,38,.624,84,53,31,.631,17,10,7,.588
olynyke01,Kelly Olynyk,98,56,42,.571,81,46,35,.568,17,10,7,.588
dragigo01,Goran Dragić*,98,61,37,.622,77,49,28,.636,21,12,9,.571
iguodan01,Andre Iguodala,79,43,36,.544,54,29,25,.537,25,14,11,.560
tuckepj01,P.J. Tucker,71,46,25,.648,56,36,20,.643,15,10,5,.667
highsha01,Haywood Highsmith,65,39,26,.600,59,35,24,.593,6,4,2,.667
oladivi01,Victor Oladipo*,60,34,26,.567,47,26,21,.553,13,8,5,.615
yurtsom01,Omer Yurtseven,59,42,17,.712,52,37,15,.712,7,5,2,.714
jonesde02,Derrick Jones Jr.*,57,34,23,.596,42,25,17,.595,15,9,6,.600
leoname01,Meyers Leonard,54,35,19,.648,51,33,18,.647,3,2,1,.667
silvach01,Chris Silva,53,33,20,.623,53,33,20,.623,0,0,0,
achiupr01,Precious Achiuwa*,50,23,27,.460,47,23,24,.489,3,0,3,.000
okpalkz01,KZ Okpala,45,29,16,.644,43,29,14,.674,2,0,2,.000
crowdja01,Jae Crowder,29,17,12,.586,8,3,5,.375,21,14,7,.667
arizatr01,Trevor Ariza,27,12,15,.444,23,12,11,.522,4,0,4,.000
loveke01,Kevin Love*,24,13,11,.542,21,11,10,.524,3,2,1,.667
robinor01,Orlando Robinson,23,15,8,.652,23,15,8,.652,0,0,0,
hasleud01,Udonis Haslem,22,16,6,.727,22,16,6,.727,0,0,0,
johnsja01,James Johnson,16,8,8,.500,16,8,8,.500,0,0,0,
morrima02,Markieff Morris,16,10,6,.625,15,10,5,.667,1,0,1,.000
zelleco01,Cody Zeller*,15,6,9,.400,14,6,8,.429,1,0,1,.000
guyky01,Kyle Guy,14,11,3,.786,14,11,3,.786,0,0,0,
hillso01,Solomon Hill,13,4,9,.308,6,1,5,.167,7,3,4,.429
bjeline01,Nemanja Bjelica,12,6,6,.500,10,6,4,.600,2,0,2,.000
winslju01,Justise Winslow,11,7,4,.636,11,7,4,.636,0,0,0,
jovicni01,Nikola Jović,10,6,4,.600,10,6,4,.600,0,0,0,
cainja01,Jamal Cain,9,6,3,.667,9,6,3,.667,0,0,0,
bradlav01,Avery Bradley,9,4,5,.444,9,4,5,.444,0,0,0,
garrema01,Marcus Garrett,8,8,0,1.000,8,8,0,1.000,0,0,0,
harklma01,Maurice Harkless,8,4,4,.500,8,4,4,.500,0,0,0,
smithdr01,Dru Smith,5,4,1,.800,5,4,1,.800,0,0,0,
maconda01,Daryl Macon,3,3,0,1.000,3,3,0,1.000,0,0,0,
waitedi01,Dion Waiters,3,1,2,.333,3,1,2,.333,0,0,0,
smartja01,Javonte Smart,3,3,0,1.000,3,3,0,1.000,0,0,0,
alexaky01,Kyle Alexander,2,0,2,.000,2,0,2,.000,0,0,0,
bouyeja01,Jamaree Bouyea,2,2,0,1.000,2,2,0,1.000,0,0,0,
stausni01,Nik Stauskas,2,1,1,.500,2,1,1,.500,0,0,0,
muldemy01,Mychal Mulder*,1,1,0,1.000,1,1,0,1.000,0,0,0,
