id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
willich01,Charlie Williams*,9,5,4,.556,9,5,4,.556,0,0,0,
hogsebo01,Bob Hogsett,9,5,4,.556,9,5,4,.556,0,0,0,
dillcr01,Craig Dill,9,5,4,.556,9,5,4,.556,0,0,0,
vaughch01,Chico Vaughn*,9,5,4,.556,9,5,4,.556,0,0,0,
leiboba01,Barry Leibowitz,9,5,4,.556,9,5,4,.556,0,0,0,
hargeir01,Ira Harge,9,5,4,.556,9,5,4,.556,0,0,0,
hawkico01,Connie Hawkins,8,5,3,.625,8,5,3,.625,0,0,0,
turnehe01,Herschell Turner*,7,3,4,.429,7,3,4,.429,0,0,0,
meyerbi01,Bill Meyer*,6,2,4,.333,6,2,4,.333,0,0,0,
kerwito01,Tom Kerwin*,5,3,2,.600,5,3,2,.600,0,0,0,
washitr01,Trooper Washington*,5,2,3,.400,5,2,3,.400,0,0,0,
