id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
longgr01,Grant Long,22,2,20,.091,22,2,20,.091,0,0,0,
sundvjo01,Jon Sundvold,22,2,20,.091,22,2,20,.091,0,0,0,
thompbi01,Billy Thompson,22,2,20,.091,22,2,20,.091,0,0,0,
sparrro01,Rory Sparrow,21,2,19,.095,21,2,19,.095,0,0,0,
seikaro01,Rony Seikaly,20,2,18,.100,20,2,18,.100,0,0,0,
cummipa01,Pat Cummings,20,2,18,.100,20,2,18,.100,0,0,0,
hastisc01,Scott Hastings,20,2,18,.100,20,2,18,.100,0,0,0,
edwarke01,Kevin Edwards,19,1,18,.053,19,1,18,.053,0,0,0,
shaskjo01,John Shasky,16,1,15,.062,16,1,15,.062,0,0,0,
nealcr01,Craig Neal,14,2,12,.143,14,2,12,.143,0,0,0,
upshake01,Kelvin Upshaw,9,1,8,.111,9,1,8,.111,0,0,0,
washipe01,Pearl Washington,4,0,4,.000,4,0,4,.000,0,0,0,
comegda01,Dallas Comegys,2,0,2,.000,2,0,2,.000,0,0,0,
rothsc01,Scott Roth,2,0,2,.000,2,0,2,.000,0,0,0,
maxweve01,Vernon Maxwell,2,0,2,.000,2,0,2,.000,0,0,0,
andergr01,Greg Anderson,2,0,2,.000,2,0,2,.000,0,0,0,
anderwi01,Willie Anderson,2,0,2,.000,2,0,2,.000,0,0,0,
brickfr01,Frank Brickowski,2,0,2,.000,2,0,2,.000,0,0,0,
smrekmi01,Mike Smrek,2,0,2,.000,2,0,2,.000,0,0,0,
andermi01,Michael Anderson,2,0,2,.000,2,0,2,.000,0,0,0,
kingal01,Albert King,1,0,1,.000,1,0,1,.000,0,0,0,
