id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
kiddja01,Jason Kidd,248,134,114,.540,220,121,99,.550,28,13,15,.464
cartevi01,Vince Carter,154,81,73,.526,137,73,64,.533,17,8,9,.471
collija04,Jason Collins,148,76,72,.514,131,68,63,.519,17,8,9,.471
jefferi01,Richard Jefferson,137,71,66,.518,120,63,57,.525,17,8,9,.471
nachbbo01,Boštjan Nachbar,114,57,57,.500,101,50,51,.495,13,7,6,.538
boonejo01,Josh Boone,91,45,46,.495,79,39,40,.494,12,6,6,.500
bassbr01,Brandon Bass,91,53,38,.582,80,48,32,.600,11,5,6,.455
willima03,Marcus Williams,90,44,46,.489,78,38,40,.487,12,6,6,.500
dampier01,Erick Dampier,89,52,37,.584,78,47,31,.603,11,5,6,.455
krstine01,Nenad Krstić,86,44,42,.512,81,42,39,.519,5,2,3,.400
nowitdi01,Dirk Nowitzki,85,50,35,.588,74,45,29,.608,11,5,6,.455
robincl02,Clifford Robinson,83,49,34,.590,75,45,30,.600,8,4,4,.500
terryja01,Jason Terry,83,48,35,.578,72,43,29,.597,11,5,6,.455
bareajo01,J.J. Barea,77,45,32,.584,67,40,27,.597,10,5,5,.500
mooremi01,Mikki Moore,72,37,35,.514,60,31,29,.517,12,6,6,.500
johnsam01,Amir Johnson,67,32,35,.478,67,32,35,.478,0,0,0,
jackja01,Jarrett Jack,67,32,35,.478,67,32,35,.478,0,0,0,
howarjo01,Josh Howard,67,42,25,.627,56,37,19,.661,11,5,6,.455
bargnan01,Andrea Bargnani,65,31,34,.477,65,31,34,.477,0,0,0,
singlja01,James Singleton,62,37,25,.597,53,33,20,.623,9,4,5,.444
derozde01,DeMar DeRozan*,62,28,34,.452,62,28,34,.452,0,0,0,
turkohe01,Hedo Türkoğlu,59,29,30,.492,59,29,30,.492,0,0,0,
boshch01,Chris Bosh,58,29,29,.500,58,29,29,.500,0,0,0,
caldejo01,José Calderón,58,27,31,.466,58,27,31,.466,0,0,0,
weemsso01,Sonny Weems,54,24,30,.444,54,24,30,.444,0,0,0,
belinma01,Marco Belinelli,53,22,31,.415,53,22,31,.415,0,0,0,
allenma01,Malik Allen,52,23,29,.442,51,23,28,.451,1,0,1,.000
adamsha01,Hassan Adams,52,29,23,.558,46,26,20,.565,6,3,3,.500
vaughja01,Jacque Vaughn,44,26,18,.591,39,24,15,.615,5,2,3,.400
georgde01,Devean George,43,25,18,.581,42,25,17,.595,1,0,1,.000
houseed01,Eddie House,41,21,20,.512,37,19,18,.514,4,2,2,.500
holliry01,Ryan Hollins,36,22,14,.611,27,18,9,.667,9,4,5,.444
willise01,Sean Williams,36,13,23,.361,36,13,23,.361,0,0,0,
padgesc01,Scott Padgett,35,20,15,.571,32,19,13,.594,3,1,2,.333
nestera01,Rasho Nesterović,34,16,18,.471,34,16,18,.471,0,0,0,
greenge01,Gerald Green,33,14,19,.424,27,13,14,.481,6,1,5,.167
murrala01,Lamond Murray,32,19,13,.594,27,17,10,.630,5,2,3,.400
planizo01,Zoran Planinić,30,18,12,.600,27,17,10,.630,3,1,2,.333
armstda01,Darrell Armstrong,27,11,16,.407,27,11,16,.407,0,0,0,
carroma01,Matt Carroll,25,13,12,.520,21,12,9,.571,4,1,3,.250
magloja01,Jamaal Magloire,24,13,11,.542,24,13,11,.542,0,0,0,
evansre01,Reggie Evans,24,9,15,.375,24,9,15,.375,0,0,0,
diopde01,DeSagana Diop,18,8,10,.444,18,8,10,.444,0,0,0,
stackje01,Jerry Stackhouse,16,8,8,.500,15,8,7,.533,1,0,1,.000
