id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
leeco01,Courtney Lee,111,27,84,.243,108,27,81,.250,3,0,3,.000
lopezbr01,Brook Lopez,88,12,76,.136,88,12,76,.136,0,0,0,
harride01,Devin Harris,70,11,59,.157,70,11,59,.157,0,0,0,
douglch01,Chris Douglas-Roberts,63,10,53,.159,63,10,53,.159,0,0,0,
boonejo01,Josh Boone,59,7,52,.119,59,7,52,.119,0,0,0,
humphkr01,Kris Humphries,53,10,43,.189,53,10,43,.189,0,0,0,
jianlyi01,Yi Jianlian,50,9,41,.180,50,9,41,.180,0,0,0,
doolike01,Keyon Dooling,49,10,39,.204,49,10,39,.204,0,0,0,
hassetr01,Trenton Hassell,48,4,44,.083,48,4,44,.083,0,0,0,
hayesja01,Jarvis Hayes,43,7,36,.163,43,7,36,.163,0,0,0,
bassbr01,Brandon Bass,29,13,16,.448,24,11,13,.458,5,2,3,.400
greenje02,Jeff Green,29,13,16,.448,24,11,13,.458,5,2,3,.400
bradlav01,Avery Bradley,29,13,16,.448,24,11,13,.458,5,2,3,.400
crawfjo02,Jordan Crawford,27,12,15,.444,23,11,12,.478,4,1,3,.250
terryja01,Jason Terry,27,12,15,.444,22,10,12,.455,5,2,3,.400
wilcoch01,Chris Wilcox,26,12,14,.462,24,11,13,.458,2,1,1,.500
alstora01,Rafer Alston,25,0,25,.000,25,0,25,.000,0,0,0,
piercpa01,Paul Pierce,25,13,12,.520,20,11,9,.550,5,2,3,.400
quinnch01,Chris Quinn,24,3,21,.125,24,3,21,.125,0,0,0,
hayesch01,Chuck Hayes,24,10,14,.417,24,10,14,.417,0,0,0,
scolalu01,Luis Scola,23,8,15,.348,23,8,15,.348,0,0,0,
simmobo01,Bobby Simmons,22,1,21,.045,22,1,21,.045,0,0,0,
lowryky01,Kyle Lowry*,21,8,13,.381,21,8,13,.381,0,0,0,
outlatr01,Travis Outlaw,21,6,15,.286,21,6,15,.286,0,0,0,
pattepa01,Patrick Patterson,21,7,14,.333,21,7,14,.333,0,0,0,
budinch01,Chase Budinger,21,8,13,.381,21,8,13,.381,0,0,0,
martike02,Kevin Martin,20,6,14,.300,20,6,14,.300,0,0,0,
willise01,Sean Williams,19,0,19,.000,19,0,19,.000,0,0,0,
hilljo01,Jordan Hill,19,7,12,.368,19,7,12,.368,0,0,0,
couside01,DeMarcus Cousins,18,5,13,.278,18,5,13,.278,0,0,0,
thomais02,Isaiah Thomas*,18,5,13,.278,18,5,13,.278,0,0,0,
randosh01,Shavlik Randolph,17,7,10,.412,16,7,9,.438,1,0,1,.000
garneke01,Kevin Garnett,17,8,9,.471,12,6,6,.500,5,2,3,.400
greendo01,Donté Greene,17,5,12,.294,17,5,12,.294,0,0,0,
fredeji01,Jimmer Fredette,17,5,12,.294,17,5,12,.294,0,0,0,
evansty01,Tyreke Evans,17,4,13,.235,17,4,13,.235,0,0,0,
thompja02,Jason Thompson,16,5,11,.312,16,5,11,.312,0,0,0,
dragigo01,Goran Dragić*,16,7,9,.438,16,7,9,.438,0,0,0,
najered01,Eduardo Nájera,13,0,13,.000,13,0,13,.000,0,0,0,
garcifr01,Francisco García,13,5,8,.385,13,5,8,.385,0,0,0,
dalemsa01,Samuel Dalembert,12,3,9,.250,12,3,9,.250,0,0,0,
battito01,Tony Battie,12,2,10,.167,12,2,10,.167,0,0,0,
whitedj01,D.J. White,11,3,8,.273,11,3,8,.273,0,0,0,
parsoch01,Chandler Parsons,11,3,8,.273,11,3,8,.273,0,0,0,
thornma01,Marcus Thornton,11,3,8,.273,11,3,8,.273,0,0,0,
morroan01,Anthony Morrow,10,2,8,.200,10,2,8,.200,0,0,0,
farmajo01,Jordan Farmar,10,2,8,.200,10,2,8,.200,0,0,0,
petrojo01,Johan Petro,9,2,7,.222,9,2,7,.222,0,0,0,
favorde01,Derrick Favors,9,2,7,.222,9,2,7,.222,0,0,0,
whiteha01,Hassan Whiteside*,9,2,7,.222,9,2,7,.222,0,0,0,
millebr01,Brad Miller,8,5,3,.625,8,5,3,.625,0,0,0,
flynnjo01,Jonny Flynn,7,3,4,.429,7,3,4,.429,0,0,0,
honeyty01,Tyler Honeycutt,7,2,5,.286,7,2,5,.286,0,0,0,
thabeha01,Hasheem Thabeet,6,5,1,.833,6,5,1,.833,0,0,0,
battish01,Shane Battier,6,0,6,.000,6,0,6,.000,0,0,0,
jamesda01,Damion James,6,2,4,.333,6,2,4,.333,0,0,0,
adrieje01,Jeff Adrien,5,2,3,.400,5,2,3,.400,0,0,0,
morrima03,Marcus Morris*,5,1,4,.200,5,1,4,.200,0,0,0,
grahast01,Stephen Graham,5,2,3,.400,5,2,3,.400,0,0,0,
brookaa01,Aaron Brooks,4,0,4,.000,4,0,4,.000,0,0,0,
jeffrja01,Jared Jeffries,4,0,4,.000,4,0,4,.000,0,0,0,
murphtr01,Troy Murphy,4,0,4,.000,4,0,4,.000,0,0,0,
melofa01,Fab Melo,3,1,2,.333,3,1,2,.333,0,0,0,
rossqu01,Quinton Ross,3,0,3,.000,3,0,3,.000,0,0,0,
smithjo02,Joe Smith,3,2,1,.667,3,2,1,.667,0,0,0,
salmojo01,John Salmons,2,0,2,.000,2,0,2,.000,0,0,0,
smithis01,Ish Smith*,2,0,2,.000,2,0,2,.000,0,0,0,
smithgr02,Greg Smith,2,0,2,.000,2,0,2,.000,0,0,0,
collija04,Jason Collins,1,0,1,.000,1,0,1,.000,0,0,0,
