id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
stockjo01,John Stockton,157,91,66,.580,145,87,58,.600,12,4,8,.333
malonka01,Karl Malone,156,90,66,.577,144,86,58,.597,12,4,8,.333
ostergr01,Greg Ostertag,151,86,65,.570,141,83,58,.589,10,3,7,.300
russebr01,Bryon Russell,138,80,58,.580,126,76,50,.603,12,4,8,.333
polynol01,Olden Polynice,117,74,43,.632,109,71,38,.651,8,3,5,.375
vaughja01,Jacque Vaughn,114,72,42,.632,107,69,38,.645,7,3,4,.429
padgesc01,Scott Padgett,86,49,37,.570,76,45,31,.592,10,4,6,.400
eisleho01,Howard Eisley,82,53,29,.646,74,50,24,.676,8,3,5,.375
hornaje01,Jeff Hornacek,77,50,27,.649,69,47,22,.681,8,3,5,.375
marshdo01,Donyell Marshall,63,32,31,.508,59,31,28,.525,4,1,3,.250
starkjo01,John Starks,62,33,29,.532,62,33,29,.532,0,0,0,
keefead01,Adam Keefe,58,39,19,.672,58,39,19,.672,0,0,0,
gilliar01,Armen Gilliam,57,35,22,.614,49,32,17,.653,8,3,5,.375
stevede01,DeShawn Stevenson,50,25,25,.500,50,25,25,.500,0,0,0,
kirilan01,Andrei Kirilenko,40,17,23,.425,36,16,20,.444,4,1,3,.250
mannida01,Danny Manning,35,21,14,.600,35,21,14,.600,0,0,0,
amaecjo01,John Amaechi,30,13,17,.433,30,13,17,.433,0,0,0,
crottjo01,John Crotty,29,13,16,.448,29,13,16,.448,0,0,0,
collija03,Jarron Collins,28,13,15,.464,24,12,12,.500,4,1,3,.250
benoida01,David Benoit,24,15,9,.625,24,15,9,.625,0,0,0,
chilcpe01,Pete Chilcutt,19,13,6,.684,19,13,6,.684,0,0,0,
sprewla01,Latrell Sprewell,14,9,5,.643,14,9,5,.643,0,0,0,
hoibefr01,Fred Hoiberg,14,9,5,.643,14,9,5,.643,0,0,0,
mcleoke01,Keith McLeod,14,9,5,.643,14,9,5,.643,0,0,0,
trentga01,Gary Trent,14,9,5,.643,14,9,5,.643,0,0,0,
garneke01,Kevin Garnett,14,9,5,.643,14,9,5,.643,0,0,0,
hassetr01,Trenton Hassell,14,9,5,.643,14,9,5,.643,0,0,0,
cassesa01,Sam Cassell,14,9,5,.643,14,9,5,.643,0,0,0,
ebind01,Ndudi Ebi,10,8,2,.800,10,8,2,.800,0,0,0,
johnser02,Ervin Johnson,10,7,3,.700,10,7,3,.700,0,0,0,
larueru01,Rusty LaRue,9,4,5,.444,5,3,2,.600,4,1,3,.250
madsema01,Mark Madsen,8,5,3,.625,8,5,3,.625,0,0,0,
olowomi01,Michael Olowokandi,7,4,3,.571,7,4,3,.571,0,0,0,
milleol01,Oliver Miller,2,2,0,1.000,2,2,0,1.000,0,0,0,
